101
81
T [GeV]		muB [GeV]		betapi_over_T4 [fm^-4 / GeV^4]
0.108000		0.020000		33.058452
0.109000		0.020000		33.578910
0.110000		0.020000		34.110745
0.111000		0.020000		34.654352
0.112000		0.020000		35.210127
0.113000		0.020000		35.778475
0.114000		0.020000		36.359805
0.115000		0.020000		36.954530
0.116000		0.020000		37.563071
0.117000		0.020000		38.185852
0.118000		0.020000		38.823305
0.119000		0.020000		39.475865
0.120000		0.020000		40.143973
0.121000		0.020000		40.828075
0.122000		0.020000		41.528624
0.123000		0.020000		42.246075
0.124000		0.020000		42.980891
0.125000		0.020000		43.733538
0.126000		0.020000		44.504488
0.127000		0.020000		45.294218
0.128000		0.020000		46.103207
0.129000		0.020000		46.931942
0.130000		0.020000		47.780912
0.131000		0.020000		48.650612
0.132000		0.020000		49.541539
0.133000		0.020000		50.454197
0.134000		0.020000		51.389089
0.135000		0.020000		52.346727
0.136000		0.020000		53.327623
0.137000		0.020000		54.332293
0.138000		0.020000		55.361255
0.139000		0.020000		56.415034
0.140000		0.020000		57.494151
0.141000		0.020000		58.599136
0.142000		0.020000		59.730517
0.143000		0.020000		60.888825
0.144000		0.020000		62.074594
0.145000		0.020000		63.288358
0.146000		0.020000		64.530653
0.147000		0.020000		65.802017
0.148000		0.020000		67.102987
0.149000		0.020000		68.434103
0.150000		0.020000		69.795902
0.151000		0.020000		71.188925
0.152000		0.020000		72.613710
0.153000		0.020000		74.070798
0.154000		0.020000		75.560725
0.155000		0.020000		77.084030
0.156000		0.020000		78.641249
0.157000		0.020000		80.232917
0.158000		0.020000		81.859570
0.159000		0.020000		83.521738
0.160000		0.020000		85.219952
0.161000		0.020000		86.954740
0.162000		0.020000		88.726628
0.163000		0.020000		90.536139
0.164000		0.020000		92.383792
0.165000		0.020000		94.270106
0.166000		0.020000		96.195593
0.167000		0.020000		98.160764
0.168000		0.020000		100.166126
0.169000		0.020000		102.212181
0.170000		0.020000		104.299428
0.171000		0.020000		106.428360
0.172000		0.020000		108.599468
0.173000		0.020000		110.813235
0.174000		0.020000		113.070142
0.175000		0.020000		115.370664
0.176000		0.020000		117.715269
0.177000		0.020000		120.104423
0.178000		0.020000		122.538583
0.179000		0.020000		125.018201
0.180000		0.020000		127.543725
0.181000		0.020000		130.115595
0.182000		0.020000		132.734244
0.183000		0.020000		135.400100
0.184000		0.020000		138.113585
0.185000		0.020000		140.875113
0.186000		0.020000		143.685092
0.187000		0.020000		146.543921
0.188000		0.020000		149.451995
0.189000		0.020000		152.409699
0.190000		0.020000		155.417414
0.191000		0.020000		158.475509
0.192000		0.020000		161.584350
0.193000		0.020000		164.744292
0.194000		0.020000		167.955685
0.195000		0.020000		171.218869
0.196000		0.020000		174.534178
