101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.196000		0.010000		-0.017004
0.197000		0.010000		-0.016488
0.198000		0.010000		-0.015992
0.199000		0.010000		-0.015515
0.200000		0.010000		-0.015056
0.100000		0.020000		-2.861706
0.101000		0.020000		-2.605872
0.102000		0.020000		-2.376683
0.103000		0.020000		-2.170998
0.104000		0.020000		-1.986086
0.105000		0.020000		-1.819571
0.106000		0.020000		-1.669375
0.107000		0.020000		-1.533685
0.108000		0.020000		-1.410910
0.109000		0.020000		-1.299652
0.110000		0.020000		-1.198683
0.111000		0.020000		-1.106922
0.112000		0.020000		-1.023411
0.113000		0.020000		-0.947308
0.114000		0.020000		-0.877862
0.115000		0.020000		-0.814410
0.116000		0.020000		-0.756361
0.117000		0.020000		-0.703192
0.118000		0.020000		-0.654433
0.119000		0.020000		-0.609666
0.120000		0.020000		-0.568518
0.121000		0.020000		-0.530655
0.122000		0.020000		-0.495776
0.123000		0.020000		-0.463612
0.124000		0.020000		-0.433922
0.125000		0.020000		-0.406487
0.126000		0.020000		-0.381110
0.127000		0.020000		-0.357616
0.128000		0.020000		-0.335844
0.129000		0.020000		-0.315648
0.130000		0.020000		-0.296899
0.131000		0.020000		-0.279476
0.132000		0.020000		-0.263273
0.133000		0.020000		-0.248191
0.134000		0.020000		-0.234140
0.135000		0.020000		-0.221041
0.136000		0.020000		-0.208817
0.137000		0.020000		-0.197403
0.138000		0.020000		-0.186737
0.139000		0.020000		-0.176761
0.140000		0.020000		-0.167425
0.141000		0.020000		-0.158682
0.142000		0.020000		-0.150487
0.143000		0.020000		-0.142801
0.144000		0.020000		-0.135588
0.145000		0.020000		-0.128814
0.146000		0.020000		-0.122448
0.147000		0.020000		-0.116462
0.148000		0.020000		-0.110829
0.149000		0.020000		-0.105526
0.150000		0.020000		-0.100530
0.151000		0.020000		-0.095820
0.152000		0.020000		-0.091378
0.153000		0.020000		-0.087186
0.154000		0.020000		-0.083228
0.155000		0.020000		-0.079488
0.156000		0.020000		-0.075952
0.157000		0.020000		-0.072609
0.158000		0.020000		-0.069444
0.159000		0.020000		-0.066448
0.160000		0.020000		-0.063610
0.161000		0.020000		-0.060920
0.162000		0.020000		-0.058370
0.163000		0.020000		-0.055950
0.164000		0.020000		-0.053654
0.165000		0.020000		-0.051473
0.166000		0.020000		-0.049401
0.167000		0.020000		-0.047431
0.168000		0.020000		-0.045559
0.169000		0.020000		-0.043777
0.170000		0.020000		-0.042082
0.171000		0.020000		-0.040467
0.172000		0.020000		-0.038930
0.173000		0.020000		-0.037464
0.174000		0.020000		-0.036067
0.175000		0.020000		-0.034735
0.176000		0.020000		-0.033464
0.177000		0.020000		-0.032250
0.178000		0.020000		-0.031092
0.179000		0.020000		-0.029985
0.180000		0.020000		-0.028927
0.181000		0.020000		-0.027916
0.182000		0.020000		-0.026950
0.183000		0.020000		-0.026025
0.184000		0.020000		-0.025140
0.185000		0.020000		-0.024292
0.186000		0.020000		-0.023481
0.187000		0.020000		-0.022704
0.188000		0.020000		-0.021959
0.189000		0.020000		-0.021245
0.190000		0.020000		-0.020560
0.191000		0.020000		-0.019903
0.192000		0.020000		-0.019273
0.193000		0.020000		-0.018667
0.194000		0.020000		-0.018087
0.195000		0.020000		-0.017528
0.196000		0.020000		-0.016992
0.197000		0.020000		-0.016477
0.198000		0.020000		-0.015982
0.199000		0.020000		-0.015505
0.200000		0.020000		-0.015047
0.100000		0.030000		-2.799091
0.101000		0.030000		-2.550309
0.102000		0.030000		-2.327303
0.103000		0.030000		-2.127048
0.104000		0.030000		-1.946916
0.105000		0.030000		-1.784612
0.106000		0.030000		-1.638135
0.107000		0.030000		-1.505731
0.108000		0.030000		-1.385866
0.109000		0.030000		-1.277189
0.110000		0.030000		-1.178511
0.111000		0.030000		-1.088787
0.112000		0.030000		-1.007091
0.113000		0.030000		-0.932604
0.114000		0.030000		-0.864601
0.115000		0.030000		-0.802438
0.116000		0.030000		-0.745544
0.117000		0.030000		-0.693407
0.118000		0.030000		-0.645575
0.119000		0.030000		-0.601639
0.120000		0.030000		-0.561239
0.121000		0.030000		-0.524048
0.122000		0.030000		-0.489774
0.123000		0.030000		-0.458155
0.124000		0.030000		-0.428957
0.125000		0.030000		-0.401966
0.126000		0.030000		-0.376991
0.127000		0.030000		-0.353859
0.128000		0.030000		-0.332416
0.129000		0.030000		-0.312518
0.130000		0.030000		-0.294038
0.131000		0.030000		-0.276860
0.132000		0.030000		-0.260879
0.133000		0.030000		-0.245999
0.134000		0.030000		-0.232132
0.135000		0.030000		-0.219199
0.136000		0.030000		-0.207129
0.137000		0.030000		-0.195853
0.138000		0.030000		-0.185313
0.139000		0.030000		-0.175453
0.140000		0.030000		-0.166223
0.141000		0.030000		-0.157575
0.142000		0.030000		-0.149468
0.143000		0.030000		-0.141863
0.144000		0.030000		-0.134724
0.145000		0.030000		-0.128017
0.146000		0.030000		-0.121713
0.147000		0.030000		-0.115784
0.148000		0.030000		-0.110203
0.149000		0.030000		-0.104948
0.150000		0.030000		-0.099996
0.151000		0.030000		-0.095327
0.152000		0.030000		-0.090922
0.153000		0.030000		-0.086764
0.154000		0.030000		-0.082837
0.155000		0.030000		-0.079126
0.156000		0.030000		-0.075617
0.157000		0.030000		-0.072298
0.158000		0.030000		-0.069156
0.159000		0.030000		-0.066181
0.160000		0.030000		-0.063362
0.161000		0.030000		-0.060690
0.162000		0.030000		-0.058156
0.163000		0.030000		-0.055752
0.164000		0.030000		-0.053469
0.165000		0.030000		-0.051301
0.166000		0.030000		-0.049241
0.167000		0.030000		-0.047283
0.168000		0.030000		-0.045421
