100
100
T [fm^-1]		muB [fm^-1]		G_dfce [1]
0.776364		0.027475		0.019069
0.778788		0.027475		0.018846
0.781212		0.027475		0.018628
0.783636		0.027475		0.018412
0.786061		0.027475		0.018200
0.788485		0.027475		0.017991
0.790909		0.027475		0.017786
0.793333		0.027475		0.017583
0.795758		0.027475		0.017384
0.798182		0.027475		0.017188
0.800606		0.027475		0.016995
0.803030		0.027475		0.016805
0.805455		0.027475		0.016618
0.807879		0.027475		0.016434
0.810303		0.027475		0.016252
0.812727		0.027475		0.016074
0.815152		0.027475		0.015898
0.817576		0.027475		0.015725
0.820000		0.027475		0.015554
0.580000		0.054949		0.112137
0.582424		0.054949		0.110537
0.584848		0.054949		0.108961
0.587273		0.054949		0.107408
0.589697		0.054949		0.105879
0.592121		0.054949		0.104373
0.594545		0.054949		0.102890
0.596970		0.054949		0.101430
0.599394		0.054949		0.099991
0.601818		0.054949		0.098575
0.604242		0.054949		0.097180
0.606667		0.054949		0.095806
0.609091		0.054949		0.094454
0.611515		0.054949		0.093122
0.613939		0.054949		0.091811
0.616364		0.054949		0.090520
0.618788		0.054949		0.089248
0.621212		0.054949		0.087997
0.623636		0.054949		0.086765
0.626061		0.054949		0.085552
0.628485		0.054949		0.084357
0.630909		0.054949		0.083182
0.633333		0.054949		0.082024
0.635758		0.054949		0.080885
0.638182		0.054949		0.079763
0.640606		0.054949		0.078659
0.643030		0.054949		0.077572
0.645455		0.054949		0.076503
0.647879		0.054949		0.075450
0.650303		0.054949		0.074413
0.652727		0.054949		0.073393
0.655152		0.054949		0.072389
0.657576		0.054949		0.071401
0.660000		0.054949		0.070428
0.662424		0.054949		0.069471
0.664848		0.054949		0.068529
0.667273		0.054949		0.067602
0.669697		0.054949		0.066689
0.672121		0.054949		0.065791
0.674545		0.054949		0.064907
0.676970		0.054949		0.064038
0.679394		0.054949		0.063182
0.681818		0.054949		0.062339
0.684242		0.054949		0.061510
0.686667		0.054949		0.060694
0.689091		0.054949		0.059892
0.691515		0.054949		0.059102
0.693939		0.054949		0.058324
0.696364		0.054949		0.057559
0.698788		0.054949		0.056806
0.701212		0.054949		0.056065
0.703636		0.054949		0.055336
0.706061		0.054949		0.054619
0.708485		0.054949		0.053913
0.710909		0.054949		0.053218
0.713333		0.054949		0.052534
0.715758		0.054949		0.051861
