101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.196000		0.010000		-0.142570
0.197000		0.010000		-0.142574
0.198000		0.010000		-0.142584
0.199000		0.010000		-0.142600
0.200000		0.010000		-0.142623
0.100000		0.020000		-0.207418
0.101000		0.020000		-0.205991
0.102000		0.020000		-0.204561
0.103000		0.020000		-0.203131
0.104000		0.020000		-0.201702
0.105000		0.020000		-0.200276
0.106000		0.020000		-0.198854
0.107000		0.020000		-0.197439
0.108000		0.020000		-0.196031
0.109000		0.020000		-0.194632
0.110000		0.020000		-0.193244
0.111000		0.020000		-0.191867
0.112000		0.020000		-0.190502
0.113000		0.020000		-0.189151
0.114000		0.020000		-0.187815
0.115000		0.020000		-0.186495
0.116000		0.020000		-0.185191
0.117000		0.020000		-0.183905
0.118000		0.020000		-0.182636
0.119000		0.020000		-0.181387
0.120000		0.020000		-0.180157
0.121000		0.020000		-0.178947
0.122000		0.020000		-0.177758
0.123000		0.020000		-0.176589
0.124000		0.020000		-0.175442
0.125000		0.020000		-0.174317
0.126000		0.020000		-0.173214
0.127000		0.020000		-0.172133
0.128000		0.020000		-0.171075
0.129000		0.020000		-0.170039
0.130000		0.020000		-0.169026
0.131000		0.020000		-0.168036
0.132000		0.020000		-0.167069
0.133000		0.020000		-0.166125
0.134000		0.020000		-0.165204
0.135000		0.020000		-0.164305
0.136000		0.020000		-0.163430
0.137000		0.020000		-0.162577
0.138000		0.020000		-0.161746
0.139000		0.020000		-0.160938
0.140000		0.020000		-0.160152
0.141000		0.020000		-0.159388
0.142000		0.020000		-0.158646
0.143000		0.020000		-0.157925
0.144000		0.020000		-0.157226
0.145000		0.020000		-0.156548
0.146000		0.020000		-0.155890
0.147000		0.020000		-0.155253
0.148000		0.020000		-0.154636
0.149000		0.020000		-0.154039
0.150000		0.020000		-0.153462
0.151000		0.020000		-0.152903
0.152000		0.020000		-0.152364
0.153000		0.020000		-0.151844
0.154000		0.020000		-0.151341
0.155000		0.020000		-0.150857
0.156000		0.020000		-0.150390
0.157000		0.020000		-0.149941
0.158000		0.020000		-0.149508
0.159000		0.020000		-0.149092
0.160000		0.020000		-0.148693
0.161000		0.020000		-0.148309
0.162000		0.020000		-0.147941
0.163000		0.020000		-0.147589
0.164000		0.020000		-0.147251
0.165000		0.020000		-0.146928
0.166000		0.020000		-0.146619
0.167000		0.020000		-0.146325
0.168000		0.020000		-0.146044
0.169000		0.020000		-0.145776
0.170000		0.020000		-0.145522
0.171000		0.020000		-0.145281
0.172000		0.020000		-0.145052
0.173000		0.020000		-0.144835
0.174000		0.020000		-0.144630
0.175000		0.020000		-0.144437
0.176000		0.020000		-0.144255
0.177000		0.020000		-0.144084
0.178000		0.020000		-0.143925
0.179000		0.020000		-0.143775
0.180000		0.020000		-0.143636
0.181000		0.020000		-0.143508
0.182000		0.020000		-0.143389
0.183000		0.020000		-0.143279
0.184000		0.020000		-0.143179
0.185000		0.020000		-0.143089
0.186000		0.020000		-0.143007
0.187000		0.020000		-0.142934
0.188000		0.020000		-0.142869
0.189000		0.020000		-0.142812
0.190000		0.020000		-0.142764
0.191000		0.020000		-0.142724
0.192000		0.020000		-0.142691
0.193000		0.020000		-0.142665
0.194000		0.020000		-0.142647
0.195000		0.020000		-0.142636
0.196000		0.020000		-0.142632
0.197000		0.020000		-0.142635
0.198000		0.020000		-0.142644
0.199000		0.020000		-0.142660
0.200000		0.020000		-0.142682
0.100000		0.030000		-0.207593
0.101000		0.030000		-0.206169
0.102000		0.030000		-0.204744
0.103000		0.030000		-0.203317
0.104000		0.030000		-0.201892
0.105000		0.030000		-0.200469
0.106000		0.030000		-0.199051
0.107000		0.030000		-0.197639
0.108000		0.030000		-0.196234
0.109000		0.030000		-0.194838
0.110000		0.030000		-0.193451
0.111000		0.030000		-0.192076
0.112000		0.030000		-0.190714
0.113000		0.030000		-0.189365
0.114000		0.030000		-0.188030
0.115000		0.030000		-0.186711
0.116000		0.030000		-0.185408
0.117000		0.030000		-0.184122
0.118000		0.030000		-0.182855
0.119000		0.030000		-0.181606
0.120000		0.030000		-0.180376
0.121000		0.030000		-0.179166
0.122000		0.030000		-0.177977
0.123000		0.030000		-0.176808
0.124000		0.030000		-0.175661
0.125000		0.030000		-0.174535
0.126000		0.030000		-0.173431
0.127000		0.030000		-0.172350
0.128000		0.030000		-0.171290
0.129000		0.030000		-0.170254
0.130000		0.030000		-0.169240
0.131000		0.030000		-0.168248
0.132000		0.030000		-0.167280
0.133000		0.030000		-0.166334
0.134000		0.030000		-0.165411
0.135000		0.030000		-0.164511
0.136000		0.030000		-0.163634
0.137000		0.030000		-0.162779
0.138000		0.030000		-0.161947
0.139000		0.030000		-0.161137
0.140000		0.030000		-0.160349
0.141000		0.030000		-0.159583
0.142000		0.030000		-0.158839
0.143000		0.030000		-0.158117
0.144000		0.030000		-0.157415
0.145000		0.030000		-0.156735
0.146000		0.030000		-0.156075
0.147000		0.030000		-0.155436
0.148000		0.030000		-0.154817
0.149000		0.030000		-0.154218
0.150000		0.030000		-0.153639
0.151000		0.030000		-0.153079
0.152000		0.030000		-0.152537
0.153000		0.030000		-0.152015
0.154000		0.030000		-0.151510
0.155000		0.030000		-0.151024
0.156000		0.030000		-0.150555
0.157000		0.030000		-0.150104
0.158000		0.030000		-0.149669
0.159000		0.030000		-0.149251
0.160000		0.030000		-0.148850
0.161000		0.030000		-0.148464
0.162000		0.030000		-0.148094
0.163000		0.030000		-0.147740
0.164000		0.030000		-0.147400
0.165000		0.030000		-0.147076
0.166000		0.030000		-0.146765
0.167000		0.030000		-0.146469
0.168000		0.030000		-0.146186
0.169000		0.030000		-0.145917
0.170000		0.030000		-0.145661
0.171000		0.030000		-0.145418
0.172000		0.030000		-0.145187
0.173000		0.030000		-0.144968
0.174000		0.030000		-0.144762
0.175000		0.030000		-0.144567
0.176000		0.030000		-0.144384
0.177000		0.030000		-0.144212
0.178000		0.030000		-0.144050
0.179000		0.030000		-0.143900
0.180000		0.030000		-0.143759
0.181000		0.030000		-0.143629
0.182000		0.030000		-0.143509
0.183000		0.030000		-0.143398
0.184000		0.030000		-0.143297
0.185000		0.030000		-0.143205
0.186000		0.030000		-0.143121
0.187000		0.030000		-0.143047
0.188000		0.030000		-0.142981
0.189000		0.030000		-0.142923
0.190000		0.030000		-0.142874
0.191000		0.030000		-0.142832
0.192000		0.030000		-0.142798
0.193000		0.030000		-0.142772
0.194000		0.030000		-0.142752
0.195000		0.030000		-0.142740
0.196000		0.030000		-0.142735
0.197000		0.030000		-0.142737
0.198000		0.030000		-0.142745
0.199000		0.030000		-0.142760
0.200000		0.030000		-0.142781
0.100000		0.040000		-0.207826
0.101000		0.040000		-0.206408
0.102000		0.040000		-0.204988
0.103000		0.040000		-0.203568
0.104000		0.040000		-0.202147
0.105000		0.040000		-0.200730
0.106000		0.040000		-0.199316
0.107000		0.040000		-0.197908
0.108000		0.040000		-0.196507
0.109000		0.040000		-0.195115
0.110000		0.040000		-0.193732
0.111000		0.040000		-0.192360
0.112000		0.040000		-0.191000
0.113000		0.040000		-0.189653
0.114000		0.040000		-0.188321
0.115000		0.040000		-0.187004
0.116000		0.040000		-0.185702
0.117000		0.040000		-0.184418
0.118000		0.040000		-0.183152
0.119000		0.040000		-0.181904
0.120000		0.040000		-0.180674
0.121000		0.040000		-0.179465
0.122000		0.040000		-0.178276
0.123000		0.040000		-0.177107
0.124000		0.040000		-0.175959
0.125000		0.040000		-0.174833
0.126000		0.040000		-0.173728
0.127000		0.040000		-0.172646
0.128000		0.040000		-0.171585
0.129000		0.040000		-0.170547
0.130000		0.040000		-0.169532
0.131000		0.040000		-0.168539
0.132000		0.040000		-0.167569
0.133000		0.040000		-0.166621
0.134000		0.040000		-0.165696
0.135000		0.040000		-0.164794
0.136000		0.040000		-0.163915
0.137000		0.040000		-0.163058
0.138000		0.040000		-0.162223
0.139000		0.040000		-0.161411
0.140000		0.040000		-0.160621
0.141000		0.040000		-0.159852
0.142000		0.040000		-0.159106
0.143000		0.040000		-0.158380
0.144000		0.040000		-0.157676
0.145000		0.040000		-0.156993
0.146000		0.040000		-0.156331
0.147000		0.040000		-0.155689
0.148000		0.040000		-0.155067
0.149000		0.040000		-0.154466
0.150000		0.040000		-0.153883
0.151000		0.040000		-0.153320
0.152000		0.040000		-0.152776
0.153000		0.040000		-0.152251
0.154000		0.040000		-0.151744
0.155000		0.040000		-0.151255
0.156000		0.040000		-0.150783
0.157000		0.040000		-0.150329
0.158000		0.040000		-0.149892
0.159000		0.040000		-0.149471
0.160000		0.040000		-0.149067
0.161000		0.040000		-0.148679
0.162000		0.040000		-0.148306
0.163000		0.040000		-0.147949
0.164000		0.040000		-0.147607
0.165000		0.040000		-0.147280
0.166000		0.040000		-0.146967
0.167000		0.040000		-0.146668
0.168000		0.040000		-0.146383
0.169000		0.040000		-0.146112
0.170000		0.040000		-0.145853
0.171000		0.040000		-0.145608
0.172000		0.040000		-0.145375
0.173000		0.040000		-0.145154
0.174000		0.040000		-0.144945
0.175000		0.040000		-0.144748
0.176000		0.040000		-0.144563
0.177000		0.040000		-0.144389
0.178000		0.040000		-0.144225
0.179000		0.040000		-0.144072
0.180000		0.040000		-0.143930
0.181000		0.040000		-0.143798
0.182000		0.040000		-0.143676
0.183000		0.040000		-0.143563
0.184000		0.040000		-0.143460
0.185000		0.040000		-0.143366
0.186000		0.040000		-0.143281
0.187000		0.040000		-0.143205
0.188000		0.040000		-0.143137
0.189000		0.040000		-0.143078
0.190000		0.040000		-0.143026
0.191000		0.040000		-0.142983
0.192000		0.040000		-0.142947
0.193000		0.040000		-0.142919
0.194000		0.040000		-0.142899
0.195000		0.040000		-0.142885
0.196000		0.040000		-0.142878
0.197000		0.040000		-0.142879
0.198000		0.040000		-0.142885
0.199000		0.040000		-0.142899
0.200000		0.040000		-0.142918
0.100000		0.050000		-0.208108
0.101000		0.050000		-0.206699
0.102000		0.050000		-0.205286
0.103000		0.050000		-0.203872
0.104000		0.050000		-0.202459
0.105000		0.050000		-0.201047
0.106000		0.050000		-0.199640
0.107000		0.050000		-0.198237
0.108000		0.050000		-0.196842
0.109000		0.050000		-0.195454
0.110000		0.050000		-0.194075
0.111000		0.050000		-0.192708
0.112000		0.050000		-0.191352
0.113000		0.050000		-0.190008
0.114000		0.050000		-0.188679
0.115000		0.050000		-0.187364
0.116000		0.050000		-0.186066
0.117000		0.050000		-0.184783
0.118000		0.050000		-0.183519
0.119000		0.050000		-0.182272
0.120000		0.050000		-0.181044
0.121000		0.050000		-0.179835
0.122000		0.050000		-0.178646
0.123000		0.050000		-0.177477
0.124000		0.050000		-0.176329
0.125000		0.050000		-0.175203
0.126000		0.050000		-0.174098
0.127000		0.050000		-0.173014
0.128000		0.050000		-0.171952
0.129000		0.050000		-0.170913
0.130000		0.050000		-0.169896
0.131000		0.050000		-0.168902
0.132000		0.050000		-0.167929
0.133000		0.050000		-0.166980
0.134000		0.050000		-0.166053
0.135000		0.050000		-0.165149
0.136000		0.050000		-0.164267
0.137000		0.050000		-0.163407
0.138000		0.050000		-0.162570
0.139000		0.050000		-0.161754
0.140000		0.050000		-0.160961
0.141000		0.050000		-0.160190
0.142000		0.050000		-0.159440
0.143000		0.050000		-0.158712
0.144000		0.050000		-0.158005
0.145000		0.050000		-0.157318
0.146000		0.050000		-0.156653
0.147000		0.050000		-0.156008
0.148000		0.050000		-0.155383
0.149000		0.050000		-0.154777
0.150000		0.050000		-0.154192
0.151000		0.050000		-0.153625
0.152000		0.050000		-0.153078
0.153000		0.050000		-0.152549
0.154000		0.050000		-0.152039
0.155000		0.050000		-0.151546
0.156000		0.050000		-0.151071
0.157000		0.050000		-0.150614
0.158000		0.050000		-0.150173
0.159000		0.050000		-0.149750
0.160000		0.050000		-0.149342
0.161000		0.050000		-0.148951
0.162000		0.050000		-0.148575
0.163000		0.050000		-0.148215
