100
100
T [fm^-1]		muB [fm^-1]		c3_df14 [fm^4]
0.754545		0.027475		-42.740689
0.756970		0.027475		-41.228030
0.759394		0.027475		-39.775514
0.761818		0.027475		-38.380499
0.764242		0.027475		-37.040468
0.766667		0.027475		-35.753029
0.769091		0.027475		-34.515899
0.771515		0.027475		-33.326905
0.773939		0.027475		-32.183977
0.776364		0.027475		-31.085142
0.778788		0.027475		-30.028518
0.781212		0.027475		-29.012312
0.783636		0.027475		-28.034815
0.786061		0.027475		-27.094395
0.788485		0.027475		-26.189496
0.790909		0.027475		-25.318634
0.793333		0.027475		-24.480392
0.795758		0.027475		-23.673417
0.798182		0.027475		-22.896420
0.800606		0.027475		-22.148166
0.803030		0.027475		-21.427478
0.805455		0.027475		-20.733233
0.807879		0.027475		-20.064355
0.810303		0.027475		-19.419818
0.812727		0.027475		-18.798641
0.815152		0.027475		-18.199885
0.817576		0.027475		-17.622654
0.820000		0.027475		-17.066090
0.580000		0.054949		-982.286933
0.582424		0.054949		-931.876465
0.584848		0.054949		-884.336929
0.587273		0.054949		-839.489161
0.589697		0.054949		-797.166128
0.592121		0.054949		-757.212049
0.594545		0.054949		-719.481576
0.596970		0.054949		-683.839042
0.599394		0.054949		-650.157767
0.601818		0.054949		-618.319415
0.604242		0.054949		-588.213404
0.606667		0.054949		-559.736356
0.609091		0.054949		-532.791596
0.611515		0.054949		-507.288677
0.613939		0.054949		-483.142953
0.616364		0.054949		-460.275176
0.618788		0.054949		-438.611126
0.621212		0.054949		-418.081265
0.623636		0.054949		-398.620420
0.626061		0.054949		-380.167489
0.628485		0.054949		-362.665164
0.630909		0.054949		-346.059678
0.633333		0.054949		-330.300571
0.635758		0.054949		-315.340468
0.638182		0.054949		-301.134878
0.640606		0.054949		-287.642003
0.643030		0.054949		-274.822560
0.645455		0.054949		-262.639625
0.647879		0.054949		-251.058472
0.650303		0.054949		-240.046437
0.652727		0.054949		-229.572783
0.655152		0.054949		-219.608581
0.657576		0.054949		-210.126590
0.660000		0.054949		-201.101157
0.662424		0.054949		-192.508110
0.664848		0.054949		-184.324673
0.667273		0.054949		-176.529373
0.669697		0.054949		-169.101963
0.672121		0.054949		-162.023345
0.674545		0.054949		-155.275501
0.676970		0.054949		-148.841425
0.679394		0.054949		-142.705064
0.681818		0.054949		-136.851258
0.684242		0.054949		-131.265688
0.686667		0.054949		-125.934825
0.689091		0.054949		-120.845884
0.691515		0.054949		-115.986777
0.693939		0.054949		-111.346074
0.696364		0.054949		-106.912967
0.698788		0.054949		-102.677226
0.701212		0.054949		-98.629175
0.703636		0.054949		-94.759651
0.706061		0.054949		-91.059981
0.708485		0.054949		-87.521948
0.710909		0.054949		-84.137773
0.713333		0.054949		-80.900079
0.715758		0.054949		-77.801880
0.718182		0.054949		-74.836550
0.720606		0.054949		-71.997806
0.723030		0.054949		-69.279691
0.725455		0.054949		-66.676552
0.727879		0.054949		-64.183024
0.730303		0.054949		-61.794019
0.732727		0.054949		-59.504701
0.735152		0.054949		-57.310482
0.737576		0.054949		-55.207003
0.740000		0.054949		-53.190122
0.742424		0.054949		-51.255906
0.744848		0.054949		-49.400614
0.747273		0.054949		-47.620692
0.749697		0.054949		-45.912758
0.752121		0.054949		-44.273597
0.754545		0.054949		-42.700153
0.756970		0.054949		-41.189513
0.759394		0.054949		-39.738910
0.761818		0.054949		-38.345708
0.764242		0.054949		-37.007396
0.766667		0.054949		-35.721586
0.769091		0.054949		-34.486000
0.771515		0.054949		-33.298470
0.773939		0.054949		-32.156931
0.776364		0.054949		-31.059413
0.778788		0.054949		-30.004039
0.781212		0.054949		-28.989019
0.783636		0.054949		-28.012647
0.786061		0.054949		-27.073295
0.788485		0.054949		-26.169410
0.790909		0.054949		-25.299511
0.793333		0.054949		-24.462183
