100
100
T [fm^-1]		muB [fm^-1]		betabulk_dfce [fm^-4]
0.783636		0.027475		0.097472
0.786061		0.027475		0.099587
0.788485		0.027475		0.101742
0.790909		0.027475		0.103937
0.793333		0.027475		0.106174
0.795758		0.027475		0.108452
0.798182		0.027475		0.110773
0.800606		0.027475		0.113137
0.803030		0.027475		0.115545
0.805455		0.027475		0.117998
0.807879		0.027475		0.120496
0.810303		0.027475		0.123040
0.812727		0.027475		0.125631
0.815152		0.027475		0.128269
0.817576		0.027475		0.130956
0.820000		0.027475		0.133692
0.580000		0.054949		0.012115
0.582424		0.054949		0.012474
0.584848		0.054949		0.012842
0.587273		0.054949		0.013219
0.589697		0.054949		0.013605
0.592121		0.054949		0.014001
0.594545		0.054949		0.014406
0.596970		0.054949		0.014821
0.599394		0.054949		0.015246
0.601818		0.054949		0.015681
0.604242		0.054949		0.016126
0.606667		0.054949		0.016582
0.609091		0.054949		0.017049
0.611515		0.054949		0.017527
0.613939		0.054949		0.018016
0.616364		0.054949		0.018516
0.618788		0.054949		0.019028
0.621212		0.054949		0.019552
0.623636		0.054949		0.020088
0.626061		0.054949		0.020636
0.628485		0.054949		0.021197
0.630909		0.054949		0.021770
0.633333		0.054949		0.022357
0.635758		0.054949		0.022956
0.638182		0.054949		0.023570
0.640606		0.054949		0.024197
0.643030		0.054949		0.024838
0.645455		0.054949		0.025493
0.647879		0.054949		0.026163
0.650303		0.054949		0.026848
0.652727		0.054949		0.027548
0.655152		0.054949		0.028263
0.657576		0.054949		0.028994
0.660000		0.054949		0.029740
0.662424		0.054949		0.030503
0.664848		0.054949		0.031283
0.667273		0.054949		0.032079
0.669697		0.054949		0.032893
0.672121		0.054949		0.033724
0.674545		0.054949		0.034573
0.676970		0.054949		0.035440
0.679394		0.054949		0.036325
0.681818		0.054949		0.037229
0.684242		0.054949		0.038152
0.686667		0.054949		0.039095
0.689091		0.054949		0.040058
0.691515		0.054949		0.041040
0.693939		0.054949		0.042043
0.696364		0.054949		0.043067
0.698788		0.054949		0.044113
0.701212		0.054949		0.045180
0.703636		0.054949		0.046269
0.706061		0.054949		0.047380
0.708485		0.054949		0.048515
0.710909		0.054949		0.049672
0.713333		0.054949		0.050853
0.715758		0.054949		0.052059
0.718182		0.054949		0.053288
0.720606		0.054949		0.054543
0.723030		0.054949		0.055823
0.725455		0.054949		0.057128
0.727879		0.054949		0.058460
0.730303		0.054949		0.059819
0.732727		0.054949		0.061205
0.735152		0.054949		0.062618
0.737576		0.054949		0.064060
0.740000		0.054949		0.065530
0.742424		0.054949		0.067029
0.744848		0.054949		0.068558
0.747273		0.054949		0.070117
0.749697		0.054949		0.071706
0.752121		0.054949		0.073327
0.754545		0.054949		0.074979
0.756970		0.054949		0.076663
0.759394		0.054949		0.078380
0.761818		0.054949		0.080131
0.764242		0.054949		0.081915
0.766667		0.054949		0.083734
0.769091		0.054949		0.085587
0.771515		0.054949		0.087476
0.773939		0.054949		0.089402
