100
100
T [fm^-1]		muB [fm^-1]		F_dfce [fm^-1]
0.754545		0.027475		-0.116662
0.756970		0.027475		-0.116835
0.759394		0.027475		-0.117010
0.761818		0.027475		-0.117187
0.764242		0.027475		-0.117367
0.766667		0.027475		-0.117549
0.769091		0.027475		-0.117733
0.771515		0.027475		-0.117920
0.773939		0.027475		-0.118109
0.776364		0.027475		-0.118300
0.778788		0.027475		-0.118494
0.781212		0.027475		-0.118690
0.783636		0.027475		-0.118888
0.786061		0.027475		-0.119089
0.788485		0.027475		-0.119291
0.790909		0.027475		-0.119497
0.793333		0.027475		-0.119704
0.795758		0.027475		-0.119914
0.798182		0.027475		-0.120126
0.800606		0.027475		-0.120340
0.803030		0.027475		-0.120557
0.805455		0.027475		-0.120776
0.807879		0.027475		-0.120997
0.810303		0.027475		-0.121221
0.812727		0.027475		-0.121446
0.815152		0.027475		-0.121674
0.817576		0.027475		-0.121905
0.820000		0.027475		-0.122137
0.580000		0.054949		-0.108848
0.582424		0.054949		-0.108931
0.584848		0.054949		-0.109014
0.587273		0.054949		-0.109095
0.589697		0.054949		-0.109176
0.592121		0.054949		-0.109257
0.594545		0.054949		-0.109337
0.596970		0.054949		-0.109417
0.599394		0.054949		-0.109496
0.601818		0.054949		-0.109575
0.604242		0.054949		-0.109654
0.606667		0.054949		-0.109733
0.609091		0.054949		-0.109812
0.611515		0.054949		-0.109891
0.613939		0.054949		-0.109970
0.616364		0.054949		-0.110049
0.618788		0.054949		-0.110129
0.621212		0.054949		-0.110209
0.623636		0.054949		-0.110289
0.626061		0.054949		-0.110370
0.628485		0.054949		-0.110452
0.630909		0.054949		-0.110534
0.633333		0.054949		-0.110617
0.635758		0.054949		-0.110701
0.638182		0.054949		-0.110786
0.640606		0.054949		-0.110871
0.643030		0.054949		-0.110958
0.645455		0.054949		-0.111045
0.647879		0.054949		-0.111134
0.650303		0.054949		-0.111223
0.652727		0.054949		-0.111314
0.655152		0.054949		-0.111406
0.657576		0.054949		-0.111499
0.660000		0.054949		-0.111594
0.662424		0.054949		-0.111690
0.664848		0.054949		-0.111787
0.667273		0.054949		-0.111886
0.669697		0.054949		-0.111987
0.672121		0.054949		-0.112089
0.674545		0.054949		-0.112192
0.676970		0.054949		-0.112297
0.679394		0.054949		-0.112404
0.681818		0.054949		-0.112513
0.684242		0.054949		-0.112623
0.686667		0.054949		-0.112735
0.689091		0.054949		-0.112848
0.691515		0.054949		-0.112964
0.693939		0.054949		-0.113082
0.696364		0.054949		-0.113201
0.698788		0.054949		-0.113322
0.701212		0.054949		-0.113445
0.703636		0.054949		-0.113570
0.706061		0.054949		-0.113698
0.708485		0.054949		-0.113827
0.710909		0.054949		-0.113958
0.713333		0.054949		-0.114091
0.715758		0.054949		-0.114226
0.718182		0.054949		-0.114364
0.720606		0.054949		-0.114503
0.723030		0.054949		-0.114645
0.725455		0.054949		-0.114789
0.727879		0.054949		-0.114935
0.730303		0.054949		-0.115083
0.732727		0.054949		-0.115233
0.735152		0.054949		-0.115386
0.737576		0.054949		-0.115541
0.740000		0.054949		-0.115698
0.742424		0.054949		-0.115857
0.744848		0.054949		-0.116018
0.747273		0.054949		-0.116182
0.749697		0.054949		-0.116348
0.752121		0.054949		-0.116516
0.754545		0.054949		-0.116687
0.756970		0.054949		-0.116859
0.759394		0.054949		-0.117034
0.761818		0.054949		-0.117212
0.764242		0.054949		-0.117392
0.766667		0.054949		-0.117574
0.769091		0.054949		-0.117758
0.771515		0.054949		-0.117944
0.773939		0.054949		-0.118133
0.776364		0.054949		-0.118324
0.778788		0.054949		-0.118518
0.781212		0.054949		-0.118714
0.783636		0.054949		-0.118912
0.786061		0.054949		-0.119112
0.788485		0.054949		-0.119315
0.790909		0.054949		-0.119520
0.793333		0.054949		-0.119728
0.795758		0.054949		-0.119937
0.798182		0.054949		-0.120149
0.800606		0.054949		-0.120364
0.803030		0.054949		-0.120580
0.805455		0.054949		-0.120799
0.807879		0.054949		-0.121020
0.810303		0.054949		-0.121244
0.812727		0.054949		-0.121469
0.815152		0.054949		-0.121697
0.817576		0.054949		-0.121928
0.820000		0.054949		-0.122160
0.580000		0.082424		-0.108886
0.582424		0.082424		-0.108970
0.584848		0.082424		-0.109053
0.587273		0.082424		-0.109135
0.589697		0.082424		-0.109216
0.592121		0.082424		-0.109297
0.594545		0.082424		-0.109377
0.596970		0.082424		-0.109457
0.599394		0.082424		-0.109536
0.601818		0.082424		-0.109616
0.604242		0.082424		-0.109695
0.606667		0.082424		-0.109774
0.609091		0.082424		-0.109853
0.611515		0.082424		-0.109932
0.613939		0.082424		-0.110011
0.616364		0.082424		-0.110091
0.618788		0.082424		-0.110171
0.621212		0.082424		-0.110251
0.623636		0.082424		-0.110332
0.626061		0.082424		-0.110413
0.628485		0.082424		-0.110494
0.630909		0.082424		-0.110577
0.633333		0.082424		-0.110660
0.635758		0.082424		-0.110744
0.638182		0.082424		-0.110828
0.640606		0.082424		-0.110914
0.643030		0.082424		-0.111000
0.645455		0.082424		-0.111088
0.647879		0.082424		-0.111177
0.650303		0.082424		-0.111266
0.652727		0.082424		-0.111357
0.655152		0.082424		-0.111449
0.657576		0.082424		-0.111543
0.660000		0.082424		-0.111637
0.662424		0.082424		-0.111733
0.664848		0.082424		-0.111831
0.667273		0.082424		-0.111930
0.669697		0.082424		-0.112030
0.672121		0.082424		-0.112132
0.674545		0.082424		-0.112235
0.676970		0.082424		-0.112341
0.679394		0.082424		-0.112447
0.681818		0.082424		-0.112556
0.684242		0.082424		-0.112666
0.686667		0.082424		-0.112778
0.689091		0.082424		-0.112892
0.691515		0.082424		-0.113007
0.693939		0.082424		-0.113125
0.696364		0.082424		-0.113244
0.698788		0.082424		-0.113365
0.701212		0.082424		-0.113488
0.703636		0.082424		-0.113613
0.706061		0.082424		-0.113740
0.708485		0.082424		-0.113870
0.710909		0.082424		-0.114001
0.713333		0.082424		-0.114134
0.715758		0.082424		-0.114269
0.718182		0.082424		-0.114406
0.720606		0.082424		-0.114546
0.723030		0.082424		-0.114687
0.725455		0.082424		-0.114831
0.727879		0.082424		-0.114977
0.730303		0.082424		-0.115125
0.732727		0.082424		-0.115275
0.735152		0.082424		-0.115428
0.737576		0.082424		-0.115582
0.740000		0.082424		-0.115739
0.742424		0.082424		-0.115898
0.744848		0.082424		-0.116060
0.747273		0.082424		-0.116223
0.749697		0.082424		-0.116389
0.752121		0.082424		-0.116557
0.754545		0.082424		-0.116728
0.756970		0.082424		-0.116900
0.759394		0.082424		-0.117075
0.761818		0.082424		-0.117253
0.764242		0.082424		-0.117432
0.766667		0.082424		-0.117614
0.769091		0.082424		-0.117798
0.771515		0.082424		-0.117985
0.773939		0.082424		-0.118174
0.776364		0.082424		-0.118365
0.778788		0.082424		-0.118558
0.781212		0.082424		-0.118754
0.783636		0.082424		-0.118952
0.786061		0.082424		-0.119152
0.788485		0.082424		-0.119355
0.790909		0.082424		-0.119560
0.793333		0.082424		-0.119767
0.795758		0.082424		-0.119977
0.798182		0.082424		-0.120189
0.800606		0.082424		-0.120403
0.803030		0.082424		-0.120619
0.805455		0.082424		-0.120838
0.807879		0.082424		-0.121059
0.810303		0.082424		-0.121282
0.812727		0.082424		-0.121508
0.815152		0.082424		-0.121736
0.817576		0.082424		-0.121966
0.820000		0.082424		-0.122198
0.580000		0.109899		-0.108940
0.582424		0.109899		-0.109024
0.584848		0.109899		-0.109107
0.587273		0.109899		-0.109189
0.589697		0.109899		-0.109271
0.592121		0.109899		-0.109352
0.594545		0.109899		-0.109433
0.596970		0.109899		-0.109513
0.599394		0.109899		-0.109593
0.601818		0.109899		-0.109672
0.604242		0.109899		-0.109752
0.606667		0.109899		-0.109831
0.609091		0.109899		-0.109910
0.611515		0.109899		-0.109989
0.613939		0.109899		-0.110069
0.616364		0.109899		-0.110149
0.618788		0.109899		-0.110229
0.621212		0.109899		-0.110309
0.623636		0.109899		-0.110390
0.626061		0.109899		-0.110471
0.628485		0.109899		-0.110553
0.630909		0.109899		-0.110636
0.633333		0.109899		-0.110719
0.635758		0.109899		-0.110803
0.638182		0.109899		-0.110888
0.640606		0.109899		-0.110973
0.643030		0.109899		-0.111060
0.645455		0.109899		-0.111148
0.647879		0.109899		-0.111236
0.650303		0.109899		-0.111326
0.652727		0.109899		-0.111417
0.655152		0.109899		-0.111509
0.657576		0.109899		-0.111603
0.660000		0.109899		-0.111697
0.662424		0.109899		-0.111793
0.664848		0.109899		-0.111891
0.667273		0.109899		-0.111990
0.669697		0.109899		-0.112090
0.672121		0.109899		-0.112192
0.674545		0.109899		-0.112296
0.676970		0.109899		-0.112401
0.679394		0.109899		-0.112507
0.681818		0.109899		-0.112616
0.684242		0.109899		-0.112726
0.686667		0.109899		-0.112838
0.689091		0.109899		-0.112952
0.691515		0.109899		-0.113067
0.693939		0.109899		-0.113185
0.696364		0.109899		-0.113304
0.698788		0.109899		-0.113425
0.701212		0.109899		-0.113548
0.703636		0.109899		-0.113673
0.706061		0.109899		-0.113800
0.708485		0.109899		-0.113929
0.710909		0.109899		-0.114060
0.713333		0.109899		-0.114193
0.715758		0.109899		-0.114328
0.718182		0.109899		-0.114466
0.720606		0.109899		-0.114605
0.723030		0.109899		-0.114746
0.725455		0.109899		-0.114890
0.727879		0.109899		-0.115036
0.730303		0.109899		-0.115184
0.732727		0.109899		-0.115334
0.735152		0.109899		-0.115486
0.737576		0.109899		-0.115641
0.740000		0.109899		-0.115798
0.742424		0.109899		-0.115956
0.744848		0.109899		-0.116118
0.747273		0.109899		-0.116281
0.749697		0.109899		-0.116447
0.752121		0.109899		-0.116615
0.754545		0.109899		-0.116785
0.756970		0.109899		-0.116958
0.759394		0.109899		-0.117133
0.761818		0.109899		-0.117310
0.764242		0.109899		-0.117489
0.766667		0.109899		-0.117671
0.769091		0.109899		-0.117855
0.771515		0.109899		-0.118041
0.773939		0.109899		-0.118230
0.776364		0.109899		-0.118421
0.778788		0.109899		-0.118614
0.781212		0.109899		-0.118810
0.783636		0.109899		-0.119008
0.786061		0.109899		-0.119208
0.788485		0.109899		-0.119410
0.790909		0.109899		-0.119615
0.793333		0.109899		-0.119822
0.795758		0.109899		-0.120032
0.798182		0.109899		-0.120243
0.800606		0.109899		-0.120457
0.803030		0.109899		-0.120674
0.805455		0.109899		-0.120892
0.807879		0.109899		-0.121113
0.810303		0.109899		-0.121336
0.812727		0.109899		-0.121562
0.815152		0.109899		-0.121789
0.817576		0.109899		-0.122019
0.820000		0.109899		-0.122252
0.580000		0.137374		-0.109008
0.582424		0.137374		-0.109092
0.584848		0.137374		-0.109176
0.587273		0.137374		-0.109259
0.589697		0.137374		-0.109341
0.592121		0.137374		-0.109422
0.594545		0.137374		-0.109503
0.596970		0.137374		-0.109584
0.599394		0.137374		-0.109664
0.601818		0.137374		-0.109744
0.604242		0.137374		-0.109824
0.606667		0.137374		-0.109903
0.609091		0.137374		-0.109983
0.611515		0.137374		-0.110063
0.613939		0.137374		-0.110142
0.616364		0.137374		-0.110222
0.618788		0.137374		-0.110303
0.621212		0.137374		-0.110383
0.623636		0.137374		-0.110464
0.626061		0.137374		-0.110546
0.628485		0.137374		-0.110628
0.630909		0.137374		-0.110711
0.633333		0.137374		-0.110794
0.635758		0.137374		-0.110878
0.638182		0.137374		-0.110963
0.640606		0.137374		-0.111049
0.643030		0.137374		-0.111136
0.645455		0.137374		-0.111224
0.647879		0.137374		-0.111312
0.650303		0.137374		-0.111402
0.652727		0.137374		-0.111493
0.655152		0.137374		-0.111586
0.657576		0.137374		-0.111679
0.660000		0.137374		-0.111774
0.662424		0.137374		-0.111870
0.664848		0.137374		-0.111967
0.667273		0.137374		-0.112066
0.669697		0.137374		-0.112167
0.672121		0.137374		-0.112269
0.674545		0.137374		-0.112372
0.676970		0.137374		-0.112477
0.679394		0.137374		-0.112584
0.681818		0.137374		-0.112693
0.684242		0.137374		-0.112803
0.686667		0.137374		-0.112915
0.689091		0.137374		-0.113028
0.691515		0.137374		-0.113144
0.693939		0.137374		-0.113261
0.696364		0.137374		-0.113380
0.698788		0.137374		-0.113501
0.701212		0.137374		-0.113624
0.703636		0.137374		-0.113749
0.706061		0.137374		-0.113876
0.708485		0.137374		-0.114005
0.710909		0.137374		-0.114136
0.713333		0.137374		-0.114269
0.715758		0.137374		-0.114404
0.718182		0.137374		-0.114541
0.720606		0.137374		-0.114681
0.723030		0.137374		-0.114822
0.725455		0.137374		-0.114965
0.727879		0.137374		-0.115111
0.730303		0.137374		-0.115259
0.732727		0.137374		-0.115409
0.735152		0.137374		-0.115561
0.737576		0.137374		-0.115715
0.740000		0.137374		-0.115872
0.742424		0.137374		-0.116031
0.744848		0.137374		-0.116192
0.747273		0.137374		-0.116355
0.749697		0.137374		-0.116521
0.752121		0.137374		-0.116689
0.754545		0.137374		-0.116859
0.756970		0.137374		-0.117031
0.759394		0.137374		-0.117206
0.761818		0.137374		-0.117383
0.764242		0.137374		-0.117562
0.766667		0.137374		-0.117743
0.769091		0.137374		-0.117927
0.771515		0.137374		-0.118113
0.773939		0.137374		-0.118302
0.776364		0.137374		-0.118493
0.778788		0.137374		-0.118686
0.781212		0.137374		-0.118881
0.783636		0.137374		-0.119079
0.786061		0.137374		-0.119279
0.788485		0.137374		-0.119481
0.790909		0.137374		-0.119686
0.793333		0.137374		-0.119892
0.795758		0.137374		-0.120102
0.798182		0.137374		-0.120313
0.800606		0.137374		-0.120527
0.803030		0.137374		-0.120743
0.805455		0.137374		-0.120962
0.807879		0.137374		-0.121182
0.810303		0.137374		-0.121405
0.812727		0.137374		-0.121630
0.815152		0.137374		-0.121858
0.817576		0.137374		-0.122088
0.820000		0.137374		-0.122320
0.580000		0.164848		-0.109090
0.582424		0.164848		-0.109175
0.584848		0.164848		-0.109259
0.587273		0.164848		-0.109342
0.589697		0.164848		-0.109425
0.592121		0.164848		-0.109507
0.594545		0.164848		-0.109588
0.596970		0.164848		-0.109669
0.599394		0.164848		-0.109750
0.601818		0.164848		-0.109830
0.604242		0.164848		-0.109910
0.606667		0.164848		-0.109991
0.609091		0.164848		-0.110071
0.611515		0.164848		-0.110151
0.613939		0.164848		-0.110231
0.616364		0.164848		-0.110311
0.618788		0.164848		-0.110392
0.621212		0.164848		-0.110473
0.623636		0.164848		-0.110554
0.626061		0.164848		-0.110636
0.628485		0.164848		-0.110718
0.630909		0.164848		-0.110801
0.633333		0.164848		-0.110885
0.635758		0.164848		-0.110969
0.638182		0.164848		-0.111055
0.640606		0.164848		-0.111141
0.643030		0.164848		-0.111227
0.645455		0.164848		-0.111315
0.647879		0.164848		-0.111404
0.650303		0.164848		-0.111494
0.652727		0.164848		-0.111586
0.655152		0.164848		-0.111678
0.657576		0.164848		-0.111771
0.660000		0.164848		-0.111866
0.662424		0.164848		-0.111963
0.664848		0.164848		-0.112060
0.667273		0.164848		-0.112159
0.669697		0.164848		-0.112260
0.672121		0.164848		-0.112362
0.674545		0.164848		-0.112465
0.676970		0.164848		-0.112570
