32
Generalized Gauss Laguerre roots-weights [a = 1,2,3]:
Roots[a=1]		Weights[a=1]		Roots[a=2]		Weights[a=2]		Roots[a=3]		Weights[a=3]
0.111258307817857		0.0186059727905476		0.196943922146667		0.00825033790777967		0.299618729049241		0.00660146448073508
0.373218875635789		0.0866173173954464		0.529487866050161		0.0671033262747106		0.701981065353977		0.0813584931042281
0.785645933548703		0.174736939714111		1.01026981913845		0.206386098255352		1.24974569814569		0.347537436309438
1.34945557597191		0.223981707776893		1.640616191672		0.368179392999486		1.94514382443706		0.809963198105261
2.06595254243689		0.207665649180844		2.42200673335506		0.446389764546666		2.78994869155499		1.22739584119905
2.9368251505102		0.147764609849031		3.35625823737525		0.397211321904435		3.78614305529879		1.32050782861975
3.96416490487103		0.0832606473486164		4.44557319147359		0.270703020914857		4.93605293430173		1.06049919505728
5.15049470795513		0.0378197718165418		5.69257570606939		0.144937243765141		6.24240692441721		0.655616488144915
6.49880481850242		0.0139927393633244		7.10035048878373		0.0619302157291065		7.70838362900271		0.318173017008472
8.01259753651012		0.004241112030074		8.67248915845674		0.0213227539141068		9.3376617765878		0.122743109012855
9.69594226244322		0.00105579297396034		10.413146435518		0.00594841159169929		11.1344784990019		0.0379333897858022
11.5535431802497		0.000215935110576046		12.3271087558129		0.00134795257769464		13.1036993239838		0.00943187028689987
13.5908225576041		3.62266132038311e-05		14.4198784243951		0.000248166548996264		15.2509033992287		0.00188978713293874
15.8140236536506		4.96936839587084e-06		16.6977773650005		3.7053223540482e-05		17.5824881879873		0.000304914974586437
18.2303386010357		5.54740690315405e-07		19.1680758788069		4.47057760459712e-06		20.1057991514724		3.95130877631855e-05
20.848068568997		5.00813828447151e-08		21.839153763432		4.33555258401213e-07		22.8292918399089		4.09377958251348e-06
23.6768263015307		3.62776022875082e-09		24.7207039368187		3.35571417159735e-08		25.7627366009885		3.36921618654073e-07
26.727795211377		2.08821684084769e-10		27.823992811746		2.05432200435071e-09		28.9174802233293		2.1841295448875e-08
30.0140653370291		9.44037161938962e-12		31.1621978174102		9.83646900727572e-11		32.3067850039226		1.10337736506627e-09
33.5510758837993		3.30457415819565e-13		34.7508519173206		3.63364388210833e-12		35.9462752181738		4.28638379146177e-11
37.3572089427003		8.80420243357802e-15		38.6084399084037		1.01834576904109e-13		39.8545359681502		1.25966453444067e-12
41.4546032327439		1.74829776065748e-16		42.7572156420076		2.12110313498633e-15		44.0539338428991		2.74423030367617e-14
45.8702977224496		2.5216841514199e-18		47.2243504952188		3.20100105319804e-17		48.5717701879893		4.32175197361363e-16
50.6378873345034		2.55814264797865e-20		52.0435960848824		3.39007439648141e-19		53.4419507581545		4.76686817705967e-18
55.8000071146054		1.75187894103143e-22		57.257778984273		2.41904571899768e-21		58.7074908793654		3.53643350342934e-20
61.4122254946366		7.67671322813603e-25		62.9227106235616		1.10270714408855e-23		64.4244418290391		1.67355018349782e-22
67.5494874881775		2.00250351976227e-27		69.1136582681551		2.98827103874582e-26		70.6683893377061		4.70254099995936e-25
74.3175519062769		2.80862372202544e-30		75.9368320953467		4.34972188455989e-29		77.5459900633602		7.09116556196869e-28
81.8752902019347		1.81852286568561e-33		83.5517824825995		2.92108431650778e-32		85.2174664086695		4.93082516196282e-31
90.484348981827		4.23375360281789e-37		92.221284870548		7.0533942409897e-36		93.9467116599065		1.23284946609868e-34
100.645181531231		2.20632410063702e-41		102.447989923982		3.81617106981223e-40		104.238552969691		6.91389702736573e-39
113.644990137437		7.76055673224384e-47		115.52490220024		1.39864930768275e-45		117.391742318923		2.63586492716958e-44
