2  0  0
2.1  0.0567494  0.22717
2.2  0.103706  0.415978
2.3  0.142916  0.57496
2.4  0.175905  0.710317
2.5  0.203839  0.826667
2.6  0.227617  0.927515
2.7  0.247949  1.01557
2.8  0.265398  1.09297
2.9  0.280417  1.1614
3  0.293374  1.22222
3.1  0.304571  1.27655
3.2  0.314258  1.32528
3.3  0.322642  1.36919
3.4  0.329898  1.40888
3.5  0.336173  1.4449
3.6  0.34159  1.47768
3.7  0.346256  1.50762
3.8  0.350263  1.53502
3.9  0.353687  1.56018
4  0.356598  1.58333
4.1  0.359053  1.60469
4.2  0.361103  1.62443
4.3  0.362794  1.64272
4.4  0.364164  1.6597
4.5  0.365248  1.67549
4.6  0.366075  1.69019
4.7  0.366674  1.70391
4.8  0.367067  1.71674
4.9  0.367275  1.72875
5  0.367318  1.74
5.1  0.367212  1.75056
5.2  0.366971  1.7605
5.3  0.366611  1.76984
5.4  0.366141  1.77865
5.5  0.365574  1.78696
5.6  0.364919  1.79481
5.7  0.364185  1.80223
5.8  0.363379  1.80925
5.9  0.36251  1.81591
6  0.361582  1.82222
6.1  0.360603  1.82821
6.2  0.359577  1.83391
6.3  0.358509  1.83932
6.4  0.357405  1.84447
6.5  0.356266  1.84938
6.6  0.355099  1.85406
6.7  0.353905  1.85852
6.8  0.352687  1.86278
6.9  0.351449  1.86686
7  0.350193  1.87075
7.1  0.348921  1.87447
7.2  0.347636  1.87804
7.3  0.346339  1.88145
7.4  0.345032  1.88472
7.5  0.343717  1.88786
7.6  0.342395  1.89088
7.7  0.341067  1.89377
7.8  0.339735  1.89655
7.9  0.3384  1.89922
8  0.337063  1.90179
8.1  0.335725  1.90426
8.2  0.334387  1.90664
8.3  0.333049  1.90893
8.4  0.331713  1.91114
8.5  0.330378  1.91326
8.6  0.329047  1.91532
8.7  0.327718  1.9173
8.8  0.326393  1.91921
8.9  0.325072  1.92106
9  0.323755  1.92284
9.1  0.322444  1.92456
9.2  0.321138  1.92623
9.3  0.319837  1.92784
9.4  0.318542  1.9294
9.5  0.317254  1.93091
9.6  0.315972  1.93237
9.7  0.314696  1.93379
9.8  0.313428  1.93516
9.9  0.312166  1.93649
10  0.310912  1.93778
10.1  0.309664  1.93903
10.2  0.308425  1.94024
10.3  0.307192  1.94142
10.4  0.305968  1.94256
10.5  0.304751  1.94367
10.6  0.303541  1.94475
10.7  0.30234  1.94579
10.8  0.301146  1.94681
10.9  0.299961  1.9478
11  0.298783  1.94876
11.1  0.297613  1.9497
11.2  0.296451  1.95061
11.3  0.295298  1.95149
11.4  0.294152  1.95235
11.5  0.293014  1.95319
11.6  0.291884  1.95401
11.7  0.290763  1.9548
11.8  0.289649  1.95558
11.9  0.288543  1.95633
