101
81
T [GeV]		muB [GeV]		c0_T4 [fm^3/GeV^3 * GeV^4]
0.100000		0.000000		-0.545679
0.101000		0.000000		-0.518764
0.102000		0.000000		-0.493458
0.103000		0.000000		-0.469645
0.104000		0.000000		-0.447221
0.105000		0.000000		-0.426088
0.106000		0.000000		-0.406159
0.107000		0.000000		-0.387350
0.108000		0.000000		-0.369587
0.109000		0.000000		-0.352800
0.110000		0.000000		-0.336926
0.111000		0.000000		-0.321904
0.112000		0.000000		-0.307680
0.113000		0.000000		-0.294203
0.114000		0.000000		-0.281428
0.115000		0.000000		-0.269310
0.116000		0.000000		-0.257809
0.117000		0.000000		-0.246887
0.118000		0.000000		-0.236511
0.119000		0.000000		-0.226647
0.120000		0.000000		-0.217266
0.121000		0.000000		-0.208340
0.122000		0.000000		-0.199843
0.123000		0.000000		-0.191751
0.124000		0.000000		-0.184040
0.125000		0.000000		-0.176690
0.126000		0.000000		-0.169682
0.127000		0.000000		-0.162995
0.128000		0.000000		-0.156614
0.129000		0.000000		-0.150522
0.130000		0.000000		-0.144704
0.131000		0.000000		-0.139145
0.132000		0.000000		-0.133832
0.133000		0.000000		-0.128753
0.134000		0.000000		-0.123895
0.135000		0.000000		-0.119248
0.136000		0.000000		-0.114802
0.137000		0.000000		-0.110545
0.138000		0.000000		-0.106469
0.139000		0.000000		-0.102566
0.140000		0.000000		-0.098827
0.141000		0.000000		-0.095243
0.142000		0.000000		-0.091809
0.143000		0.000000		-0.088516
0.144000		0.000000		-0.085358
0.145000		0.000000		-0.082329
0.146000		0.000000		-0.079423
0.147000		0.000000		-0.076635
0.148000		0.000000		-0.073958
0.149000		0.000000		-0.071389
0.150000		0.000000		-0.068921
0.151000		0.000000		-0.066552
0.152000		0.000000		-0.064276
0.153000		0.000000		-0.062089
0.154000		0.000000		-0.059987
0.155000		0.000000		-0.057967
0.156000		0.000000		-0.056025
0.157000		0.000000		-0.054159
0.158000		0.000000		-0.052363
0.159000		0.000000		-0.050636
0.160000		0.000000		-0.048975
0.161000		0.000000		-0.047377
0.162000		0.000000		-0.045839
0.163000		0.000000		-0.044359
0.164000		0.000000		-0.042934
0.165000		0.000000		-0.041562
0.166000		0.000000		-0.040241
0.167000		0.000000		-0.038969
0.168000		0.000000		-0.037743
0.169000		0.000000		-0.036563
0.170000		0.000000		-0.035425
0.171000		0.000000		-0.034329
0.172000		0.000000		-0.033272
0.173000		0.000000		-0.032254
0.174000		0.000000		-0.031272
0.175000		0.000000		-0.030325
0.176000		0.000000		-0.029412
0.177000		0.000000		-0.028532
0.178000		0.000000		-0.027682
0.179000		0.000000		-0.026863
0.180000		0.000000		-0.026072
0.181000		0.000000		-0.025308
0.182000		0.000000		-0.024572
0.183000		0.000000		-0.023860
0.184000		0.000000		-0.023174
0.185000		0.000000		-0.022510
0.186000		0.000000		-0.021870
0.187000		0.000000		-0.021251
0.188000		0.000000		-0.020654
0.189000		0.000000		-0.020076
0.190000		0.000000		-0.019518
0.191000		0.000000		-0.018979
0.192000		0.000000		-0.018457
0.193000		0.000000		-0.017953
0.194000		0.000000		-0.017466
0.195000		0.000000		-0.016994
0.196000		0.000000		-0.016539
0.197000		0.000000		-0.016098
0.198000		0.000000		-0.015671
0.199000		0.000000		-0.015258
0.200000		0.000000		-0.014859
0.100000		0.010000		-0.545927
0.101000		0.010000		-0.518994
0.102000		0.010000		-0.493671
0.103000		0.010000		-0.469843
0.104000		0.010000		-0.447404
0.105000		0.010000		-0.426258
0.106000		0.010000		-0.406316
0.107000		0.010000		-0.387495
0.108000		0.010000		-0.369720
0.109000		0.010000		-0.352923
0.110000		0.010000		-0.337038
0.111000		0.010000		-0.322006
0.112000		0.010000		-0.307773
0.113000		0.010000		-0.294289
0.114000		0.010000		-0.281506
0.115000		0.010000		-0.269380
0.116000		0.010000		-0.257872
0.117000		0.010000		-0.246944
0.118000		0.010000		-0.236562
0.119000		0.010000		-0.226693
