101
81
T [GeV]		muB [GeV]		betapi_over_T4 [fm^-4 / GeV^4]
0.108000		0.020000		33.229191
0.109000		0.020000		33.757332
0.110000		0.020000		34.297082
0.111000		0.020000		34.848836
0.112000		0.020000		35.412995
0.113000		0.020000		35.989966
0.114000		0.020000		36.580161
0.115000		0.020000		37.183998
0.116000		0.020000		37.801901
0.117000		0.020000		38.434298
0.118000		0.020000		39.081627
0.119000		0.020000		39.744326
0.120000		0.020000		40.422844
0.121000		0.020000		41.117633
0.122000		0.020000		41.829151
0.123000		0.020000		42.557864
0.124000		0.020000		43.304240
0.125000		0.020000		44.068756
0.126000		0.020000		44.851894
0.127000		0.020000		45.654141
0.128000		0.020000		46.475989
0.129000		0.020000		47.317938
0.130000		0.020000		48.180492
0.131000		0.020000		49.064159
0.132000		0.020000		49.969455
0.133000		0.020000		50.896899
0.134000		0.020000		51.847017
0.135000		0.020000		52.820339
0.136000		0.020000		53.817399
0.137000		0.020000		54.838738
0.138000		0.020000		55.884900
0.139000		0.020000		56.956433
0.140000		0.020000		58.053892
0.141000		0.020000		59.177832
0.142000		0.020000		60.328817
0.143000		0.020000		61.507411
0.144000		0.020000		62.714183
0.145000		0.020000		63.949705
0.146000		0.020000		65.214555
0.147000		0.020000		66.509309
0.148000		0.020000		67.834552
0.149000		0.020000		69.190866
0.150000		0.020000		70.578841
0.151000		0.020000		71.999064
0.152000		0.020000		73.452129
0.153000		0.020000		74.938629
0.154000		0.020000		76.459159
0.155000		0.020000		78.014317
0.156000		0.020000		79.604700
0.157000		0.020000		81.230909
0.158000		0.020000		82.893543
0.159000		0.020000		84.593204
0.160000		0.020000		86.330493
0.161000		0.020000		88.106012
0.162000		0.020000		89.920361
0.163000		0.020000		91.774142
0.164000		0.020000		93.667957
0.165000		0.020000		95.602405
0.166000		0.020000		97.578085
0.167000		0.020000		99.595595
0.168000		0.020000		101.655532
0.169000		0.020000		103.758491
0.170000		0.020000		105.905064
0.171000		0.020000		108.095844
0.172000		0.020000		110.331419
0.173000		0.020000		112.612375
0.174000		0.020000		114.939296
0.175000		0.020000		117.312763
0.176000		0.020000		119.733353
0.177000		0.020000		122.201640
0.178000		0.020000		124.718197
0.179000		0.020000		127.283588
0.180000		0.020000		129.898378
0.181000		0.020000		132.563125
0.182000		0.020000		135.278385
0.183000		0.020000		138.044707
0.184000		0.020000		140.862636
0.185000		0.020000		143.732713
0.186000		0.020000		146.655474
0.187000		0.020000		149.631449
0.188000		0.020000		152.661162
0.189000		0.020000		155.745133
0.190000		0.020000		158.883876
0.191000		0.020000		162.077897
0.192000		0.020000		165.327699
0.193000		0.020000		168.633776
0.194000		0.020000		171.996619
0.195000		0.020000		175.416709
0.196000		0.020000		178.894522
0.197000		0.020000		182.430527
0.198000		0.020000		186.025187
0.199000		0.020000		189.678957
0.200000		0.020000		193.392285
0.100000		0.030000		29.384347
0.101000		0.030000		29.833853
0.102000		0.030000		30.292024
0.103000		0.030000		30.759216
0.104000		0.030000		31.235790
0.105000		0.030000		31.722111
0.106000		0.030000		32.218551
0.107000		0.030000		32.725484
0.108000		0.030000		33.243292
0.109000		0.030000		33.772361
0.110000		0.030000		34.313081
0.111000		0.030000		34.865849
0.112000		0.030000		35.431069
0.113000		0.030000		36.009147
0.114000		0.030000		36.600497
0.115000		0.030000		37.205537
0.116000		0.030000		37.824694
0.117000		0.030000		38.458397
0.118000		0.030000		39.107082
0.119000		0.030000		39.771192
0.120000		0.030000		40.451175
0.121000		0.030000		41.147484
0.122000		0.030000		41.860579
0.123000		0.030000		42.590926
0.124000		0.030000		43.338995
0.125000		0.030000		44.105264
0.126000		0.030000		44.890215
0.127000		0.030000		45.694336
0.128000		0.030000		46.518122
0.129000		0.030000		47.362072
0.130000		0.030000		48.226690
0.131000		0.030000		49.112488
0.132000		0.030000		50.019981
0.133000		0.030000		50.949689
0.134000		0.030000		51.902139
0.135000		0.030000		52.877862
0.136000		0.030000		53.877394
0.137000		0.030000		54.901274
0.138000		0.030000		55.950049
0.139000		0.030000		57.024267
0.140000		0.030000		58.124484
0.141000		0.030000		59.251256
0.142000		0.030000		60.405147
0.143000		0.030000		61.586722
0.144000		0.030000		62.796551
0.145000		0.030000		64.035207
0.146000		0.030000		65.303267
0.147000		0.030000		66.601310
0.148000		0.030000		67.929918
0.149000		0.030000		69.289678
0.150000		0.030000		70.681176
0.151000		0.030000		72.105003
0.152000		0.030000		73.561752
0.153000		0.030000		75.052016
0.154000		0.030000		76.576391
0.155000		0.030000		78.135476
0.156000		0.030000		79.729868
0.157000		0.030000		81.360167
0.158000		0.030000		83.026974
0.159000		0.030000		84.730890
0.160000		0.030000		86.472517
0.161000		0.030000		88.252456
0.162000		0.030000		90.071310
0.163000		0.030000		91.929679
0.164000		0.030000		93.828164
0.165000		0.030000		95.767366
0.166000		0.030000		97.747884
