101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.196000		0.010000		-0.017177
0.197000		0.010000		-0.016658
0.198000		0.010000		-0.016159
0.199000		0.010000		-0.015679
0.200000		0.010000		-0.015218
0.100000		0.020000		-2.862836
0.101000		0.020000		-2.606983
0.102000		0.020000		-2.377775
0.103000		0.020000		-2.172072
0.104000		0.020000		-1.987142
0.105000		0.020000		-1.820608
0.106000		0.020000		-1.670394
0.107000		0.020000		-1.534686
0.108000		0.020000		-1.411892
0.109000		0.020000		-1.300616
0.110000		0.020000		-1.199630
0.111000		0.020000		-1.107851
0.112000		0.020000		-1.024323
0.113000		0.020000		-0.948202
0.114000		0.020000		-0.878739
0.115000		0.020000		-0.815270
0.116000		0.020000		-0.757206
0.117000		0.020000		-0.704020
0.118000		0.020000		-0.655244
0.119000		0.020000		-0.610462
0.120000		0.020000		-0.569298
0.121000		0.020000		-0.531419
0.122000		0.020000		-0.496525
0.123000		0.020000		-0.464347
0.124000		0.020000		-0.434641
0.125000		0.020000		-0.407192
0.126000		0.020000		-0.381801
0.127000		0.020000		-0.358293
0.128000		0.020000		-0.336507
0.129000		0.020000		-0.316298
0.130000		0.020000		-0.297535
0.131000		0.020000		-0.280100
0.132000		0.020000		-0.263884
0.133000		0.020000		-0.248789
0.134000		0.020000		-0.234726
0.135000		0.020000		-0.221614
0.136000		0.020000		-0.209379
0.137000		0.020000		-0.197954
0.138000		0.020000		-0.187276
0.139000		0.020000		-0.177289
0.140000		0.020000		-0.167942
0.141000		0.020000		-0.159188
0.142000		0.020000		-0.150982
0.143000		0.020000		-0.143286
0.144000		0.020000		-0.136063
0.145000		0.020000		-0.129279
0.146000		0.020000		-0.122904
0.147000		0.020000		-0.116908
0.148000		0.020000		-0.111267
0.149000		0.020000		-0.105954
0.150000		0.020000		-0.100950
0.151000		0.020000		-0.096231
0.152000		0.020000		-0.091781
0.153000		0.020000		-0.087581
0.154000		0.020000		-0.083614
0.155000		0.020000		-0.079867
0.156000		0.020000		-0.076324
0.157000		0.020000		-0.072972
0.158000		0.020000		-0.069801
0.159000		0.020000		-0.066798
0.160000		0.020000		-0.063953
0.161000		0.020000		-0.061256
0.162000		0.020000		-0.058699
0.163000		0.020000		-0.056272
0.164000		0.020000		-0.053969
0.165000		0.020000		-0.051782
0.166000		0.020000		-0.049704
0.167000		0.020000		-0.047729
0.168000		0.020000		-0.045850
0.169000		0.020000		-0.044063
0.170000		0.020000		-0.042362
0.171000		0.020000		-0.040743
0.172000		0.020000		-0.039200
0.173000		0.020000		-0.037729
0.174000		0.020000		-0.036327
0.175000		0.020000		-0.034990
0.176000		0.020000		-0.033714
0.177000		0.020000		-0.032496
0.178000		0.020000		-0.031332
0.179000		0.020000		-0.030221
0.180000		0.020000		-0.029159
0.181000		0.020000		-0.028144
0.182000		0.020000		-0.027173
0.183000		0.020000		-0.026244
0.184000		0.020000		-0.025355
0.185000		0.020000		-0.024504
0.186000		0.020000		-0.023689
0.187000		0.020000		-0.022908
0.188000		0.020000		-0.022159
0.189000		0.020000		-0.021441
0.190000		0.020000		-0.020753
0.191000		0.020000		-0.020093
0.192000		0.020000		-0.019459
0.193000		0.020000		-0.018851
0.194000		0.020000		-0.018267
0.195000		0.020000		-0.017706
0.196000		0.020000		-0.017166
0.197000		0.020000		-0.016648
0.198000		0.020000		-0.016150
0.199000		0.020000		-0.015671
0.200000		0.020000		-0.015210
0.100000		0.030000		-2.800268
0.101000		0.030000		-2.551465
0.102000		0.030000		-2.328439
0.103000		0.030000		-2.128164
0.104000		0.030000		-1.948012
0.105000		0.030000		-1.785688
0.106000		0.030000		-1.639191
0.107000		0.030000		-1.506768
0.108000		0.030000		-1.386883
0.109000		0.030000		-1.278187
0.110000		0.030000		-1.179490
0.111000		0.030000		-1.089747
0.112000		0.030000		-1.008032
0.113000		0.030000		-0.933527
0.114000		0.030000		-0.865506
0.115000		0.030000		-0.803326
0.116000		0.030000		-0.746413
0.117000		0.030000		-0.694260
0.118000		0.030000		-0.646410
0.119000		0.030000		-0.602458
0.120000		0.030000		-0.562041
0.121000		0.030000		-0.524833
0.122000		0.030000		-0.490543
0.123000		0.030000		-0.458909
0.124000		0.030000		-0.429695
0.125000		0.030000		-0.402689
0.126000		0.030000		-0.377699
0.127000		0.030000		-0.354553
0.128000		0.030000		-0.333095
0.129000		0.030000		-0.313183
0.130000		0.030000		-0.294689
0.131000		0.030000		-0.277498
0.132000		0.030000		-0.261504
0.133000		0.030000		-0.246610
0.134000		0.030000		-0.232731
0.135000		0.030000		-0.219786
0.136000		0.030000		-0.207702
0.137000		0.030000		-0.196415
0.138000		0.030000		-0.185863
0.139000		0.030000		-0.175992
0.140000		0.030000		-0.166750
0.141000		0.030000		-0.158092
0.142000		0.030000		-0.149974
0.143000		0.030000		-0.142358
0.144000		0.030000		-0.135208
0.145000		0.030000		-0.128492
0.146000		0.030000		-0.122178
0.147000		0.030000		-0.116239
0.148000		0.030000		-0.110649
0.149000		0.030000		-0.105384
0.150000		0.030000		-0.100423
0.151000		0.030000		-0.095745
0.152000		0.030000		-0.091331
0.153000		0.030000		-0.087165
0.154000		0.030000		-0.083230
0.155000		0.030000		-0.079511
0.156000		0.030000		-0.075994
0.157000		0.030000		-0.072667
0.158000		0.030000		-0.069518
0.159000		0.030000		-0.066536
0.160000		0.030000		-0.063710
0.161000		0.030000		-0.061031
0.162000		0.030000		-0.058490
0.163000		0.030000		-0.056079
0.164000		0.030000		-0.053790
0.165000		0.030000		-0.051615
0.166000		0.030000		-0.049549
0.167000		0.030000		-0.047585
0.168000		0.030000		-0.045717
0.169000		0.030000		-0.043939
0.170000		0.030000		-0.042247
0.171000		0.030000		-0.040635
0.172000		0.030000		-0.039100
0.173000		0.030000		-0.037636
0.174000		0.030000		-0.036240
