101
81
T [GeV]		muB [GeV]		c2_T4 [fm^3/GeV^3 * GeV^4]
0.100000		0.000000		-0.086252
0.101000		0.000000		-0.081424
0.102000		0.000000		-0.076914
0.103000		0.000000		-0.072697
0.104000		0.000000		-0.068751
0.105000		0.000000		-0.065058
0.106000		0.000000		-0.061598
0.107000		0.000000		-0.058355
0.108000		0.000000		-0.055313
0.109000		0.000000		-0.052457
0.110000		0.000000		-0.049776
0.111000		0.000000		-0.047256
0.112000		0.000000		-0.044887
0.113000		0.000000		-0.042658
0.114000		0.000000		-0.040560
0.115000		0.000000		-0.038584
0.116000		0.000000		-0.036721
0.117000		0.000000		-0.034965
0.118000		0.000000		-0.033309
0.119000		0.000000		-0.031745
0.120000		0.000000		-0.030268
0.121000		0.000000		-0.028872
0.122000		0.000000		-0.027553
0.123000		0.000000		-0.026305
0.124000		0.000000		-0.025125
0.125000		0.000000		-0.024007
0.126000		0.000000		-0.022948
0.127000		0.000000		-0.021944
0.128000		0.000000		-0.020993
0.129000		0.000000		-0.020090
0.130000		0.000000		-0.019234
0.131000		0.000000		-0.018421
0.132000		0.000000		-0.017649
0.133000		0.000000		-0.016916
0.134000		0.000000		-0.016218
0.135000		0.000000		-0.015555
0.136000		0.000000		-0.014924
0.137000		0.000000		-0.014324
0.138000		0.000000		-0.013753
0.139000		0.000000		-0.013208
0.140000		0.000000		-0.012689
0.141000		0.000000		-0.012195
0.142000		0.000000		-0.011724
0.143000		0.000000		-0.011274
0.144000		0.000000		-0.010845
0.145000		0.000000		-0.010436
0.146000		0.000000		-0.010045
0.147000		0.000000		-0.009671
0.148000		0.000000		-0.009314
0.149000		0.000000		-0.008973
0.150000		0.000000		-0.008647
0.151000		0.000000		-0.008336
0.152000		0.000000		-0.008037
0.153000		0.000000		-0.007752
0.154000		0.000000		-0.007479
0.155000		0.000000		-0.007217
0.156000		0.000000		-0.006966
0.157000		0.000000		-0.006726
0.158000		0.000000		-0.006496
0.159000		0.000000		-0.006275
0.160000		0.000000		-0.006064
0.161000		0.000000		-0.005861
0.162000		0.000000		-0.005666
0.163000		0.000000		-0.005479
0.164000		0.000000		-0.005300
0.165000		0.000000		-0.005128
0.166000		0.000000		-0.004962
0.167000		0.000000		-0.004803
0.168000		0.000000		-0.004651
0.169000		0.000000		-0.004504
0.170000		0.000000		-0.004363
0.171000		0.000000		-0.004227
0.172000		0.000000		-0.004097
0.173000		0.000000		-0.003971
0.174000		0.000000		-0.003850
0.175000		0.000000		-0.003734
0.176000		0.000000		-0.003622
0.177000		0.000000		-0.003514
0.178000		0.000000		-0.003410
0.179000		0.000000		-0.003310
0.180000		0.000000		-0.003214
0.181000		0.000000		-0.003121
0.182000		0.000000		-0.003031
0.183000		0.000000		-0.002945
0.184000		0.000000		-0.002862
0.185000		0.000000		-0.002781
0.186000		0.000000		-0.002704
0.187000		0.000000		-0.002629
0.188000		0.000000		-0.002557
0.189000		0.000000		-0.002487
0.190000		0.000000		-0.002420
0.191000		0.000000		-0.002355
0.192000		0.000000		-0.002292
0.193000		0.000000		-0.002231
0.194000		0.000000		-0.002172
0.195000		0.000000		-0.002116
0.196000		0.000000		-0.002061
0.197000		0.000000		-0.002008
0.198000		0.000000		-0.001956
0.199000		0.000000		-0.001907
0.200000		0.000000		-0.001859
0.100000		0.010000		-0.086312
0.101000		0.010000		-0.081481
0.102000		0.010000		-0.076966
0.103000		0.010000		-0.072746
0.104000		0.010000		-0.068797
0.105000		0.010000		-0.065101
0.106000		0.010000		-0.061638
0.107000		0.010000		-0.058392
0.108000		0.010000		-0.055347
0.109000		0.010000		-0.052490
0.110000		0.010000		-0.049806
0.111000		0.010000		-0.047284
0.112000		0.010000		-0.044913
0.113000		0.010000		-0.042682
0.114000		0.010000		-0.040582
0.115000		0.010000		-0.038605
0.116000		0.010000		-0.036741
0.117000		0.010000		-0.034983
0.118000		0.010000		-0.033325
0.119000		0.010000		-0.031760
0.120000		0.010000		-0.030282
0.121000		0.010000		-0.028885
0.122000		0.010000		-0.027565
0.123000		0.010000		-0.026316
0.124000		0.010000		-0.025135
0.125000		0.010000		-0.024016
0.126000		0.010000		-0.022956
0.127000		0.010000		-0.021952
0.128000		0.010000		-0.021000
0.129000		0.010000		-0.020097
0.130000		0.010000		-0.019240
0.131000		0.010000		-0.018427
0.132000		0.010000		-0.017654
0.133000		0.010000		-0.016920
0.134000		0.010000		-0.016222
0.135000		0.010000		-0.015559
0.136000		0.010000		-0.014928
0.137000		0.010000		-0.014327
0.138000		0.010000		-0.013755
0.139000		0.010000		-0.013211
0.140000		0.010000		-0.012692
0.141000		0.010000		-0.012197
0.142000		0.010000		-0.011725
0.143000		0.010000		-0.011276
0.144000		0.010000		-0.010846
0.145000		0.010000		-0.010437
0.146000		0.010000		-0.010046
0.147000		0.010000		-0.009672
0.148000		0.010000		-0.009315
0.149000		0.010000		-0.008974
0.150000		0.010000		-0.008648
0.151000		0.010000		-0.008336
0.152000		0.010000		-0.008037
0.153000		0.010000		-0.007752
0.154000		0.010000		-0.007479
0.155000		0.010000		-0.007217
0.156000		0.010000		-0.006966
0.157000		0.010000		-0.006726
0.158000		0.010000		-0.006496
0.159000		0.010000		-0.006275
0.160000		0.010000		-0.006063
0.161000		0.010000		-0.005860
0.162000		0.010000		-0.005666
0.163000		0.010000		-0.005479
0.164000		0.010000		-0.005299
0.165000		0.010000		-0.005127
0.166000		0.010000		-0.004962
0.167000		0.010000		-0.004803
0.168000		0.010000		-0.004650
0.169000		0.010000		-0.004503
0.170000		0.010000		-0.004362
0.171000		0.010000		-0.004227
0.172000		0.010000		-0.004096
0.173000		0.010000		-0.003971
0.174000		0.010000		-0.003850
0.175000		0.010000		-0.003733
0.176000		0.010000		-0.003621
0.177000		0.010000		-0.003514
0.178000		0.010000		-0.003410
0.179000		0.010000		-0.003310
0.180000		0.010000		-0.003213
0.181000		0.010000		-0.003120
0.182000		0.010000		-0.003031
0.183000		0.010000		-0.002944
0.184000		0.010000		-0.002861
0.185000		0.010000		-0.002781
0.186000		0.010000		-0.002703
0.187000		0.010000		-0.002628
0.188000		0.010000		-0.002556
0.189000		0.010000		-0.002486
0.190000		0.010000		-0.002419
0.191000		0.010000		-0.002354
0.192000		0.010000		-0.002291
0.193000		0.010000		-0.002230
0.194000		0.010000		-0.002172
0.195000		0.010000		-0.002115
0.196000		0.010000		-0.002060
0.197000		0.010000		-0.002007
0.198000		0.010000		-0.001956
0.199000		0.010000		-0.001906
0.200000		0.010000		-0.001858
0.100000		0.020000		-0.086490
0.101000		0.020000		-0.081647
0.102000		0.020000		-0.077122
0.103000		0.020000		-0.072891
0.104000		0.020000		-0.068933
0.105000		0.020000		-0.065228
0.106000		0.020000		-0.061757
0.107000		0.020000		-0.058503
0.108000		0.020000		-0.055450
0.109000		0.020000		-0.052586
0.110000		0.020000		-0.049895
0.111000		0.020000		-0.047367
0.112000		0.020000		-0.044990
0.113000		0.020000		-0.042754
0.114000		0.020000		-0.040649
0.115000		0.020000		-0.038666
0.116000		0.020000		-0.036798
0.117000		0.020000		-0.035036
0.118000		0.020000		-0.033374
0.119000		0.020000		-0.031805
0.120000		0.020000		-0.030324
0.121000		0.020000		-0.028924
0.122000		0.020000		-0.027601
0.123000		0.020000		-0.026349
0.124000		0.020000		-0.025165
0.125000		0.020000		-0.024044
0.126000		0.020000		-0.022982
0.127000		0.020000		-0.021975
0.128000		0.020000		-0.021021
0.129000		0.020000		-0.020116
0.130000		0.020000		-0.019258
0.131000		0.020000		-0.018443
0.132000		0.020000		-0.017669
0.133000		0.020000		-0.016933
0.134000		0.020000		-0.016234
0.135000		0.020000		-0.015570
0.136000		0.020000		-0.014938
0.137000		0.020000		-0.014336
0.138000		0.020000		-0.013763
0.139000		0.020000		-0.013218
0.140000		0.020000		-0.012698
0.141000		0.020000		-0.012202
0.142000		0.020000		-0.011730
0.143000		0.020000		-0.011280
0.144000		0.020000		-0.010850
0.145000		0.020000		-0.010440
0.146000		0.020000		-0.010048
0.147000		0.020000		-0.009674
0.148000		0.020000		-0.009317
0.149000		0.020000		-0.008975
0.150000		0.020000		-0.008649
0.151000		0.020000		-0.008337
0.152000		0.020000		-0.008038
0.153000		0.020000		-0.007752
0.154000		0.020000		-0.007479
0.155000		0.020000		-0.007217
0.156000		0.020000		-0.006966
0.157000		0.020000		-0.006725
0.158000		0.020000		-0.006495
0.159000		0.020000		-0.006274
0.160000		0.020000		-0.006062
0.161000		0.020000		-0.005859
0.162000		0.020000		-0.005664
0.163000		0.020000		-0.005478
0.164000		0.020000		-0.005298
0.165000		0.020000		-0.005126
0.166000		0.020000		-0.004960
0.167000		0.020000		-0.004801
0.168000		0.020000		-0.004649
0.169000		0.020000		-0.004502
0.170000		0.020000		-0.004361
0.171000		0.020000		-0.004225
0.172000		0.020000		-0.004094
0.173000		0.020000		-0.003969
0.174000		0.020000		-0.003848
0.175000		0.020000		-0.003732
0.176000		0.020000		-0.003620
0.177000		0.020000		-0.003512
0.178000		0.020000		-0.003408
0.179000		0.020000		-0.003308
0.180000		0.020000		-0.003212
0.181000		0.020000		-0.003119
0.182000		0.020000		-0.003029
0.183000		0.020000		-0.002943
0.184000		0.020000		-0.002859
0.185000		0.020000		-0.002779
0.186000		0.020000		-0.002702
0.187000		0.020000		-0.002627
0.188000		0.020000		-0.002554
0.189000		0.020000		-0.002485
0.190000		0.020000		-0.002417
0.191000		0.020000		-0.002352
0.192000		0.020000		-0.002290
0.193000		0.020000		-0.002229
0.194000		0.020000		-0.002170
0.195000		0.020000		-0.002114
0.196000		0.020000		-0.002059
0.197000		0.020000		-0.002006
0.198000		0.020000		-0.001955
0.199000		0.020000		-0.001905
0.200000		0.020000		-0.001857
0.100000		0.030000		-0.086776
0.101000		0.030000		-0.081915
0.102000		0.030000		-0.077373
0.103000		0.030000		-0.073126
0.104000		0.030000		-0.069153
0.105000		0.030000		-0.065433
0.106000		0.030000		-0.061948
0.107000		0.030000		-0.058681
0.108000		0.030000		-0.055617
0.109000		0.030000		-0.052741
0.110000		0.030000		-0.050040
0.111000		0.030000		-0.047502
0.112000		0.030000		-0.045115
0.113000		0.030000		-0.042870
0.114000		0.030000		-0.040757
0.115000		0.030000		-0.038766
0.116000		0.030000		-0.036890
0.117000		0.030000		-0.035122
0.118000		0.030000		-0.033453
0.119000		0.030000		-0.031879
0.120000		0.030000		-0.030391
0.121000		0.030000		-0.028986
0.122000		0.030000		-0.027658
0.123000		0.030000		-0.026402
0.124000		0.030000		-0.025213
0.125000		0.030000		-0.024088
0.126000		0.030000		-0.023023
0.127000		0.030000		-0.022013
0.128000		0.030000		-0.021056
0.129000		0.030000		-0.020148
0.130000		0.030000		-0.019287
0.131000		0.030000		-0.018469
0.132000		0.030000		-0.017692
0.133000		0.030000		-0.016955
0.134000		0.030000		-0.016254
0.135000		0.030000		-0.015587
0.136000		0.030000		-0.014953
0.137000		0.030000		-0.014350
0.138000		0.030000		-0.013776
0.139000		0.030000		-0.013229
0.140000		0.030000		-0.012708
0.141000		0.030000		-0.012211
0.142000		0.030000		-0.011738
0.143000		0.030000		-0.011286
0.144000		0.030000		-0.010856
0.145000		0.030000		-0.010445
0.146000		0.030000		-0.010052
0.147000		0.030000		-0.009678
0.148000		0.030000		-0.009320
0.149000		0.030000		-0.008977
0.150000		0.030000		-0.008650
0.151000		0.030000		-0.008338
0.152000		0.030000		-0.008039
0.153000		0.030000		-0.007752
0.154000		0.030000		-0.007478
0.155000		0.030000		-0.007216
0.156000		0.030000		-0.006965
0.157000		0.030000		-0.006724
0.158000		0.030000		-0.006494
0.159000		0.030000		-0.006273
0.160000		0.030000		-0.006061
0.161000		0.030000		-0.005857
0.162000		0.030000		-0.005662
0.163000		0.030000		-0.005475
0.164000		0.030000		-0.005296
0.165000		0.030000		-0.005123
0.166000		0.030000		-0.004958
0.167000		0.030000		-0.004799
0.168000		0.030000		-0.004646
0.169000		0.030000		-0.004499
0.170000		0.030000		-0.004358
0.171000		0.030000		-0.004222
0.172000		0.030000		-0.004091
0.173000		0.030000		-0.003966
0.174000		0.030000		-0.003845
0.175000		0.030000		-0.003729
0.176000		0.030000		-0.003617
0.177000		0.030000		-0.003509
0.178000		0.030000		-0.003405
0.179000		0.030000		-0.003305
0.180000		0.030000		-0.003209
0.181000		0.030000		-0.003116
0.182000		0.030000		-0.003026
0.183000		0.030000		-0.002940
0.184000		0.030000		-0.002857
0.185000		0.030000		-0.002776
0.186000		0.030000		-0.002699
0.187000		0.030000		-0.002624
0.188000		0.030000		-0.002552
0.189000		0.030000		-0.002482
0.190000		0.030000		-0.002415
0.191000		0.030000		-0.002350
0.192000		0.030000		-0.002287
0.193000		0.030000		-0.002226
0.194000		0.030000		-0.002168
0.195000		0.030000		-0.002111
0.196000		0.030000		-0.002056
0.197000		0.030000		-0.002003
0.198000		0.030000		-0.001952
0.199000		0.030000		-0.001903
0.200000		0.030000		-0.001855
0.100000		0.040000		-0.087158
0.101000		0.040000		-0.082273
0.102000		0.040000		-0.077708
0.103000		0.040000		-0.073440
0.104000		0.040000		-0.069447
0.105000		0.040000		-0.065708
0.106000		0.040000		-0.062205
0.107000		0.040000		-0.058921
0.108000		0.040000		-0.055840
0.109000		0.040000		-0.052949
0.110000		0.040000		-0.050234
0.111000		0.040000		-0.047682
0.112000		0.040000		-0.045283
0.113000		0.040000		-0.043026
0.114000		0.040000		-0.040901
0.115000		0.040000		-0.038900
0.116000		0.040000		-0.037015
0.117000		0.040000		-0.035237
0.118000		0.040000		-0.033560
0.119000		0.040000		-0.031977
0.120000		0.040000		-0.030482
0.121000		0.040000		-0.029070
0.122000		0.040000		-0.027735
0.123000		0.040000		-0.026473
0.124000		0.040000		-0.025279
0.125000		0.040000		-0.024148
0.126000		0.040000		-0.023078
0.127000		0.040000		-0.022063
0.128000		0.040000		-0.021102
0.129000		0.040000		-0.020190
