101
81
T [GeV]		muB [GeV]		betabulk_over_T4 [fm^-4 / GeV^4]
0.108000		0.020000		11.777708
0.109000		0.020000		12.112533
0.110000		0.020000		12.452685
0.111000		0.020000		12.798186
0.112000		0.020000		13.149061
0.113000		0.020000		13.505342
0.114000		0.020000		13.867063
0.115000		0.020000		14.234265
0.116000		0.020000		14.606993
0.117000		0.020000		14.985297
0.118000		0.020000		15.369232
0.119000		0.020000		15.758858
0.120000		0.020000		16.154241
0.121000		0.020000		16.555448
0.122000		0.020000		16.962556
0.123000		0.020000		17.375642
0.124000		0.020000		17.794791
0.125000		0.020000		18.220090
0.126000		0.020000		18.651631
0.127000		0.020000		19.089512
0.128000		0.020000		19.533833
0.129000		0.020000		19.984699
0.130000		0.020000		20.442218
0.131000		0.020000		20.906503
0.132000		0.020000		21.377669
0.133000		0.020000		21.855836
0.134000		0.020000		22.341126
0.135000		0.020000		22.833665
0.136000		0.020000		23.333580
0.137000		0.020000		23.841004
0.138000		0.020000		24.356069
0.139000		0.020000		24.878911
0.140000		0.020000		25.409668
0.141000		0.020000		25.948481
0.142000		0.020000		26.495490
0.143000		0.020000		27.050841
0.144000		0.020000		27.614676
0.145000		0.020000		28.187143
0.146000		0.020000		28.768387
0.147000		0.020000		29.358559
0.148000		0.020000		29.957805
0.149000		0.020000		30.566275
0.150000		0.020000		31.184118
0.151000		0.020000		31.811485
0.152000		0.020000		32.448525
0.153000		0.020000		33.095388
0.154000		0.020000		33.752222
0.155000		0.020000		34.419176
0.156000		0.020000		35.096400
0.157000		0.020000		35.784039
0.158000		0.020000		36.482241
0.159000		0.020000		37.191150
0.160000		0.020000		37.910912
0.161000		0.020000		38.641668
0.162000		0.020000		39.383560
0.163000		0.020000		40.136728
0.164000		0.020000		40.901310
0.165000		0.020000		41.677442
0.166000		0.020000		42.465258
0.167000		0.020000		43.264891
0.168000		0.020000		44.076470
0.169000		0.020000		44.900123
0.170000		0.020000		45.735975
0.171000		0.020000		46.584150
0.172000		0.020000		47.444767
0.173000		0.020000		48.317944
0.174000		0.020000		49.203796
0.175000		0.020000		50.102435
0.176000		0.020000		51.013971
0.177000		0.020000		51.938509
0.178000		0.020000		52.876153
0.179000		0.020000		53.827003
0.180000		0.020000		54.791155
0.181000		0.020000		55.768704
0.182000		0.020000		56.759740
0.183000		0.020000		57.764351
0.184000		0.020000		58.782619
0.185000		0.020000		59.814626
0.186000		0.020000		60.860448
0.187000		0.020000		61.920160
0.188000		0.020000		62.993830
0.189000		0.020000		64.081525
0.190000		0.020000		65.183309
0.191000		0.020000		66.299240
0.192000		0.020000		67.429374
0.193000		0.020000		68.573763
0.194000		0.020000		69.732455
