101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.108000		0.020000		0.056670
0.109000		0.020000		0.061829
0.110000		0.020000		0.067366
0.111000		0.020000		0.073304
0.112000		0.020000		0.079663
0.113000		0.020000		0.086466
0.114000		0.020000		0.093737
0.115000		0.020000		0.101499
0.116000		0.020000		0.109778
0.117000		0.020000		0.118598
0.118000		0.020000		0.127988
0.119000		0.020000		0.137973
0.120000		0.020000		0.148582
0.121000		0.020000		0.159845
0.122000		0.020000		0.171790
0.123000		0.020000		0.184450
0.124000		0.020000		0.197854
0.125000		0.020000		0.212036
0.126000		0.020000		0.227029
0.127000		0.020000		0.242867
0.128000		0.020000		0.259585
0.129000		0.020000		0.277219
0.130000		0.020000		0.295807
0.131000		0.020000		0.315384
0.132000		0.020000		0.335991
0.133000		0.020000		0.357666
0.134000		0.020000		0.380450
0.135000		0.020000		0.404385
0.136000		0.020000		0.429511
0.137000		0.020000		0.455873
0.138000		0.020000		0.483513
0.139000		0.020000		0.512477
0.140000		0.020000		0.542811
0.141000		0.020000		0.574560
0.142000		0.020000		0.607773
0.143000		0.020000		0.642496
0.144000		0.020000		0.678780
0.145000		0.020000		0.716675
0.146000		0.020000		0.756230
0.147000		0.020000		0.797497
0.148000		0.020000		0.840530
0.149000		0.020000		0.885380
0.150000		0.020000		0.932103
0.151000		0.020000		0.980752
0.152000		0.020000		1.031383
0.153000		0.020000		1.084053
0.154000		0.020000		1.138819
0.155000		0.020000		1.195738
0.156000		0.020000		1.254870
0.157000		0.020000		1.316272
0.158000		0.020000		1.380006
0.159000		0.020000		1.446132
0.160000		0.020000		1.514712
0.161000		0.020000		1.585807
0.162000		0.020000		1.659479
0.163000		0.020000		1.735793
0.164000		0.020000		1.814812
0.165000		0.020000		1.896601
0.166000		0.020000		1.981225
0.167000		0.020000		2.068749
0.168000		0.020000		2.159239
0.169000		0.020000		2.252763
0.170000		0.020000		2.349387
0.171000		0.020000		2.449180
0.172000		0.020000		2.552208
0.173000		0.020000		2.658542
0.174000		0.020000		2.768249
0.175000		0.020000		2.881400
0.176000		0.020000		2.998064
0.177000		0.020000		3.118312
0.178000		0.020000		3.242213
0.179000		0.020000		3.369839
0.180000		0.020000		3.501262
0.181000		0.020000		3.636551
0.182000		0.020000		3.775780
0.183000		0.020000		3.919021
0.184000		0.020000		4.066344
0.185000		0.020000		4.217824
0.186000		0.020000		4.373532
0.187000		0.020000		4.533541
0.188000		0.020000		4.697924
0.189000		0.020000		4.866755
0.190000		0.020000		5.040106
0.191000		0.020000		5.218050
0.192000		0.020000		5.400660
0.193000		0.020000		5.588011
0.194000		0.020000		5.780175
0.195000		0.020000		5.977226
0.196000		0.020000		6.179236
0.197000		0.020000		6.386279
0.198000		0.020000		6.598429
0.199000		0.020000		6.815758
0.200000		0.020000		7.038339
0.100000		0.030000		0.027395
0.101000		0.030000		0.030241
0.102000		0.030000		0.033326
0.103000		0.030000		0.036666
0.104000		0.030000		0.040277
0.105000		0.030000		0.044177
0.106000		0.030000		0.048381
0.107000		0.030000		0.052909
0.108000		0.030000		0.057779
0.109000		0.030000		0.063010
0.110000		0.030000		0.068624
0.111000		0.030000		0.074640
0.112000		0.030000		0.081081
0.113000		0.030000		0.087970
0.114000		0.030000		0.095328
0.115000		0.030000		0.103182
0.116000		0.030000		0.111555
0.117000		0.030000		0.120472
0.118000		0.030000		0.129962
0.119000		0.030000		0.140050
0.120000		0.030000		0.150766
0.121000		0.030000		0.162137
0.122000		0.030000		0.174195
0.123000		0.030000		0.186968
0.124000		0.030000		0.200490
0.125000		0.030000		0.214792
0.126000		0.030000		0.229907
0.127000		0.030000		0.245870
0.128000		0.030000		0.262715
0.129000		0.030000		0.280479
0.130000		0.030000		0.299198
0.131000		0.030000		0.318909
0.132000		0.030000		0.339652
0.133000		0.030000		0.361464
0.134000		0.030000		0.384388
0.135000		0.030000		0.408463
0.136000		0.030000		0.433731
0.137000		0.030000		0.460237
0.138000		0.030000		0.488022
0.139000		0.030000		0.517132
0.140000		0.030000		0.547612
0.141000		0.030000		0.579509
0.142000		0.030000		0.612869
0.143000		0.030000		0.647742
0.144000		0.030000		0.684174
0.145000		0.030000		0.722218
0.146000		0.030000		0.761922
0.147000		0.030000		0.803338
0.148000		0.030000		0.846519
0.149000		0.030000		0.891517
0.150000		0.030000		0.938386
0.151000		0.030000		0.987182
0.152000		0.030000		1.037958
0.153000		0.030000		1.090773
0.154000		0.030000		1.145681
0.155000		0.030000		1.202741
0.156000		0.030000		1.262012
0.157000		0.030000		1.323553
0.158000		0.030000		1.387422
0.159000		0.030000		1.453682
0.160000		0.030000		1.522392
0.161000		0.030000		1.593615
0.162000		0.030000		1.667414
0.163000		0.030000		1.743851
0.164000		0.030000		1.822990
0.165000		0.030000		1.904896
0.166000		0.030000		1.989633
0.167000		0.030000		2.077267
0.168000		0.030000		2.167864
0.169000		0.030000		2.261491
0.170000		0.030000		2.358214
0.171000		0.030000		2.458101
0.172000		0.030000		2.561220
0.173000		0.030000		2.667639
0.174000		0.030000		2.777428
0.175000		0.030000		2.890656
0.176000		0.030000		3.007392
0.177000		0.030000		3.127707
0.178000		0.030000		3.251671
0.179000		0.030000		3.379354
0.180000		0.030000		3.510828
0.181000		0.030000		3.646164
0.182000		0.030000		3.785434
0.183000		0.030000		3.928709
0.184000		0.030000		4.076062
0.185000		0.030000		4.227566
0.186000		0.030000		4.383291
0.187000		0.030000		4.543312
0.188000		0.030000		4.707700
0.189000		0.030000		4.876530
0.190000		0.030000		5.049873
0.191000		0.030000		5.227803
0.192000		0.030000		5.410394
0.193000		0.030000		5.597717
0.194000		0.030000		5.789848
0.195000		0.030000		5.986857
0.196000		0.030000		6.188820
0.197000		0.030000		6.395809
0.198000		0.030000		6.607897
0.199000		0.030000		6.825158
0.200000		0.030000		7.047663
0.100000		0.040000		0.028287
0.101000		0.040000		0.031202
0.102000		0.040000		0.034361
0.103000		0.040000		0.037780
0.104000		0.040000		0.041473
0.105000		0.040000		0.045457
0.106000		0.040000		0.049752
0.107000		0.040000		0.054373
0.108000		0.040000		0.059341
0.109000		0.040000		0.064675
0.110000		0.040000		0.070395
0.111000		0.040000		0.076522
0.112000		0.040000		0.083078
0.113000		0.040000		0.090086
0.114000		0.040000		0.097568
0.115000		0.040000		0.105549
0.116000		0.040000		0.114054
0.117000		0.040000		0.123108
0.118000		0.040000		0.132738
0.119000		0.040000		0.142971
0.120000		0.040000		0.153834
0.121000		0.040000		0.165358
0.122000		0.040000		0.177572
0.123000		0.040000		0.190506
0.124000		0.040000		0.204191
0.125000		0.040000		0.218661
0.126000		0.040000		0.233947
0.127000		0.040000		0.250085
0.128000		0.040000		0.267108
0.129000		0.040000		0.285053
0.130000		0.040000		0.303955
0.131000		0.040000		0.323853
0.132000		0.040000		0.344785
0.133000		0.040000		0.366790
0.134000		0.040000		0.389908
0.135000		0.040000		0.414179
