101
81
T [GeV]		muB [GeV]		betabulk_over_T4 [fm^-4 / GeV^4]
0.108000		0.020000		11.573049
0.109000		0.020000		11.897193
0.110000		0.020000		12.226300
0.111000		0.020000		12.560382
0.112000		0.020000		12.899454
0.113000		0.020000		13.243536
0.114000		0.020000		13.592651
0.115000		0.020000		13.946829
0.116000		0.020000		14.306102
0.117000		0.020000		14.670507
0.118000		0.020000		15.040087
0.119000		0.020000		15.414888
0.120000		0.020000		15.794961
0.121000		0.020000		16.180360
0.122000		0.020000		16.571147
0.123000		0.020000		16.967384
0.124000		0.020000		17.369139
0.125000		0.020000		17.776484
0.126000		0.020000		18.189495
0.127000		0.020000		18.608252
0.128000		0.020000		19.032838
0.129000		0.020000		19.463340
0.130000		0.020000		19.899847
0.131000		0.020000		20.342455
0.132000		0.020000		20.791258
0.133000		0.020000		21.246357
0.134000		0.020000		21.707854
0.135000		0.020000		22.175854
0.136000		0.020000		22.650464
0.137000		0.020000		23.131793
0.138000		0.020000		23.619954
0.139000		0.020000		24.115060
0.140000		0.020000		24.617226
0.141000		0.020000		25.126569
0.142000		0.020000		25.643207
0.143000		0.020000		26.167259
0.144000		0.020000		26.698847
0.145000		0.020000		27.238091
0.146000		0.020000		27.785113
0.147000		0.020000		28.340036
0.148000		0.020000		28.902983
0.149000		0.020000		29.474077
0.150000		0.020000		30.053441
0.151000		0.020000		30.641198
0.152000		0.020000		31.237471
0.153000		0.020000		31.842382
0.154000		0.020000		32.456053
0.155000		0.020000		33.078605
0.156000		0.020000		33.710159
0.157000		0.020000		34.350833
0.158000		0.020000		35.000746
0.159000		0.020000		35.660015
0.160000		0.020000		36.328756
0.161000		0.020000		37.007083
0.162000		0.020000		37.695108
0.163000		0.020000		38.392943
0.164000		0.020000		39.100696
0.165000		0.020000		39.818475
0.166000		0.020000		40.546386
0.167000		0.020000		41.284532
0.168000		0.020000		42.033013
0.169000		0.020000		42.791930
0.170000		0.020000		43.561377
0.171000		0.020000		44.341451
0.172000		0.020000		45.132242
0.173000		0.020000		45.933839
0.174000		0.020000		46.746329
0.175000		0.020000		47.569797
0.176000		0.020000		48.404323
0.177000		0.020000		49.249987
0.178000		0.020000		50.106862
0.179000		0.020000		50.975024
0.180000		0.020000		51.854540
0.181000		0.020000		52.745479
0.182000		0.020000		53.647905
0.183000		0.020000		54.561877
0.184000		0.020000		55.487455
0.185000		0.020000		56.424692
0.186000		0.020000		57.373642
0.187000		0.020000		58.334351
0.188000		0.020000		59.306866
0.189000		0.020000		60.291229
0.190000		0.020000		61.287479
0.191000		0.020000		62.295652
0.192000		0.020000		63.315781
0.193000		0.020000		64.347895
0.194000		0.020000		65.392020
0.195000		0.020000		66.448179
0.196000		0.020000		67.516392
0.197000		0.020000		68.596677
0.198000		0.020000		69.689045
0.199000		0.020000		70.793508
0.200000		0.020000		71.910072
0.100000		0.030000		9.140936
0.101000		0.030000		9.424775
0.102000		0.030000		9.713652
0.103000		0.030000		10.007552
0.104000		0.030000		10.306461
0.105000		0.030000		10.610367
0.106000		0.030000		10.919263
0.107000		0.030000		11.233146
0.108000		0.030000		11.552015
0.109000		0.030000		11.875875
0.110000		0.030000		12.204733
0.111000		0.030000		12.538601
0.112000		0.030000		12.877495
0.113000		0.030000		13.221437
0.114000		0.030000		13.570450
0.115000		0.030000		13.924564
0.116000		0.030000		14.283812
0.117000		0.030000		14.648233
0.118000		0.030000		15.017869
0.119000		0.030000		15.392767
0.120000		0.030000		15.772977
0.121000		0.030000		16.158555
0.122000		0.030000		16.549561
0.123000		0.030000		16.946059
0.124000		0.030000		17.348117
0.125000		0.030000		17.755805
0.126000		0.030000		18.169201
0.127000		0.030000		18.588384
0.128000		0.030000		19.013436
0.129000		0.030000		19.444445
0.130000		0.030000		19.881500
0.131000		0.030000		20.324695
0.132000		0.030000		20.774126
0.133000		0.030000		21.229891
0.134000		0.030000		21.692094
0.135000		0.030000		22.160838
0.136000		0.030000		22.636230
0.137000		0.030000		23.118380
0.138000		0.030000		23.607398
0.139000		0.030000		24.103398
0.140000		0.030000		24.606495
0.141000		0.030000		25.116805
0.142000		0.030000		25.634445
0.143000		0.030000		26.159536
0.144000		0.030000		26.692195
0.145000		0.030000		27.232546
0.146000		0.030000		27.780708
0.147000		0.030000		28.336804
0.148000		0.030000		28.900957
0.149000		0.030000		29.473289
0.150000		0.030000		30.053923
0.151000		0.030000		30.642981
0.152000		0.030000		31.240586
0.153000		0.030000		31.846860
0.154000		0.030000		32.461923
0.155000		0.030000		33.085897
0.156000		0.030000		33.718901
0.157000		0.030000		34.361055
0.158000		0.030000		35.012476
0.159000		0.030000		35.673280
0.160000		0.030000		36.343583
0.161000		0.030000		37.023499
0.162000		0.030000		37.713139
0.163000		0.030000		38.412615
0.164000		0.030000		39.122035
0.165000		0.030000		39.841505
0.166000		0.030000		40.571132
0.167000		0.030000		41.311018
0.168000		0.030000		42.061263
0.169000		0.030000		42.821966
0.170000		0.030000		43.593223
0.171000		0.030000		44.375128
0.172000		0.030000		45.167772
0.173000		0.030000		45.971244
0.174000		0.030000		46.785631
0.175000		0.030000		47.611015
0.176000		0.030000		48.447477
0.177000		0.030000		49.295097
0.178000		0.030000		50.153948
0.179000		0.030000		51.024103
0.180000		0.030000		51.905632
0.181000		0.030000		52.798601
0.182000		0.030000		53.703074
0.183000		0.030000		54.619111
0.184000		0.030000		55.546769
0.185000		0.030000		56.486104
0.186000		0.030000		57.437166
0.187000		0.030000		58.400003
0.188000		0.030000		59.374660
0.189000		0.030000		60.361180
0.190000		0.030000		61.359600
0.191000		0.030000		62.369957
0.192000		0.030000		63.392282
0.193000		0.030000		64.426605
0.194000		0.030000		65.472951
0.195000		0.030000		66.531343
0.196000		0.030000		67.601800
0.197000		0.030000		68.684338
0.198000		0.030000		69.778971
0.199000		0.030000		70.885708
0.200000		0.030000		72.004555
0.100000		0.040000		9.117505
0.101000		0.040000		9.400652
0.102000		0.040000		9.688867
0.103000		0.040000		9.982137
0.104000		0.040000		10.280449
0.105000		0.040000		10.583795
0.106000		0.040000		10.892171
0.107000		0.040000		11.205574
0.108000		0.040000		11.524006
0.109000		0.040000		11.847474
0.110000		0.040000		12.175986
0.111000		0.040000		12.509556
0.112000		0.040000		12.848203
0.113000		0.040000		13.191947
0.114000		0.040000		13.540814
0.115000		0.040000		13.894836
0.116000		0.040000		14.254046
0.117000		0.040000		14.618483
0.118000		0.040000		14.988190
0.119000		0.040000		15.363215
0.120000		0.040000		15.743608
0.121000		0.040000		16.129427
0.122000		0.040000		16.520731
0.123000		0.040000		16.917583
0.124000		0.040000		17.320052
0.125000		0.040000		17.728209
0.126000		0.040000		18.142131
0.127000		0.040000		18.561897
0.128000		0.040000		18.987588
0.129000		0.040000		19.419293
0.130000		0.040000		19.857101
0.131000		0.040000		20.301104
0.132000		0.040000		20.751398
0.133000		0.040000		21.208082
0.134000		0.040000		21.671257
0.135000		0.040000		22.141028
0.136000		0.040000		22.617501
0.137000		0.040000		23.100784
0.138000		0.040000		23.590988
0.139000		0.040000		24.088226
0.140000		0.040000		24.592611
0.141000		0.040000		25.104260
0.142000		0.040000		25.623289
0.143000		0.040000		26.149818
0.144000		0.040000		26.683964
0.145000		0.040000		27.225850
0.146000		0.040000		27.775594
0.147000		0.040000		28.333320
0.148000		0.040000		28.899147
0.149000		0.040000		29.473200
0.150000		0.040000		30.055599
0.151000		0.040000		30.646466
0.152000		0.040000		31.245924
0.153000		0.040000		31.854093
0.154000		0.040000		32.471094
0.155000		0.040000		33.097047
0.156000		0.040000		33.732071
0.157000		0.040000		34.376284
0.158000		0.040000		35.029805
0.159000		0.040000		35.692748
0.160000		0.040000		36.365228
0.161000		0.040000		37.047358
0.162000		0.040000		37.739250
0.163000		0.040000		38.441013
0.164000		0.040000		39.152757
0.165000		0.040000		39.874587
0.166000		0.040000		40.606607
0.167000		0.040000		41.348920
0.168000		0.040000		42.101626
0.169000		0.040000		42.864822
0.170000		0.040000		43.638604
0.171000		0.040000		44.423066
0.172000		0.040000		45.218298
0.173000		0.040000		46.024388
0.174000		0.040000		46.841421
0.175000		0.040000		47.669482
0.176000		0.040000		48.508649
0.177000		0.040000		49.359000
0.178000		0.040000		50.220610
0.179000		0.040000		51.093551
0.180000		0.040000		51.977891
0.181000		0.040000		52.873697
0.182000		0.040000		53.781030
0.183000		0.040000		54.699952
0.184000		0.040000		55.630518
0.185000		0.040000		56.572784
0.186000		0.040000		57.526798
0.187000		0.040000		58.492609
0.188000		0.040000		59.470261
0.189000		0.040000		60.459796
0.190000		0.040000		61.461250
0.191000		0.040000		62.474660
0.192000		0.040000		63.500056
0.193000		0.040000		64.537467
0.194000		0.040000		65.586918
0.195000		0.040000		66.648431
0.196000		0.040000		67.722025
0.197000		0.040000		68.807715
0.198000		0.040000		69.905514
0.199000		0.040000		71.015430
0.200000		0.040000		72.137470
0.100000		0.050000		9.089511
0.101000		0.050000		9.371803
0.102000		0.050000		9.659198
0.103000		0.050000		9.951686
0.104000		0.050000		10.249257
0.105000		0.050000		10.551906
0.106000		0.050000		10.859632
0.107000		0.050000		11.172435
0.108000		0.050000		11.490320
0.109000		0.050000		11.813295
0.110000		0.050000		12.141372
0.111000		0.050000		12.474566
0.112000		0.050000		12.812897
0.113000		0.050000		13.156389
0.114000		0.050000		13.505069
0.115000		0.050000		13.858969
0.116000		0.050000		14.218125
0.117000		0.050000		14.582576
0.118000		0.050000		14.952367
0.119000		0.050000		15.327545
0.120000		0.050000		15.708164
0.121000		0.050000		16.094278
0.122000		0.050000		16.485950
0.123000		0.050000		16.883242
0.124000		0.050000		17.286223
0.125000		0.050000		17.694966
0.126000		0.050000		18.109545
0.127000		0.050000		18.530040
0.128000		0.050000		18.956534
0.129000		0.050000		19.389113
0.130000		0.050000		19.827866
0.131000		0.050000		20.272886
0.132000		0.050000		20.724268
0.133000		0.050000		21.182110
0.134000		0.050000		21.646514
0.135000		0.050000		22.117582
0.136000		0.050000		22.595421
0.137000		0.050000		23.080138
0.138000		0.050000		23.571843
