101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.199000		0.640000		-0.191988
0.200000		0.640000		-0.192335
0.100000		0.650000		-0.201082
0.101000		0.650000		-0.200031
0.102000		0.650000		-0.199005
0.103000		0.650000		-0.198004
0.104000		0.650000		-0.197029
0.105000		0.650000		-0.196080
0.106000		0.650000		-0.195157
0.107000		0.650000		-0.194260
0.108000		0.650000		-0.193391
0.109000		0.650000		-0.192548
0.110000		0.650000		-0.191733
0.111000		0.650000		-0.190944
0.112000		0.650000		-0.190183
0.113000		0.650000		-0.189449
0.114000		0.650000		-0.188742
0.115000		0.650000		-0.188062
0.116000		0.650000		-0.187409
0.117000		0.650000		-0.186783
0.118000		0.650000		-0.186183
0.119000		0.650000		-0.185610
0.120000		0.650000		-0.185063
0.121000		0.650000		-0.184543
0.122000		0.650000		-0.184048
0.123000		0.650000		-0.183578
0.124000		0.650000		-0.183134
0.125000		0.650000		-0.182714
0.126000		0.650000		-0.182319
0.127000		0.650000		-0.181949
0.128000		0.650000		-0.181602
0.129000		0.650000		-0.181278
0.130000		0.650000		-0.180978
0.131000		0.650000		-0.180701
0.132000		0.650000		-0.180445
0.133000		0.650000		-0.180212
0.134000		0.650000		-0.180000
0.135000		0.650000		-0.179809
0.136000		0.650000		-0.179638
0.137000		0.650000		-0.179488
0.138000		0.650000		-0.179358
0.139000		0.650000		-0.179247
0.140000		0.650000		-0.179155
0.141000		0.650000		-0.179081
0.142000		0.650000		-0.179025
0.143000		0.650000		-0.178987
0.144000		0.650000		-0.178965
0.145000		0.650000		-0.178961
0.146000		0.650000		-0.178972
0.147000		0.650000		-0.179000
0.148000		0.650000		-0.179043
0.149000		0.650000		-0.179100
0.150000		0.650000		-0.179173
0.151000		0.650000		-0.179259
0.152000		0.650000		-0.179358
0.153000		0.650000		-0.179471
0.154000		0.650000		-0.179597
0.155000		0.650000		-0.179735
0.156000		0.650000		-0.179886
0.157000		0.650000		-0.180047
0.158000		0.650000		-0.180220
0.159000		0.650000		-0.180404
0.160000		0.650000		-0.180598
0.161000		0.650000		-0.180802
0.162000		0.650000		-0.181015
0.163000		0.650000		-0.181238
0.164000		0.650000		-0.181470
0.165000		0.650000		-0.181710
0.166000		0.650000		-0.181959
0.167000		0.650000		-0.182215
0.168000		0.650000		-0.182479
0.169000		0.650000		-0.182750
0.170000		0.650000		-0.183028
0.171000		0.650000		-0.183313
0.172000		0.650000		-0.183603
0.173000		0.650000		-0.183900
0.174000		0.650000		-0.184202
0.175000		0.650000		-0.184509
0.176000		0.650000		-0.184822
0.177000		0.650000		-0.185139
0.178000		0.650000		-0.185460
0.179000		0.650000		-0.185786
0.180000		0.650000		-0.186116
0.181000		0.650000		-0.186449
0.182000		0.650000		-0.186786
0.183000		0.650000		-0.187126
0.184000		0.650000		-0.187469
0.185000		0.650000		-0.187814
0.186000		0.650000		-0.188162
0.187000		0.650000		-0.188512
0.188000		0.650000		-0.188865
0.189000		0.650000		-0.189219
0.190000		0.650000		-0.189574
0.191000		0.650000		-0.189931
0.192000		0.650000		-0.190290
0.193000		0.650000		-0.190649
0.194000		0.650000		-0.191009
0.195000		0.650000		-0.191370
0.196000		0.650000		-0.191731
0.197000		0.650000		-0.192093
0.198000		0.650000		-0.192454
0.199000		0.650000		-0.192816
0.200000		0.650000		-0.193178
0.100000		0.660000		-0.200153
0.101000		0.660000		-0.199113
0.102000		0.660000		-0.198099
0.103000		0.660000		-0.197111
0.104000		0.660000		-0.196150
0.105000		0.660000		-0.195215
0.106000		0.660000		-0.194307
0.107000		0.660000		-0.193426
0.108000		0.660000		-0.192572
0.109000		0.660000		-0.191746
0.110000		0.660000		-0.190947
0.111000		0.660000		-0.190176
0.112000		0.660000		-0.189432
0.113000		0.660000		-0.188716
0.114000		0.660000		-0.188027
0.115000		0.660000		-0.187366
0.116000		0.660000		-0.186731
0.117000		0.660000		-0.186124
0.118000		0.660000		-0.185544
0.119000		0.660000		-0.184990
0.120000		0.660000		-0.184462
0.121000		0.660000		-0.183961
0.122000		0.660000		-0.183485
0.123000		0.660000		-0.183035
0.124000		0.660000		-0.182610
0.125000		0.660000		-0.182211
0.126000		0.660000		-0.181835
0.127000		0.660000		-0.181484
0.128000		0.660000		-0.181157
0.129000		0.660000		-0.180854
0.130000		0.660000		-0.180573
0.131000		0.660000		-0.180315
0.132000		0.660000		-0.180080
0.133000		0.660000		-0.179866
0.134000		0.660000		-0.179674
0.135000		0.660000		-0.179503
0.136000		0.660000		-0.179352
0.137000		0.660000		-0.179222
0.138000		0.660000		-0.179111
0.139000		0.660000		-0.179019
0.140000		0.660000		-0.178947
0.141000		0.660000		-0.178892
0.142000		0.660000		-0.178856
0.143000		0.660000		-0.178837
0.144000		0.660000		-0.178836
0.145000		0.660000		-0.178850
0.146000		0.660000		-0.178881
0.147000		0.660000		-0.178928
0.148000		0.660000		-0.178990
0.149000		0.660000		-0.179067
0.150000		0.660000		-0.179158
0.151000		0.660000		-0.179263
0.152000		0.660000		-0.179382
0.153000		0.660000		-0.179514
0.154000		0.660000		-0.179659
0.155000		0.660000		-0.179816
0.156000		0.660000		-0.179985
0.157000		0.660000		-0.180165
0.158000		0.660000		-0.180357
0.159000		0.660000		-0.180559
0.160000		0.660000		-0.180771
0.161000		0.660000		-0.180994
0.162000		0.660000		-0.181226
0.163000		0.660000		-0.181467
0.164000		0.660000		-0.181717
0.165000		0.660000		-0.181975
0.166000		0.660000		-0.182242
0.167000		0.660000		-0.182516
0.168000		0.660000		-0.182798
0.169000		0.660000		-0.183087
0.170000		0.660000		-0.183382
0.171000		0.660000		-0.183684
0.172000		0.660000		-0.183992
0.173000		0.660000		-0.184306
0.174000		0.660000		-0.184626
0.175000		0.660000		-0.184951
0.176000		0.660000		-0.185280
0.177000		0.660000		-0.185614
0.178000		0.660000		-0.185953
0.179000		0.660000		-0.186296
0.180000		0.660000		-0.186642
0.181000		0.660000		-0.186992
0.182000		0.660000		-0.187346
0.183000		0.660000		-0.187702
0.184000		0.660000		-0.188061
0.185000		0.660000		-0.188423
0.186000		0.660000		-0.188787
0.187000		0.660000		-0.189154
0.188000		0.660000		-0.189522
0.189000		0.660000		-0.189892
0.190000		0.660000		-0.190263
0.191000		0.660000		-0.190636
0.192000		0.660000		-0.191010
0.193000		0.660000		-0.191385
0.194000		0.660000		-0.191760
0.195000		0.660000		-0.192136
0.196000		0.660000		-0.192513
0.197000		0.660000		-0.192889
0.198000		0.660000		-0.193266
0.199000		0.660000		-0.193643
0.200000		0.660000		-0.194019
0.100000		0.670000		-0.199203
0.101000		0.670000		-0.198176
0.102000		0.670000		-0.197175
0.103000		0.670000		-0.196201
0.104000		0.670000		-0.195253
0.105000		0.670000		-0.194334
0.106000		0.670000		-0.193441
0.107000		0.670000		-0.192577
0.108000		0.670000		-0.191740
0.109000		0.670000		-0.190931
0.110000		0.670000		-0.190149
0.111000		0.670000		-0.189396
0.112000		0.670000		-0.188670
0.113000		0.670000		-0.187973
0.114000		0.670000		-0.187302
0.115000		0.670000		-0.186660
0.116000		0.670000		-0.186044
0.117000		0.670000		-0.185456
0.118000		0.670000		-0.184895
0.119000		0.670000		-0.184360
0.120000		0.670000		-0.183852
0.121000		0.670000		-0.183370
0.122000		0.670000		-0.182915
0.123000		0.670000		-0.182484
0.124000		0.670000		-0.182080
0.125000		0.670000		-0.181700
0.126000		0.670000		-0.181344
0.127000		0.670000		-0.181013
0.128000		0.670000		-0.180706
0.129000		0.670000		-0.180422
0.130000		0.670000		-0.180162
0.131000		0.670000		-0.179924
0.132000		0.670000		-0.179708
0.133000		0.670000		-0.179515
0.134000		0.670000		-0.179342
0.135000		0.670000		-0.179191
0.136000		0.670000		-0.179060
0.137000		0.670000		-0.178949
0.138000		0.670000		-0.178858
0.139000		0.670000		-0.178787
0.140000		0.670000		-0.178734
0.141000		0.670000		-0.178699
0.142000		0.670000		-0.178683
0.143000		0.670000		-0.178683
0.144000		0.670000		-0.178701
0.145000		0.670000		-0.178735
0.146000		0.670000		-0.178786
0.147000		0.670000		-0.178852
0.148000		0.670000		-0.178933
0.149000		0.670000		-0.179029
0.150000		0.670000		-0.179140
0.151000		0.670000		-0.179264
0.152000		0.670000		-0.179402
0.153000		0.670000		-0.179553
0.154000		0.670000		-0.179716
0.155000		0.670000		-0.179892
0.156000		0.670000		-0.180080
0.157000		0.670000		-0.180279
0.158000		0.670000		-0.180489
0.159000		0.670000		-0.180710
0.160000		0.670000		-0.180941
0.161000		0.670000		-0.181182
0.162000		0.670000		-0.181432
0.163000		0.670000		-0.181691
0.164000		0.670000		-0.181960
0.165000		0.670000		-0.182236
0.166000		0.670000		-0.182521
0.167000		0.670000		-0.182813
0.168000		0.670000		-0.183113
0.169000		0.670000		-0.183419
0.170000		0.670000		-0.183733
0.171000		0.670000		-0.184052
0.172000		0.670000		-0.184378
0.173000		0.670000		-0.184710
0.174000		0.670000		-0.185047
0.175000		0.670000		-0.185389
0.176000		0.670000		-0.185735
0.177000		0.670000		-0.186087
0.178000		0.670000		-0.186442
0.179000		0.670000		-0.186802
0.180000		0.670000		-0.187166
0.181000		0.670000		-0.187532
0.182000		0.670000		-0.187902
0.183000		0.670000		-0.188275
0.184000		0.670000		-0.188651
0.185000		0.670000		-0.189029
0.186000		0.670000		-0.189410
0.187000		0.670000		-0.189792
0.188000		0.670000		-0.190177
0.189000		0.670000		-0.190563
0.190000		0.670000		-0.190950
0.191000		0.670000		-0.191339
0.192000		0.670000		-0.191728
0.193000		0.670000		-0.192118
0.194000		0.670000		-0.192509
0.195000		0.670000		-0.192901
0.196000		0.670000		-0.193292
0.197000		0.670000		-0.193684
0.198000		0.670000		-0.194076
0.199000		0.670000		-0.194467
0.200000		0.670000		-0.194858
0.100000		0.680000		-0.198236
0.101000		0.680000		-0.197222
0.102000		0.680000		-0.196234
0.103000		0.680000		-0.195275
0.104000		0.680000		-0.194343
0.105000		0.680000		-0.193439
0.106000		0.680000		-0.192563
0.107000		0.680000		-0.191715
0.108000		0.680000		-0.190896
0.109000		0.680000		-0.190104
0.110000		0.680000		-0.189341
0.111000		0.680000		-0.188606
0.112000		0.680000		-0.187899
0.113000		0.680000		-0.187220
0.114000		0.680000		-0.186568
0.115000		0.680000		-0.185945
0.116000		0.680000		-0.185349
0.117000		0.680000		-0.184780
0.118000		0.680000		-0.184238
0.119000		0.680000		-0.183724
0.120000		0.680000		-0.183235
0.121000		0.680000		-0.182774
0.122000		0.680000		-0.182338
0.123000		0.680000		-0.181927
0.124000		0.680000		-0.181543
0.125000		0.680000		-0.181183
0.126000		0.680000		-0.180847
0.127000		0.680000		-0.180536
0.128000		0.680000		-0.180249
0.129000		0.680000		-0.179986
