101
81
T [GeV]		muB [GeV]		betapi_over_T4 [fm^-4 / GeV^4]
0.108000		0.020000		33.151833
0.109000		0.020000		33.672632
0.110000		0.020000		34.204512
0.111000		0.020000		34.747840
0.112000		0.020000		35.302987
0.113000		0.020000		35.870329
0.114000		0.020000		36.450245
0.115000		0.020000		37.043120
0.116000		0.020000		37.649341
0.117000		0.020000		38.269303
0.118000		0.020000		38.903402
0.119000		0.020000		39.552039
0.120000		0.020000		40.215622
0.121000		0.020000		40.894559
0.122000		0.020000		41.589266
0.123000		0.020000		42.300162
0.124000		0.020000		43.027669
0.125000		0.020000		43.772215
0.126000		0.020000		44.534231
0.127000		0.020000		45.314152
0.128000		0.020000		46.112418
0.129000		0.020000		46.929472
0.130000		0.020000		47.765760
0.131000		0.020000		48.621734
0.132000		0.020000		49.497847
0.133000		0.020000		50.394557
0.134000		0.020000		51.312325
0.135000		0.020000		52.251615
0.136000		0.020000		53.212894
0.137000		0.020000		54.196634
0.138000		0.020000		55.203306
0.139000		0.020000		56.233387
0.140000		0.020000		57.287356
0.141000		0.020000		58.365692
0.142000		0.020000		59.468880
0.143000		0.020000		60.597404
0.144000		0.020000		61.751751
0.145000		0.020000		62.932411
0.146000		0.020000		64.139875
0.147000		0.020000		65.374633
0.148000		0.020000		66.637179
0.149000		0.020000		67.928008
0.150000		0.020000		69.247615
0.151000		0.020000		70.596496
0.152000		0.020000		71.975147
0.153000		0.020000		73.384065
0.154000		0.020000		74.823748
0.155000		0.020000		76.294693
0.156000		0.020000		77.797395
0.157000		0.020000		79.332353
0.158000		0.020000		80.900062
0.159000		0.020000		82.501017
0.160000		0.020000		84.135713
0.161000		0.020000		85.804642
0.162000		0.020000		87.508297
0.163000		0.020000		89.247168
0.164000		0.020000		91.021744
0.165000		0.020000		92.832511
0.166000		0.020000		94.679955
0.167000		0.020000		96.564558
0.168000		0.020000		98.486800
0.169000		0.020000		100.447159
0.170000		0.020000		102.446110
0.171000		0.020000		104.484124
0.172000		0.020000		106.561671
0.173000		0.020000		108.679216
0.174000		0.020000		110.837221
0.175000		0.020000		113.036145
0.176000		0.020000		115.276443
0.177000		0.020000		117.558564
0.178000		0.020000		119.882957
0.179000		0.020000		122.250064
0.180000		0.020000		124.660322
0.181000		0.020000		127.114166
0.182000		0.020000		129.612025
0.183000		0.020000		132.154322
0.184000		0.020000		134.741477
