101
81
T [GeV]		muB [GeV]		betabulk_over_T4 [fm^-4 / GeV^4]
0.108000		0.020000		11.672136
0.109000		0.020000		12.006221
0.110000		0.020000		12.345617
0.111000		0.020000		12.690324
0.112000		0.020000		13.040350
0.113000		0.020000		13.395702
0.114000		0.020000		13.756394
0.115000		0.020000		14.122443
0.116000		0.020000		14.493872
0.117000		0.020000		14.870707
0.118000		0.020000		15.252979
0.119000		0.020000		15.640723
0.120000		0.020000		16.033979
0.121000		0.020000		16.432793
0.122000		0.020000		16.837213
0.123000		0.020000		17.247295
0.124000		0.020000		17.663095
0.125000		0.020000		18.084678
0.126000		0.020000		18.512112
0.127000		0.020000		18.945467
0.128000		0.020000		19.384822
0.129000		0.020000		19.830256
0.130000		0.020000		20.281853
0.131000		0.020000		20.739703
0.132000		0.020000		21.203897
0.133000		0.020000		21.674531
0.134000		0.020000		22.151705
0.135000		0.020000		22.635521
0.136000		0.020000		23.126083
0.137000		0.020000		23.623501
0.138000		0.020000		24.127885
0.139000		0.020000		24.639349
0.140000		0.020000		25.158008
0.141000		0.020000		25.683979
0.142000		0.020000		26.217382
0.143000		0.020000		26.758338
0.144000		0.020000		27.306969
0.145000		0.020000		27.863398
0.146000		0.020000		28.427749
0.147000		0.020000		29.000149
0.148000		0.020000		29.580721
0.149000		0.020000		30.169592
0.150000		0.020000		30.766889
0.151000		0.020000		31.372736
0.152000		0.020000		31.987260
0.153000		0.020000		32.610585
0.154000		0.020000		33.242836
0.155000		0.020000		33.884137
0.156000		0.020000		34.534611
0.157000		0.020000		35.194378
0.158000		0.020000		35.863560
0.159000		0.020000		36.542274
0.160000		0.020000		37.230637
0.161000		0.020000		37.928766
0.162000		0.020000		38.636773
0.163000		0.020000		39.354769
0.164000		0.020000		40.082863
0.165000		0.020000		40.821163
0.166000		0.020000		41.569772
0.167000		0.020000		42.328792
0.168000		0.020000		43.098323
0.169000		0.020000		43.878461
0.170000		0.020000		44.669299
0.171000		0.020000		45.470928
0.172000		0.020000		46.283436
0.173000		0.020000		47.106907
0.174000		0.020000		47.941423
0.175000		0.020000		48.787061
0.176000		0.020000		49.643898
0.177000		0.020000		50.512003
0.178000		0.020000		51.391447
0.179000		0.020000		52.282292
0.180000		0.020000		53.184601
0.181000		0.020000		54.098432
0.182000		0.020000		55.023838
0.183000		0.020000		55.960870
0.184000		0.020000		56.909576
0.185000		0.020000		57.869998
0.186000		0.020000		58.842176
0.187000		0.020000		59.826147
0.188000		0.020000		60.821942
0.189000		0.020000		61.829591
0.190000		0.020000		62.849118
0.191000		0.020000		63.880545
0.192000		0.020000		64.923889
0.193000		0.020000		65.979165
0.194000		0.020000		67.046382
0.195000		0.020000		68.125547
0.196000		0.020000		69.216663
0.197000		0.020000		70.319730
0.198000		0.020000		71.434742
0.199000		0.020000		72.561693
0.200000		0.020000		73.700570
0.100000		0.030000		9.173833
0.101000		0.030000		9.464598
0.102000		0.030000		9.760798
0.103000		0.030000		10.062414
0.104000		0.030000		10.369429
0.105000		0.030000		10.681828
0.106000		0.030000		10.999597
0.107000		0.030000		11.322727
0.108000		0.030000		11.651210
0.109000		0.030000		11.985042
0.110000		0.030000		12.324222
0.111000		0.030000		12.668753
0.112000		0.030000		13.018640
0.113000		0.030000		13.373895
0.114000		0.030000		13.734530
0.115000		0.030000		14.100565
0.116000		0.030000		14.472022
0.117000		0.030000		14.848928
0.118000		0.030000		15.231313
0.119000		0.030000		15.619214
0.120000		0.030000		16.012671
0.121000		0.030000		16.411728
0.122000		0.030000		16.816436
0.123000		0.030000		17.226848
0.124000		0.030000		17.643022
0.125000		0.030000		18.065022
0.126000		0.030000		18.492916
0.127000		0.030000		18.926774
0.128000		0.030000		19.366673
0.129000		0.030000		19.812692
0.130000		0.030000		20.264917
0.131000		0.030000		20.723435
0.132000		0.030000		21.188337
0.133000		0.030000		21.659719
0.134000		0.030000		22.137679
0.135000		0.030000		22.622320
0.136000		0.030000		23.113745
0.137000		0.030000		23.612064
0.138000		0.030000		24.117384
0.139000		0.030000		24.629821
0.140000		0.030000		25.149488
0.141000		0.030000		25.676502
0.142000		0.030000		26.210981
0.143000		0.030000		26.753047
0.144000		0.030000		27.302821
