101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.108000		0.020000		0.056589
0.109000		0.020000		0.061754
0.110000		0.020000		0.067300
0.111000		0.020000		0.073247
0.112000		0.020000		0.079617
0.113000		0.020000		0.086434
0.114000		0.020000		0.093720
0.115000		0.020000		0.101500
0.116000		0.020000		0.109799
0.117000		0.020000		0.118642
0.118000		0.020000		0.128057
0.119000		0.020000		0.138070
0.120000		0.020000		0.148709
0.121000		0.020000		0.160005
0.122000		0.020000		0.171986
0.123000		0.020000		0.184684
0.124000		0.020000		0.198129
0.125000		0.020000		0.212355
0.126000		0.020000		0.227395
0.127000		0.020000		0.243282
0.128000		0.020000		0.260051
0.129000		0.020000		0.277739
0.130000		0.020000		0.296381
0.131000		0.020000		0.316015
0.132000		0.020000		0.336680
0.133000		0.020000		0.358413
0.134000		0.020000		0.381256
0.135000		0.020000		0.405249
0.136000		0.020000		0.430433
0.137000		0.020000		0.456851
0.138000		0.020000		0.484545
0.139000		0.020000		0.513560
0.140000		0.020000		0.543940
0.141000		0.020000		0.575731
0.142000		0.020000		0.608979
0.143000		0.020000		0.643731
0.144000		0.020000		0.680035
0.145000		0.020000		0.717939
0.146000		0.020000		0.757492
0.147000		0.020000		0.798745
0.148000		0.020000		0.841747
0.149000		0.020000		0.886551
0.150000		0.020000		0.933208
0.151000		0.020000		0.981771
0.152000		0.020000		1.032293
0.153000		0.020000		1.084828
0.154000		0.020000		1.139431
0.155000		0.020000		1.196156
0.156000		0.020000		1.255061
0.157000		0.020000		1.316200
0.158000		0.020000		1.379631
0.159000		0.020000		1.445411
0.160000		0.020000		1.513598
0.161000		0.020000		1.584250
0.162000		0.020000		1.657427
0.163000		0.020000		1.733188
0.164000		0.020000		1.811592
0.165000		0.020000		1.892699
0.166000		0.020000		1.976571
0.167000		0.020000		2.063268
0.168000		0.020000		2.152852
0.169000		0.020000		2.245384
0.170000		0.020000		2.340927
0.171000		0.020000		2.439542
0.172000		0.020000		2.541293
0.173000		0.020000		2.646241
0.174000		0.020000		2.754451
0.175000		0.020000		2.865986
0.176000		0.020000		2.980908
0.177000		0.020000		3.099282
0.178000		0.020000		3.221172
0.179000		0.020000		3.346642
0.180000		0.020000		3.475755
0.181000		0.020000		3.608576
0.182000		0.020000		3.745169
0.183000		0.020000		3.885598
0.184000		0.020000		4.029929
0.185000		0.020000		4.178225
0.186000		0.020000		4.330550
0.187000		0.020000		4.486969
0.188000		0.020000		4.647546
0.189000		0.020000		4.812345
0.190000		0.020000		4.981431
0.191000		0.020000		5.154868
0.192000		0.020000		5.332718
0.193000		0.020000		5.515047
0.194000		0.020000		5.701918
0.195000		0.020000		5.893393
0.196000		0.020000		6.089536
0.197000		0.020000		6.290411
0.198000		0.020000		6.496080
0.199000		0.020000		6.706604
0.200000		0.020000		6.922048
0.100000		0.030000		0.027304
0.101000		0.030000		0.030147
0.102000		0.030000		0.033231
0.103000		0.030000		0.036571
0.104000		0.030000		0.040182
0.105000		0.030000		0.044083
0.106000		0.030000		0.048290
0.107000		0.030000		0.052821
0.108000		0.030000		0.057696
0.109000		0.030000		0.062934
0.110000		0.030000		0.068555
0.111000		0.030000		0.074581
0.112000		0.030000		0.081034
0.113000		0.030000		0.087936
0.114000		0.030000		0.095310
0.115000		0.030000		0.103182
0.116000		0.030000		0.111575
0.117000		0.030000		0.120516
0.118000		0.030000		0.130031
0.119000		0.030000		0.140147
0.120000		0.030000		0.150893
0.121000		0.030000		0.162298
0.122000		0.030000		0.174392
0.123000		0.030000		0.187205
0.124000		0.030000		0.200768
0.125000		0.030000		0.215115
0.126000		0.030000		0.230277
0.127000		0.030000		0.246290
0.128000		0.030000		0.263187
0.129000		0.030000		0.281005
0.130000		0.030000		0.299780
0.131000		0.030000		0.319550
0.132000		0.030000		0.340351
0.133000		0.030000		0.362224
0.134000		0.030000		0.385208
