80
180
L [fm^-1]		aL		c2_vah1 [...]
1.019620		0.220112		0.151593
1.027848		0.220112		0.140442
1.036076		0.220112		0.130196
1.044304		0.220112		0.120774
1.052532		0.220112		0.112105
1.060759		0.220112		0.104124
1.068987		0.220112		0.096772
1.077215		0.220112		0.089994
1.085443		0.220112		0.083743
1.093671		0.220112		0.077973
1.101899		0.220112		0.072645
1.110127		0.220112		0.067721
1.118354		0.220112		0.063169
1.126582		0.220112		0.058957
1.134810		0.220112		0.055058
1.143038		0.220112		0.051447
1.151266		0.220112		0.048099
1.159494		0.220112		0.044995
1.167722		0.220112		0.042115
1.175949		0.220112		0.039441
1.184177		0.220112		0.036957
1.192405		0.220112		0.034649
1.200633		0.220112		0.032501
1.208861		0.220112		0.030504
1.217089		0.220112		0.028643
1.225316		0.220112		0.026911
1.233544		0.220112		0.025296
1.241772		0.220112		0.023790
1.250000		0.220112		0.022385
0.600000		0.230168		17.911067
0.608228		0.230168		15.997256
0.616456		0.230168		14.300753
0.624684		0.230168		12.795278
0.632911		0.230168		11.457959
0.641139		0.230168		10.268857
0.649367		0.230168		9.210559
0.657595		0.230168		8.267830
0.665823		0.230168		7.427325
0.674051		0.230168		6.677337
0.682278		0.230168		6.007577
0.690506		0.230168		5.408996
0.698734		0.230168		4.873622
0.706962		0.230168		4.394426
0.715190		0.230168		3.965202
0.723418		0.230168		3.580466
0.731646		0.230168		3.235365
0.739873		0.230168		2.925603
0.748101		0.230168		2.647373
0.756329		0.230168		2.397297
0.764557		0.230168		2.172377
0.772785		0.230168		1.969948
0.781013		0.230168		1.787642
0.789241		0.230168		1.623352
0.797468		0.230168		1.475200
0.805696		0.230168		1.341514
0.813924		0.230168		1.220804
0.822152		0.230168		1.111739
0.830380		0.230168		1.013133
0.838608		0.230168		0.923924
0.846835		0.230168		0.843165
0.855063		0.230168		0.770007
0.863291		0.230168		0.703693
0.871519		0.230168		0.643542
0.879747		0.230168		0.588947
0.887975		0.230168		0.539362
0.896203		0.230168		0.494297
0.904430		0.230168		0.453315
0.912658		0.230168		0.416020
0.920886		0.230168		0.382059
0.929114		0.230168		0.351114
0.937342		0.230168		0.322898
0.945570		0.230168		0.297153
0.953797		0.230168		0.273649
0.962025		0.230168		0.252175
0.970253		0.230168		0.232545
0.978481		0.230168		0.214587
0.986709		0.230168		0.198149
0.994937		0.230168		0.183092
1.003165		0.230168		0.169291
1.011392		0.230168		0.156634
1.019620		0.230168		0.145018
1.027848		0.230168		0.134351
1.036076		0.230168		0.124548
1.044304		0.230168		0.115535
1.052532		0.230168		0.107242
1.060759		0.230168		0.099607
1.068987		0.230168		0.092574
1.077215		0.230168		0.086091
1.085443		0.230168		0.080110
1.093671		0.230168		0.074591
1.101899		0.230168		0.069494
1.110127		0.230168		0.064784
1.118354		0.230168		0.060429
1.126582		0.230168		0.056400
1.134810		0.230168		0.052670
1.143038		0.230168		0.049215
1.151266		0.230168		0.046013
1.159494		0.230168		0.043044
1.167722		0.230168		0.040289
1.175949		0.230168		0.037731
1.184177		0.230168		0.035354
1.192405		0.230168		0.033146
1.200633		0.230168		0.031092
1.208861		0.230168		0.029181
1.217089		0.230168		0.027401
1.225316		0.230168		0.025744
1.233544		0.230168		0.024199
1.241772		0.230168		0.022758
1.250000		0.230168		0.021414
0.600000		0.240223		17.170104
0.608228		0.240223		15.335370
0.616456		0.240223		13.708974
0.624684		0.240223		12.265720
0.632911		0.240223		10.983679
0.641139		0.240223		9.843736
0.649367		0.240223		8.829195
0.657595		0.240223		7.925450
0.665823		0.240223		7.119709
0.674051		0.240223		6.400744
0.682278		0.240223		5.758693
0.690506		0.240223		5.184881
0.698734		0.240223		4.671663
0.706962		0.240223		4.212302
0.715190		0.240223		3.800847
0.723418		0.240223		3.432039
0.731646		0.240223		3.101229
0.739873		0.240223		2.804296
0.748101		0.240223		2.537591
0.756329		0.240223		2.297875
0.764557		0.240223		2.082274
0.772785		0.240223		1.888234
0.781013		0.240223		1.713484
0.789241		0.240223		1.556003
0.797468		0.240223		1.413992
0.805696		0.240223		1.285849
0.813924		0.240223		1.170144
0.822152		0.240223		1.065602
0.830380		0.240223		0.971085
0.838608		0.240223		0.885576
0.846835		0.240223		0.808167
0.855063		0.240223		0.738044
0.863291		0.240223		0.674481
0.871519		0.240223		0.616826
0.879747		0.240223		0.564496
0.887975		0.240223		0.516969
0.896203		0.240223		0.473774
0.904430		0.240223		0.434493
0.912658		0.240223		0.398746
0.920886		0.240223		0.366195
0.929114		0.240223		0.336534
0.937342		0.240223		0.309489
0.945570		0.240223		0.284814
0.953797		0.240223		0.262285
0.962025		0.240223		0.241703
0.970253		0.240223		0.222887
0.978481		0.240223		0.205675
0.986709		0.240223		0.189919
0.994937		0.240223		0.175488
1.003165		0.240223		0.162260
1.011392		0.240223		0.150129
1.019620		0.240223		0.138995
1.027848		0.240223		0.128771
1.036076		0.240223		0.119376
1.044304		0.240223		0.110737
1.052532		0.240223		0.102788
1.060759		0.240223		0.095470
1.068987		0.240223		0.088729
1.077215		0.240223		0.082515
1.085443		0.240223		0.076783
1.093671		0.240223		0.071493
1.101899		0.240223		0.066608
1.110127		0.240223		0.062093
1.118354		0.240223		0.057919
1.126582		0.240223		0.054057
1.134810		0.240223		0.050483
1.143038		0.240223		0.047171
1.151266		0.240223		0.044102
1.159494		0.240223		0.041256
1.167722		0.240223		0.038615
1.175949		0.240223		0.036164
1.184177		0.240223		0.033886
1.192405		0.240223		0.031769
1.200633		0.240223		0.029801
1.208861		0.240223		0.027969
1.217089		0.240223		0.026263
1.225316		0.240223		0.024675
1.233544		0.240223		0.023194
1.241772		0.240223		0.021813
1.250000		0.240223		0.020525
0.600000		0.250279		16.488921
0.608228		0.250279		14.726883
0.616456		0.250279		13.164937
0.624684		0.250279		11.778883
0.632911		0.250279		10.547661
0.641139		0.250279		9.452910
0.649367		0.250279		8.478595
0.657595		0.250279		7.610690
0.665823		0.250279		6.836907
0.674051		0.250279		6.146463
0.682278		0.250279		5.529886
0.690506		0.250279		4.978843
0.698734		0.250279		4.485995
0.706962		0.250279		4.044868
0.715190		0.250279		3.649748
0.723418		0.250279		3.295586
0.731646		0.250279		2.977913
0.739873		0.250279		2.692775
0.748101		0.250279		2.436665
0.756329		0.250279		2.206473
0.764557		0.250279		1.999440
0.772785		0.250279		1.813111
0.781013		0.250279		1.645307
0.789241		0.250279		1.494086
0.797468		0.250279		1.357722
0.805696		0.250279		1.234674
0.813924		0.250279		1.123571
0.822152		0.250279		1.023187
0.830380		0.250279		0.932429
0.838608		0.250279		0.850322
0.846835		0.250279		0.775992
0.855063		0.250279		0.708660
0.863291		0.250279		0.647626
0.871519		0.250279		0.592265
0.879747		0.250279		0.542018
0.887975		0.250279		0.496382
0.896203		0.250279		0.454907
0.904430		0.250279		0.417189
0.912658		0.250279		0.382866
0.920886		0.250279		0.351610
0.929114		0.250279		0.323130
0.937342		0.250279		0.297162
0.945570		0.250279		0.273469
0.953797		0.250279		0.251838
0.962025		0.250279		0.232075
0.970253		0.250279		0.214009
0.978481		0.250279		0.197482
0.986709		0.250279		0.182354
0.994937		0.250279		0.168497
1.003165		0.250279		0.155797
1.011392		0.250279		0.144148
1.019620		0.250279		0.133458
1.027848		0.250279		0.123641
1.036076		0.250279		0.114620
1.044304		0.250279		0.106325
1.052532		0.250279		0.098693
1.060759		0.250279		0.091667
1.068987		0.250279		0.085194
1.077215		0.250279		0.079228
1.085443		0.250279		0.073724
1.093671		0.250279		0.068645
1.101899		0.250279		0.063954
1.110127		0.250279		0.059620
1.118354		0.250279		0.055612
1.126582		0.250279		0.051904
1.134810		0.250279		0.048471
1.143038		0.250279		0.045292
1.151266		0.250279		0.042345
1.159494		0.250279		0.039613
1.167722		0.250279		0.037077
1.175949		0.250279		0.034723
1.184177		0.250279		0.032536
1.192405		0.250279		0.030504
1.200633		0.250279		0.028613
1.208861		0.250279		0.026855
1.217089		0.250279		0.025217
1.225316		0.250279		0.023692
1.233544		0.250279		0.022270
1.241772		0.250279		0.020944
1.250000		0.250279		0.019707
0.600000		0.260335		15.860585
0.608228		0.260335		14.165603
0.616456		0.260335		12.663106
0.624684		0.260335		11.329814
0.632911		0.260335		10.145467
0.641139		0.260335		9.092402
0.649367		0.260335		8.155193
0.657595		0.260335		7.320347
0.665823		0.260335		6.576042
0.674051		0.260335		5.911907
0.682278		0.260335		5.318828
0.690506		0.260335		4.788789
0.698734		0.260335		4.314729
0.706962		0.260335		3.890422
0.715190		0.260335		3.510370
0.723418		0.260335		3.169716
0.731646		0.260335		2.864163
0.739873		0.260335		2.589903
0.748101		0.260335		2.343567
0.756329		0.260335		2.122161
0.764557		0.260335		1.923030
0.772785		0.260335		1.743815
0.781013		0.260335		1.582418
0.789241		0.260335		1.436973
0.797468		0.260335		1.305817
0.805696		0.260335		1.187469
0.813924		0.260335		1.080610
0.822152		0.260335		0.984061
0.830380		0.260335		0.896772
0.838608		0.260335		0.817802
0.846835		0.260335		0.746313
