100
100
T [fm^-1]		muB [fm^-1]		c4_df14 [fm^5]
0.596970		0.054949		0.992253
0.599394		0.054949		0.954604
0.601818		0.054949		0.918461
0.604242		0.054949		0.883761
0.606667		0.054949		0.850443
0.609091		0.054949		0.818450
0.611515		0.054949		0.787726
0.613939		0.054949		0.758219
0.616364		0.054949		0.729878
0.618788		0.054949		0.702656
0.621212		0.054949		0.676505
0.623636		0.054949		0.651381
0.626061		0.054949		0.627243
0.628485		0.054949		0.604050
0.630909		0.054949		0.581763
0.633333		0.054949		0.560345
0.635758		0.054949		0.539761
0.638182		0.054949		0.519976
0.640606		0.054949		0.500958
0.643030		0.054949		0.482676
0.645455		0.054949		0.465100
0.647879		0.054949		0.448201
0.650303		0.054949		0.431953
0.652727		0.054949		0.416328
0.655152		0.054949		0.401302
0.657576		0.054949		0.386851
0.660000		0.054949		0.372952
0.662424		0.054949		0.359582
0.664848		0.054949		0.346721
0.667273		0.054949		0.334347
0.669697		0.054949		0.322443
0.672121		0.054949		0.310988
0.674545		0.054949		0.299966
0.676970		0.054949		0.289359
0.679394		0.054949		0.279151
0.681818		0.054949		0.269325
0.684242		0.054949		0.259867
0.686667		0.054949		0.250763
0.689091		0.054949		0.241998
0.691515		0.054949		0.233560
0.693939		0.054949		0.225435
0.696364		0.054949		0.217611
0.698788		0.054949		0.210076
0.701212		0.054949		0.202820
0.703636		0.054949		0.195831
0.706061		0.054949		0.189099
0.708485		0.054949		0.182614
0.710909		0.054949		0.176367
0.713333		0.054949		0.170348
0.715758		0.054949		0.164548
0.718182		0.054949		0.158960
0.720606		0.054949		0.153575
0.723030		0.054949		0.148384
0.725455		0.054949		0.143382
0.727879		0.054949		0.138560
0.730303		0.054949		0.133912
0.732727		0.054949		0.129431
0.735152		0.054949		0.125111
0.737576		0.054949		0.120945
0.740000		0.054949		0.116928
0.742424		0.054949		0.113055
0.744848		0.054949		0.109319
0.747273		0.054949		0.105715
0.749697		0.054949		0.102240
0.752121		0.054949		0.098887
0.754545		0.054949		0.095652
0.756970		0.054949		0.092532
0.759394		0.054949		0.089520
0.761818		0.054949		0.086615
0.764242		0.054949		0.083811
0.766667		0.054949		0.081104
0.769091		0.054949		0.078492
0.771515		0.054949		0.075971
0.773939		0.054949		0.073537
0.776364		0.054949		0.071187
0.778788		0.054949		0.068918
0.781212		0.054949		0.066727
0.783636		0.054949		0.064611
0.786061		0.054949		0.062568
0.788485		0.054949		0.060595
0.790909		0.054949		0.058689
0.793333		0.054949		0.056848
0.795758		0.054949		0.055070
0.798182		0.054949		0.053351
0.800606		0.054949		0.051691
0.803030		0.054949		0.050087
0.805455		0.054949		0.048536
0.807879		0.054949		0.047038
0.810303		0.054949		0.045590
0.812727		0.054949		0.044190
0.815152		0.054949		0.042837
0.817576		0.054949		0.041529
0.820000		0.054949		0.040264
0.580000		0.082424		1.949670
0.582424		0.082424		1.874648
0.584848		0.082424		1.802667
0.587273		0.082424		1.733597
0.589697		0.082424		1.667315
0.592121		0.082424		1.603702
0.594545		0.082424		1.542647
0.596970		0.082424		1.484041
0.599394		0.082424		1.427781
0.601818		0.082424		1.373769
0.604242		0.082424		1.321910
0.606667		0.082424		1.272116
0.609091		0.082424		1.224299
0.611515		0.082424		1.178378
0.613939		0.082424		1.134274
0.616364		0.082424		1.091911
0.618788		0.082424		1.051218
0.621212		0.082424		1.012126
0.623636		0.082424		0.974568
0.626061		0.082424		0.938482
0.628485		0.082424		0.903807
0.630909		0.082424		0.870485
0.633333		0.082424		0.838462
0.635758		0.082424		0.807683
0.638182		0.082424		0.778100
0.640606		0.082424		0.749662
0.643030		0.082424		0.722323
0.645455		0.082424		0.696040
0.647879		0.082424		0.670768
0.650303		0.082424		0.646468
0.652727		0.082424		0.623100
0.655152		0.082424		0.600627
0.657576		0.082424		0.579013
0.660000		0.082424		0.558224
0.662424		0.082424		0.538225
0.664848		0.082424		0.518987
0.667273		0.082424		0.500478
0.669697		0.082424		0.482670
0.672121		0.082424		0.465535
0.674545		0.082424		0.449046
0.676970		0.082424		0.433177
0.679394		0.082424		0.417904
0.681818		0.082424		0.403204
0.684242		0.082424		0.389054
0.686667		0.082424		0.375432
0.689091		0.082424		0.362317
0.691515		0.082424		0.349691
0.693939		0.082424		0.337533
0.696364		0.082424		0.325825
0.698788		0.082424		0.314550
0.701212		0.082424		0.303692
0.703636		0.082424		0.293233
0.706061		0.082424		0.283158
0.708485		0.082424		0.273453
0.710909		0.082424		0.264103
0.713333		0.082424		0.255095
0.715758		0.082424		0.246415
0.718182		0.082424		0.238050
0.720606		0.082424		0.229990
0.723030		0.082424		0.222221
0.725455		0.082424		0.214733
0.727879		0.082424		0.207516
0.730303		0.082424		0.200558
0.732727		0.082424		0.193850
0.735152		0.082424		0.187383
0.737576		0.082424		0.181147
0.740000		0.082424		0.175133
0.742424		0.082424		0.169334
0.744848		0.082424		0.163741
0.747273		0.082424		0.158347
0.749697		0.082424		0.153143
0.752121		0.082424		0.148123
0.754545		0.082424		0.143280
0.756970		0.082424		0.138608
0.759394		0.082424		0.134099
0.761818		0.082424		0.129748
0.764242		0.082424		0.125550
0.766667		0.082424		0.121497
0.769091		0.082424		0.117586
0.771515		0.082424		0.113810
0.773939		0.082424		0.110165
0.776364		0.082424		0.106646
0.778788		0.082424		0.103249
0.781212		0.082424		0.099968
0.783636		0.082424		0.096800
0.786061		0.082424		0.093740
0.788485		0.082424		0.090785
0.790909		0.082424		0.087930
0.793333		0.082424		0.085173
0.795758		0.082424		0.082509
0.798182		0.082424		0.079936
0.800606		0.082424		0.077449
0.803030		0.082424		0.075046
0.805455		0.082424		0.072724
0.807879		0.082424		0.070480
0.810303		0.082424		0.068311
0.812727		0.082424		0.066215
0.815152		0.082424		0.064188
0.817576		0.082424		0.062228
0.820000		0.082424		0.060334
0.580000		0.109899		2.588115
0.582424		0.109899		2.488654
0.584848		0.109899		2.393218
0.587273		0.109899		2.301636
0.589697		0.109899		2.213745
0.592121		0.109899		2.129388
0.594545		0.109899		2.048418
0.596970		0.109899		1.970691
0.599394		0.109899		1.896071
0.601818		0.109899		1.824429
0.604242		0.109899		1.755640
0.606667		0.109899		1.689584
0.609091		0.109899		1.626149
0.611515		0.109899		1.565225
0.613939		0.109899		1.506708
0.616364		0.109899		1.450499
0.618788		0.109899		1.396502
0.621212		0.109899		1.344626
0.623636		0.109899		1.294784
0.626061		0.109899		1.246892
0.628485		0.109899		1.200871
0.630909		0.109899		1.156644
0.633333		0.109899		1.114138
0.635758		0.109899		1.073283
0.638182		0.109899		1.034011
0.640606		0.109899		0.996258
0.643030		0.109899		0.959963
0.645455		0.109899		0.925067
0.647879		0.109899		0.891514
0.650303		0.109899		0.859248
0.652727		0.109899		0.828219
0.655152		0.109899		0.798377
0.657576		0.109899		0.769674
0.660000		0.109899		0.742064
0.662424		0.109899		0.715505
0.664848		0.109899		0.689953
0.667273		0.109899		0.665370
0.669697		0.109899		0.641716
0.672121		0.109899		0.618955
0.674545		0.109899		0.597051
0.676970		0.109899		0.575970
0.679394		0.109899		0.555680
0.681818		0.109899		0.536150
0.684242		0.109899		0.517350
0.686667		0.109899		0.499252
0.689091		0.109899		0.481827
0.691515		0.109899		0.465049
0.693939		0.109899		0.448893
0.696364		0.109899		0.433336
0.698788		0.109899		0.418353
0.701212		0.109899		0.403922
0.703636		0.109899		0.390022
0.706061		0.109899		0.376633
0.708485		0.109899		0.363734
0.710909		0.109899		0.351306
0.713333		0.109899		0.339332
0.715758		0.109899		0.327795
0.718182		0.109899		0.316676
0.720606		0.109899		0.305961
0.723030		0.109899		0.295634
0.725455		0.109899		0.285679
0.727879		0.109899		0.276084
0.730303		0.109899		0.266834
0.732727		0.109899		0.257915
0.735152		0.109899		0.249316
0.737576		0.109899		0.241025
0.740000		0.109899		0.233029
0.742424		0.109899		0.225318
0.744848		0.109899		0.217881
0.747273		0.109899		0.210708
0.749697		0.109899		0.203788
0.752121		0.109899		0.197112
0.754545		0.109899		0.190672
0.756970		0.109899		0.184457
0.759394		0.109899		0.178461
0.761818		0.109899		0.172675
0.764242		0.109899		0.167090
0.766667		0.109899		0.161700
0.769091		0.109899		0.156498
0.771515		0.109899		0.151475
0.773939		0.109899		0.146627
0.776364		0.109899		0.141946
0.778788		0.109899		0.137427
0.781212		0.109899		0.133062
0.783636		0.109899		0.128848
0.786061		0.109899		0.124777
0.788485		0.109899		0.120846
0.790909		0.109899		0.117048
0.793333		0.109899		0.113380
0.795758		0.109899		0.109836
0.798182		0.109899		0.106412
0.800606		0.109899		0.103103
0.803030		0.109899		0.099906
0.805455		0.109899		0.096817
0.807879		0.109899		0.093831
0.810303		0.109899		0.090944
0.812727		0.109899		0.088154
0.815152		0.109899		0.085457
0.817576		0.109899		0.082850
0.820000		0.109899		0.080329
