101
81
T [GeV]		muB [GeV]		betabulk_over_T4 [fm^-4 / GeV^4]
0.108000		0.020000		11.780435
0.109000		0.020000		12.115589
0.110000		0.020000		12.456101
0.111000		0.020000		12.801994
0.112000		0.020000		13.153296
0.113000		0.020000		13.510040
0.114000		0.020000		13.872262
0.115000		0.020000		14.240007
0.116000		0.020000		14.613321
0.117000		0.020000		14.992255
0.118000		0.020000		15.376869
0.119000		0.020000		15.767224
0.120000		0.020000		16.163387
0.121000		0.020000		16.565431
0.122000		0.020000		16.973431
0.123000		0.020000		17.387471
0.124000		0.020000		17.807636
0.125000		0.020000		18.234016
0.126000		0.020000		18.666708
0.127000		0.020000		19.105810
0.128000		0.020000		19.551426
0.129000		0.020000		20.003665
0.130000		0.020000		20.462637
0.131000		0.020000		20.928459
0.132000		0.020000		21.401250
0.133000		0.020000		21.881131
0.134000		0.020000		22.368230
0.135000		0.020000		22.862675
0.136000		0.020000		23.364599
0.137000		0.020000		23.874136
0.138000		0.020000		24.391423
0.139000		0.020000		24.916601
0.140000		0.020000		25.449813
0.141000		0.020000		25.991201
0.142000		0.020000		26.540914
0.143000		0.020000		27.099097
0.144000		0.020000		27.665902
0.145000		0.020000		28.241480
0.146000		0.020000		28.825981
0.147000		0.020000		29.419560
0.148000		0.020000		30.022370
0.149000		0.020000		30.634566
0.150000		0.020000		31.256303
0.151000		0.020000		31.887737
0.152000		0.020000		32.529024
0.153000		0.020000		33.180319
0.154000		0.020000		33.841777
0.155000		0.020000		34.513554
0.156000		0.020000		35.195805
0.157000		0.020000		35.888683
0.158000		0.020000		36.592343
0.159000		0.020000		37.306936
0.160000		0.020000		38.032615
0.161000		0.020000		38.769529
0.162000		0.020000		39.517827
0.163000		0.020000		40.277657
0.164000		0.020000		41.049165
0.165000		0.020000		41.832495
0.166000		0.020000		42.627790
0.167000		0.020000		43.435190
0.168000		0.020000		44.254834
0.169000		0.020000		45.086858
0.170000		0.020000		45.931397
0.171000		0.020000		46.788582
0.172000		0.020000		47.658544
0.173000		0.020000		48.541408
0.174000		0.020000		49.437300
0.175000		0.020000		50.346342
0.176000		0.020000		51.268651
0.177000		0.020000		52.204345
0.178000		0.020000		53.153537
0.179000		0.020000		54.116338
0.180000		0.020000		55.092854
0.181000		0.020000		56.083190
0.182000		0.020000		57.087446
0.183000		0.020000		58.105722
0.184000		0.020000		59.138112
0.185000		0.020000		60.184707
0.186000		0.020000		61.245595
0.187000		0.020000		62.320861
0.188000		0.020000		63.410586
0.189000		0.020000		64.514848
0.190000		0.020000		65.633722
0.191000		0.020000		66.767278
0.192000		0.020000		67.915584
0.193000		0.020000		69.078703
0.194000		0.020000		70.256697
0.195000		0.020000		71.449620
0.196000		0.020000		72.657527
0.197000		0.020000		73.880466
0.198000		0.020000		75.118484
0.199000		0.020000		76.371622
0.200000		0.020000		77.639920
0.100000		0.030000		9.273484
0.101000		0.030000		9.565590
0.102000		0.030000		9.863051
0.103000		0.030000		10.165861
0.104000		0.030000		10.474013
0.105000		0.030000		10.787506
0.106000		0.030000		11.106342
0.107000		0.030000		11.430528
0.108000		0.030000		11.760074
0.109000		0.030000		12.094995
0.110000		0.030000		12.435312
0.111000		0.030000		12.781046
0.112000		0.030000		13.132228
0.113000		0.030000		13.488891
0.114000		0.030000		13.851073
0.115000		0.030000		14.218818
0.116000		0.030000		14.592172
0.117000		0.030000		14.971190
0.118000		0.030000		15.355928
0.119000		0.030000		15.746450
0.120000		0.030000		16.142822
0.121000		0.030000		16.545117
0.122000		0.030000		16.953413
0.123000		0.030000		17.367789
0.124000		0.030000		17.788334
0.125000		0.030000		18.215136
0.126000		0.030000		18.648293
0.127000		0.030000		19.087901
0.128000		0.030000		19.534066
0.129000		0.030000		19.986895
0.130000		0.030000		20.446499
0.131000		0.030000		20.912993
0.132000		0.030000		21.386496
0.133000		0.030000		21.867131
0.134000		0.030000		22.355022
0.135000		0.030000		22.850299
0.136000		0.030000		23.353093
0.137000		0.030000		23.863539
0.138000		0.030000		24.381773
0.139000		0.030000		24.907936
0.140000		0.030000		25.442168
0.141000		0.030000		25.984614
0.142000		0.030000		26.535420
0.143000		0.030000		27.094732
0.144000		0.030000		27.662701
0.145000		0.030000		28.239477
0.146000		0.030000		28.825210
0.147000		0.030000		29.420055
0.148000		0.030000		30.024163
0.149000		0.030000		30.637691
0.150000		0.030000		31.260791
0.151000		0.030000		31.893620
0.152000		0.030000		32.536333
0.153000		0.030000		33.189084
0.154000		0.030000		33.852029
0.155000		0.030000		34.525322
0.156000		0.030000		35.209119
0.157000		0.030000		35.903572
0.158000		0.030000		36.608835
0.159000		0.030000		37.325059
0.160000		0.030000		38.052396
0.161000		0.030000		38.790995
0.162000		0.030000		39.541006
0.163000		0.030000		40.302574
0.164000		0.030000		41.075846
0.165000		0.030000		41.860966
0.166000		0.030000		42.658075
0.167000		0.030000		43.467315
0.168000		0.030000		44.288822
0.169000		0.030000		45.122733
0.170000		0.030000		45.969182
0.171000		0.030000		46.828301
0.172000		0.030000		47.700218
0.173000		0.030000		48.585061
0.174000		0.030000		49.482952
0.175000		0.030000		50.394014
0.176000		0.030000		51.318365
0.177000		0.030000		52.256122
0.178000		0.030000		53.207396
0.179000		0.030000		54.172298
0.180000		0.030000		55.150935
0.181000		0.030000		56.143410
0.182000		0.030000		57.149825
0.183000		0.030000		58.170277
0.184000		0.030000		59.204861
0.185000		0.030000		60.253666
0.186000		0.030000		61.316781
0.187000		0.030000		62.394291
0.188000		0.030000		63.486275
0.189000		0.030000		64.592813
0.190000		0.030000		65.713976
0.191000		0.030000		66.849837
0.192000		0.030000		68.000461
0.193000		0.030000		69.165913
0.194000		0.030000		70.346251
0.195000		0.030000		71.541533
0.196000		0.030000		72.751810
0.197000		0.030000		73.977132
0.198000		0.030000		75.217544
0.199000		0.030000		76.473088
0.200000		0.030000		77.743801
0.100000		0.040000		9.250504
0.101000		0.040000		9.541965
0.102000		0.040000		9.838814
0.103000		0.040000		10.141046
0.104000		0.040000		10.448657
0.105000		0.040000		10.761649
0.106000		0.040000		11.080026
0.107000		0.040000		11.403797
0.108000		0.040000		11.732974
0.109000		0.040000		12.067573
0.110000		0.040000		12.407617
0.111000		0.040000		12.753131
0.112000		0.040000		13.104144
0.113000		0.040000		13.460691
0.114000		0.040000		13.822812
0.115000		0.040000		14.190552
0.116000		0.040000		14.563957
0.117000		0.040000		14.943083
0.118000		0.040000		15.327988
0.119000		0.040000		15.718734
0.120000		0.040000		16.115389
0.121000		0.040000		16.518026
0.122000		0.040000		16.926723
0.123000		0.040000		17.341559
0.124000		0.040000		17.762623
0.125000		0.040000		18.190004
0.126000		0.040000		18.623797
0.127000		0.040000		19.064101
0.128000		0.040000		19.511020
0.129000		0.040000		19.964660
0.130000		0.040000		20.425133
0.131000		0.040000		20.892554
0.132000		0.040000		21.367040
0.133000		0.040000		21.848713
0.134000		0.040000		22.337699
0.135000		0.040000		22.834126
0.136000		0.040000		23.338124
0.137000		0.040000		23.849827
0.138000		0.040000		24.369372
0.139000		0.040000		24.896898
0.140000		0.040000		25.432546
0.141000		0.040000		25.976458
0.142000		0.040000		26.528781
0.143000		0.040000		27.089660
0.144000		0.040000		27.659244
0.145000		0.040000		28.237684
0.146000		0.040000		28.825129
0.147000		0.040000		29.421733
0.148000		0.040000		30.027647
0.149000		0.040000		30.643026
0.150000		0.040000		31.268023
0.151000		0.040000		31.902793
0.152000		0.040000		32.547491
0.153000		0.040000		33.202270
0.154000		0.040000		33.867285
0.155000		0.040000		34.542692
0.156000		0.040000		35.228642
0.157000		0.040000		35.925289
0.158000		0.040000		36.632787
0.159000		0.040000		37.351285
0.160000		0.040000		38.080935
0.161000		0.040000		38.821885
0.162000		0.040000		39.574284
0.163000		0.040000		40.338278
0.164000		0.040000		41.114012
0.165000		0.040000		41.901630
0.166000		0.040000		42.701272
0.167000		0.040000		43.513079
0.168000		0.040000		44.337188
0.169000		0.040000		45.173735
0.170000		0.040000		46.022852
0.171000		0.040000		46.884671
0.172000		0.040000		47.759321
0.173000		0.040000		48.646926
0.174000		0.040000		49.547612
0.175000		0.040000		50.461498
0.176000		0.040000		51.388702
0.177000		0.040000		52.329341
0.178000		0.040000		53.283525
0.179000		0.040000		54.251365
0.180000		0.040000		55.232967
0.181000		0.040000		56.228434
0.182000		0.040000		57.237866
0.183000		0.040000		58.261361
0.184000		0.040000		59.299011
0.185000		0.040000		60.350908
0.186000		0.040000		61.417138
0.187000		0.040000		62.497785
0.188000		0.040000		63.592930
0.189000		0.040000		64.702649
0.190000		0.040000		65.827015
0.191000		0.040000		66.966099
0.192000		0.040000		68.119967
0.193000		0.040000		69.288680
0.194000		0.040000		70.472300
0.195000		0.040000		71.670881
0.196000		0.040000		72.884475
0.197000		0.040000		74.113130
0.198000		0.040000		75.356891
0.199000		0.040000		76.615800
0.200000		0.040000		77.889893
0.100000		0.050000		9.223057
0.101000		0.050000		9.513720
0.102000		0.050000		9.809811
0.103000		0.050000		10.111325
0.104000		0.050000		10.418265
0.105000		0.050000		10.730633
0.106000		0.050000		11.048437
0.107000		0.050000		11.371688
0.108000		0.050000		11.700401
0.109000		0.050000		12.034596
0.110000		0.050000		12.374297
0.111000		0.050000		12.719529
0.112000		0.050000		13.070327
0.113000		0.050000		13.426725
0.114000		0.050000		13.788765
0.115000		0.050000		14.156492
0.116000		0.050000		14.529957
0.117000		0.050000		14.909214
0.118000		0.050000		15.294321
0.119000		0.050000		15.685344
0.120000		0.050000		16.082350
0.121000		0.050000		16.485412
0.122000		0.050000		16.894607
0.123000		0.050000		17.310018
0.124000		0.050000		17.731731
0.125000		0.050000		18.159836
0.126000		0.050000		18.594428
0.127000		0.050000		19.035606
0.128000		0.050000		19.483472
0.129000		0.050000		19.938134
0.130000		0.050000		20.399703
0.131000		0.050000		20.868292
0.132000		0.050000		21.344019
0.133000		0.050000		21.827005
0.134000		0.050000		22.317375
0.135000		0.050000		22.815257
0.136000		0.050000		23.320779
0.137000		0.050000		23.834077
0.138000		0.050000		24.355284
0.139000		0.050000		24.884539
0.140000		0.050000		25.421984
0.141000		0.050000		25.967759
0.142000		0.050000		26.522009
0.143000		0.050000		27.084881
0.144000		0.050000		27.656521
0.145000		0.050000		28.237079
0.146000		0.050000		28.826705
0.147000		0.050000		29.425550
0.148000		0.050000		30.033765
0.149000		0.050000		30.651505
0.150000		0.050000		31.278921
0.151000		0.050000		31.916168
0.152000		0.050000		32.563399
0.153000		0.050000		33.220768
0.154000		0.050000		33.888428
0.155000		0.050000		34.566534
0.156000		0.050000		35.255237
0.157000		0.050000		35.954690
0.158000		0.050000		36.665045
0.159000		0.050000		37.386451
0.160000		0.050000		38.119060
0.161000		0.050000		38.863019
0.162000		0.050000		39.618475
0.163000		0.050000		40.385575
0.164000		0.050000		41.164462
0.165000		0.050000		41.955279
0.166000		0.050000		42.758166
0.167000		0.050000		43.573263
0.168000		0.050000		44.400706
0.169000		0.050000		45.240630
0.170000		0.050000		46.093167
0.171000		0.050000		46.958449
0.172000		0.050000		47.836601
0.173000		0.050000		48.727750
0.174000		0.050000		49.632019
0.175000		0.050000		50.549527
0.176000		0.050000		51.480392
0.177000		0.050000		52.424728
0.178000		0.050000		53.382646
0.179000		0.050000		54.354256
0.180000		0.050000		55.339663
0.181000		0.050000		56.338969
0.182000		0.050000		57.352274
0.183000		0.050000		58.379674
0.184000		0.050000		59.421262
0.185000		0.050000		60.477128
0.186000		0.050000		61.547357
0.187000		0.050000		62.632033
0.188000		0.050000		63.731235
0.189000		0.050000		64.845040
0.190000		0.050000		65.973519
0.191000		0.050000		67.116742
0.192000		0.050000		68.274775
0.193000		0.050000		69.447679
0.194000		0.050000		70.635513
0.195000		0.050000		71.838331
0.196000		0.050000		73.056185
0.197000		0.050000		74.289122
0.198000		0.050000		75.537186
0.199000		0.050000		76.800418
0.200000		0.050000		78.078854
0.100000		0.060000		9.192440
0.101000		0.060000		9.482181
0.102000		0.060000		9.777390
0.103000		0.060000		10.078071
0.104000		0.060000		10.384228
0.105000		0.060000		10.695867
0.106000		0.060000		11.013001
0.107000		0.060000		11.335644
0.108000		0.060000		11.663814
0.109000		0.060000		11.997533
0.110000		0.060000		12.336828
0.111000		0.060000		12.681729
0.112000		0.060000		13.032271
0.113000		0.060000		13.388491
0.114000		0.060000		13.750434
0.115000		0.060000		14.118145
0.116000		0.060000		14.491677
0.117000		0.060000		14.871086
0.118000		0.060000		15.256432
0.119000		0.060000		15.647780
0.120000		0.060000		16.045199
0.121000		0.060000		16.448763
0.122000		0.060000		16.858551
0.123000		0.060000		17.274643
0.124000		0.060000		17.697126
0.125000		0.060000		18.126093
0.126000		0.060000		18.561636
0.127000		0.060000		19.003855
0.128000		0.060000		19.452853
0.129000		0.060000		19.908736
0.130000		0.060000		20.371614
0.131000		0.060000		20.841601
0.132000		0.060000		21.318815
0.133000		0.060000		21.803375
0.134000		0.060000		22.295406
0.135000		0.060000		22.795034
0.136000		0.060000		23.302389
0.137000		0.060000		23.817603
0.138000		0.060000		24.340811
