101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.108000		0.020000		0.056685
0.109000		0.020000		0.061842
0.110000		0.020000		0.067378
0.111000		0.020000		0.073314
0.112000		0.020000		0.079670
0.113000		0.020000		0.086471
0.114000		0.020000		0.093738
0.115000		0.020000		0.101496
0.116000		0.020000		0.109769
0.117000		0.020000		0.118584
0.118000		0.020000		0.127967
0.119000		0.020000		0.137945
0.120000		0.020000		0.148546
0.121000		0.020000		0.159800
0.122000		0.020000		0.171735
0.123000		0.020000		0.184383
0.124000		0.020000		0.197775
0.125000		0.020000		0.211943
0.126000		0.020000		0.226921
0.127000		0.020000		0.242743
0.128000		0.020000		0.259443
0.129000		0.020000		0.277058
0.130000		0.020000		0.295625
0.131000		0.020000		0.315180
0.132000		0.020000		0.335764
0.133000		0.020000		0.357414
0.134000		0.020000		0.380171
0.135000		0.020000		0.404077
0.136000		0.020000		0.429173
0.137000		0.020000		0.455503
0.138000		0.020000		0.483110
0.139000		0.020000		0.512039
0.140000		0.020000		0.542336
0.141000		0.020000		0.574047
0.142000		0.020000		0.607220
0.143000		0.020000		0.641902
0.144000		0.020000		0.678144
0.145000		0.020000		0.715994
0.146000		0.020000		0.755505
0.147000		0.020000		0.796726
0.148000		0.020000		0.839712
0.149000		0.020000		0.884515
0.150000		0.020000		0.931190
0.151000		0.020000		0.979791
0.152000		0.020000		1.030375
0.153000		0.020000		1.082997
0.154000		0.020000		1.137716
0.155000		0.020000		1.194589
0.156000		0.020000		1.253675
0.157000		0.020000		1.315035
0.158000		0.020000		1.378728
0.159000		0.020000		1.444815
0.160000		0.020000		1.513359
0.161000		0.020000		1.584421
0.162000		0.020000		1.658066
0.163000		0.020000		1.734356
0.164000		0.020000		1.813357
0.165000		0.020000		1.895134
0.166000		0.020000		1.979752
0.167000		0.020000		2.067278
0.168000		0.020000		2.157778
0.169000		0.020000		2.251321
0.170000		0.020000		2.347974
0.171000		0.020000		2.447806
0.172000		0.020000		2.550886
