64
Generalized Gauss Laguerre roots-weights [a = 1,2,3]:
Roots[a=1]		Weights[a=1]		Roots[a=2]		Weights[a=2]		Roots[a=3]		Weights[a=3]
0.0564732065642567		0.00506261171354594		0.100682305413897		0.00121325475254743		0.154232997940043		0.000535770785642018
0.189347721046806		0.0267761040648772		0.270520836483334		0.0115830307874021		0.361092175674186		0.00799959651061838
0.398278204695493		0.0660530544329832		0.51569963592892		0.0449300036230642		0.642219428767814		0.0443923689573271
0.683370983558315		0.111526212193466		0.836488008915462		0.108723355347864		0.998308006794363		0.144338079765975
1.04479079178247		0.146879955878727		1.23309742130066		0.192554390775891		1.42968128832083		0.328163505853751
1.48275006227559		0.160327809938614		1.70576669355907		0.269945158837149		1.936627238075		0.570603859220408
1.99750809831345		0.149936603259352		2.25477551802657		0.313196888807452		2.51945540506056		0.799361263929005
2.58937158738083		0.122560538954628		2.88044846967868		0.3091769301254		3.17851259873621		0.932566304404982
3.25869552044041		0.0887067960312456		3.58315705712956		0.264494623617809		3.91418893108869		0.926461049686763
4.00588435015592		0.0573503326177617		4.36332133108097		0.198598314986153		4.72692103736593		0.796162953689164
4.83139335427604		0.0333240371794403		5.22141146098448		0.132082681108754		5.61719439252839		0.59863161158653
5.73573020243421		0.0174797054407808		6.15794942036906		0.0783314174790193		6.58554537429053		0.397181950261682
6.71945673515056		0.00830330598780725		7.17351084198293		0.0416307828252456		7.63256333057594		0.234037500925501
7.7831909688013		0.00358025181976991		8.26872707803859		0.0199027620462326		8.75889277039389		0.123079914167528
8.92760934376613		0.00140359699381817		9.44428749245818		0.00858345076161478		9.96523574365244		0.0579885822872833
10.1534492360888		0.000500885976298273		10.7009420101719		0.00334641930025591		11.2523544540111		0.0245482004819927
11.4615117562321		0.000162828258696964		12.0395039495236		0.00118125650134425		12.621074140785		0.00935808941944307
12.8526648620838		4.82391331253678e-05		13.4608531663356		0.000377947187293001		14.0722862639348		0.00321789158123392
14.3278468174139		1.30260481559729e-05		14.9659395416811		0.000109686881563897		15.6069520273647		0.000999306700534512
15.8880700316093		3.20575850306835e-06		16.5557868497556		2.88861374224277e-05		17.2261062788428		0.000280496517163487
17.5344253218563		7.18826512084354e-07		18.2314970474232		6.90381926262571e-06		18.9308618293541		7.11984810253681e-05
19.2680866451374		1.46784456322991e-07		19.9942550331282		1.49727487397793e-06		20.7224142404084		1.63461238029384e-05
21.09031635464		2.7277817051115e-08		21.8453339300473		2.94561519553122e-07		22.6020471347841		3.39415816843481e-06
23.0024710436437		4.60946923671417e-09		23.7861009568067		5.25379843675339e-08		24.5711380944953		6.37222551348658e-07
25.0060080499163		7.0757413585883e-10		25.8180239590467		8.48925787486123e-09		26.6311652196597		1.08109474528694e-07
27.1024927054247		9.85533719768943e-11		27.9426786869022		1.24153688239005e-09		28.7837144336854		1.65626551320671e-08
29.2936064301463		1.24388175153162e-11		30.1617569174568		1.64156509022329e-10		31.0304876341733		2.28918634762506e-09
31.581155785425		1.42054179873741e-12		32.4770755379225		1.95975096072436e-11		33.3733118056311		2.8511605746787e-10
33.9670826222871		1.46549091903873e-13		34.8905867252913		2.10932526722343e-12		35.8141492301113		3.19572238503125e-11
36.4534754841541		1.36325780752895e-14		37.4043893822821		2.04342941412443e-13		38.3551089559958		3.21849467339972e-12
39.0425824524657		1.14122409393017e-15		40.0207420185323		1.77843322251126e-14		40.9984597143302		2.90744971155867e-13
41.7368256590829		8.57847696628729e-17		42.7420773014151		1.38763902259188e-15		43.7466445076039		2.35121753664469e-14
44.5388177325844		5.77635700421041e-18		45.5710185441942		9.6845877796311e-17		46.6022971392952		1.69840636333814e-15
47.4513804987698		3.47507109846504e-19		48.5103984525402		6.03052529286172e-18		49.5682610059129		1.09320366120742e-16
50.4775663215338		1.86249509347602e-20		51.5632805164228		3.34112985700812e-19		52.6476105394023		6.25319153711965e-18
53.6206825523301		8.86521458843329e-22		54.7329835166212		1.64199732576702e-20		55.8436757701773		3.16922540070663e-19
56.8843196593887		3.7347409258184e-23		58.0231097182629		7.13411087480561e-22		59.1600705844319		1.41851235223462e-20
60.2723837379783		1.38734171758988e-24		61.4375774542106		2.73023949071211e-23		62.6007253800711		5.58695386460294e-22
63.7891342687837		4.52561166226101e-26		64.9806589672541		9.16648011305265e-25		66.1699249920999		1.92864703562425e-23
67.4392282044632		1.29058681246093e-27		68.657024593526		2.68792443242171e-26		69.8723529722297		5.80981448943726e-25
71.2277717405803		3.20156867045962e-29		72.4717946462972		6.85043816923282e-28		73.713143584806		1.5198503239326e-26
75.1603814885959		6.87119347556887e-31		76.4306007215915		1.50923804767702e-29		77.6979432442361		3.43432400582798e-28
79.2432572468009		1.26815152646916e-32		80.5396586263206		2.85714918258405e-31		81.8329835994095		6.66348873291895e-30
83.483269204867		1.99924677457418e-34		84.8058557708515		4.61690767984817e-33		86.1251691132362		1.10283030827861e-31
87.8880632842552		2.67221088727094e-36		89.2368567364209		6.32098857645367e-35		90.582182855848		1.54544384614492e-33
92.4661895062072		3.0029529071379e-38		93.8412319199621		7.27139225952023e-37		95.2126154248177		1.81859582540058e-35
97.2272599358066		2.81066249003276e-40		98.6286158193952		6.96267213431972e-39		100.026123569947		1.78033499283807e-37
102.182145095438		2.16781016532404e-42		103.609903872579		5.49095306851804e-41		105.03362745559		1.43467694211503e-39
107.343221118816		1.36116963025736e-44		108.797500148616		3.52351639625593e-43		110.2475588866		9.40271157290723e-42
112.724684878854		6.86167352349759e-47		114.205633163617		1.81437534698469e-45		115.682177808651		4.94288514535937e-44
118.342961772849		2.73257560569933e-49		119.850764560272		7.37759880699764e-48		121.353981877887		2.0510089868996e-46
124.217242311748		8.43641243834201e-52		125.752126880183		2.32475267398332e-50		127.282245410662		6.59276910303509e-49
130.370201793358		1.974797927945e-54		131.932444832859		5.55221674798189e-53		133.489742240704		1.60565836109471e-51
136.828986943171		3.4127262303722e-57		138.418924137688		9.78674399903822e-56		140.003736751727		2.88533628831282e-54
143.626603526583		4.21542167185552e-60		145.244642251931		1.23270861980389e-58		146.857377706354		3.70413330369449e-57
150.803927462294		3.57561883623607e-63		152.450564030877		1.06602396324181e-61		154.0917184313		3.26423147162308e-60
158.41272635011		1.9798446540277e-66		160.088570135959		6.01707087138138e-65		161.758752072877		1.87730204229254e-63
166.520402477194		6.69998204654765e-70		168.226210922997		2.07559338517285e-68		169.926176314968		6.59792136630667e-67
175.21785647894		1.26813433382947e-73		176.954588288189		4.004692345493e-72		178.685293322514		1.29710111095039e-70
184.633473858428		1.18476945019689e-77		186.40237480281		3.8146451076973e-76		188.165061333651		1.25916246862726e-74
194.960453751652		4.5295893013171e-82		196.76320677131		1.48753138733599e-80		198.559551698188		5.00596106810534e-79
206.517819527783		5.20691414978827e-87		208.356839722359		1.74539091081978e-85		210.189248551775		5.99270431933009e-84
219.917977295538		1.00000113804434e-92		221.797108929038		3.42627051390618e-91		223.669409375799		1.20186591406375e-89
236.74368758605		7.16905978975676e-100		238.670543959774		2.51856644360717e-98		240.590314300395		9.05378208966149e-97
