        20113             2              0.50000           211          -213             0             0             0
        20113             2              0.50000          -211           213             0             0             0
        20213    a₁(1260)⁺    1.23000    0.42000     3     0     0     0     0     3     1     2
        20213             2              0.50000           111           213             0             0             0
        20213             2              0.50000           211           113             0             0             0
         2114           Δ⁰    1.23200    0.11700     4     1     0     0     0     0     0     2
         2114             2              0.66667          2112           111             0             0             0
         2114             2              0.33333          2212          -211             0             0             0
         2224          Δ⁺⁺    1.23200    0.11700     4     1     0     0     0     4     2     1
         2224             2              1.00000          2212           211             0             0             0
         2214           Δ⁺    1.23200    0.11700     4     1     0     0     0     2     1     2
         2214             2              0.33333          2112           211             0             0             0
         2214             2              0.66667          2212           111             0             0             0
         1114           Δ⁻    1.23200    0.11700     4     1     0     0     0    -2    -1     1
         1114             2              1.00000          2112          -211             0             0             0
        10313    K₁(1270)⁰    1.27200    0.09000     3     0     1     0     0     0     0     8
        10313             2              0.14000           311           113             0             0             0
        10313             2              0.28000           321          -213             0             0             0
        10313             2              0.09333           111         10311             0             0             0
        10313             2              0.18667          -211         10321             0             0             0
        10313             2              0.05333           111           313             0             0             0
        10313             2              0.10667          -211           323             0             0             0
        10313             2              0.11000           311           223             0             0             0
        10313             2              0.03000           311         10221             0             0             0
       -10313    K̅₁(1270)⁰    1.27200    0.09000     3     0    -1     0     0     2     0     8
       -10313             2              0.14000          -311           113             0             0             0
       -10313             2              0.28000          -321           213             0             0             0
       -10313             2              0.09333           111        -10311             0             0             0
       -10313             2              0.18667           211        -10321             0             0             0
       -10313             2              0.05333           111          -313             0             0             0
       -10313             2              0.10667           211          -323             0             0             0
       -10313             2              0.11000          -311           223             0             0             0
       -10313             2              0.03000          -311         10221             0             0             0
        10323    K₁(1270)⁺    1.27200    0.09000     3     0     1     0     0     2     1     8
        10323             2              0.28000           311           213             0             0             0
        10323             2              0.14000           321           113             0             0             0
        10323             2              0.18667           211         10311             0             0             0
        10323             2              0.09333           111         10321             0             0             0
        10323             2              0.10667           211           313             0             0             0
        10323             2              0.05333           111           323             0             0             0
        10323             2              0.11000           321           223             0             0             0
        10323             2              0.03000           321         10221             0             0             0
       -10323    K̅₁(1270)⁻    1.27200    0.09000     3     0    -1     0     0     0    -1     8
       -10323             2              0.28000          -311          -213             0             0             0
       -10323             2              0.14000          -321           113             0             0             0
       -10323             2              0.18667          -211        -10311             0             0             0
       -10323             2              0.09333           111        -10321             0             0             0
       -10323             2              0.10667          -211          -313             0             0             0
       -10323             2              0.05333           111          -323             0             0             0
       -10323             2              0.11000          -321           223             0             0             0
       -10323             2              0.03000          -321         10221             0             0             0
          225           f₂    1.27500    0.18500     5     0     0     0     0     1     0     6
          225             2              0.16667           111           111             0             0             0
          225             2              0.33333           211          -211             0             0             0
          225             2              0.15000           113           113             0             0             0
          225             2              0.30000           213          -213             0             0             0
          225             2              0.02500           311          -311             0             0             0
          225             2              0.02500           321          -321             0             0             0
        20223     f₁(1285)    1.28190    0.02400     3     0     0     0     0     1     0     6
        20223             2              0.11675           113           113             0             0             0
        20223             2              0.23351           213          -213             0             0             0
        20223             2              0.55450           221       9000221             0             0             0
        20223             2              0.03175           111       9000111             0             0             0
        20223             2              0.03175           211      -9000211             0             0             0
        20223             2              0.03175          -211       9000211             0             0             0
       100221      η(1295)    1.29400    0.05000     1     0     0     0     0     1     0     3
       100221             2              0.33333           111       9000111             0             0             0
       100221             2              0.33333           211      -9000211             0             0             0
       100221             2              0.33333          -211       9000211             0             0             0
       100211     π(1300)⁺    1.30000    0.40000     1     0     0     0     0     3     1     2
       100211             2              0.50000           111           213             0             0             0
       100211             2              0.50000           211           113             0             0             0
      -100211     π(1300)⁻    1.30000    0.40000     1     0     0     0     0    -1    -1     2
      -100211             2              0.50000           111          -213             0             0             0
      -100211             2              0.50000          -211           113             0             0             0
       100111     π(1300)⁰    1.30000    0.40000     1     0     0     0     0     1     0     2
       100111             2              0.50000           211          -213             0             0             0
       100111             2              0.50000          -211           213             0             0             0
          215    a₂(1320)⁺    1.31830    0.10700     5     0     0     0     0     3     1     5
          215             2              0.35015           111           213             0             0             0
          215             2              0.35015           211           113             0             0             0
          215             2              0.14486           211           221             0             0             0
          215             2              0.10589           223           213             0             0             0
          215             2              0.04895           321          -311             0             0             0
         -215    a₂(1320)⁻    1.31830    0.10700     5     0     0     0     0    -1    -1     5
         -215             2              0.35015           111          -213             0             0             0
         -215             2              0.35015          -211           113             0             0             0
         -215             2              0.14486          -211           221             0             0             0
         -215             2              0.10589           223          -213             0             0             0
         -215             2              0.04895           311          -321             0             0             0
          115    a₂(1320)⁰    1.31830    0.10700     5     0     0     0     0     1     0     6
          115             2              0.35015           211          -213             0             0             0
          115             2              0.35015          -211           213             0             0             0
          115             2              0.14486           111           221             0             0             0
          115             2              0.10589           223           113             0             0             0
          115             2              0.02448           311          -311             0             0             0
          115             2              0.02448           321          -321             0             0             0
         3312           Ξ⁻    1.32100    0.00000     2     1    -2     0     0     0    -1     1
         3312             1              1.00000          3312             0             0             0             0
         3322           Ξ⁰    1.32100    0.00000     2     1    -2     0     0     2     0     1
         3322             1              1.00000          3322             0             0             0             0
        10221     f₀(1370)    1.35000    0.35000     1     0     0     0     0     1     0     6
        10221             2              0.23333           113           113             0             0             0
        10221             2              0.46667           213          -213             0             0             0
        10221             2              0.10000           311          -311             0             0             0
        10221             2              0.10000           321          -321             0             0             0
        10221             2              0.03333           111           111             0             0             0
        10221             2              0.06667           211          -211             0             0             0
      9000113    π₁(1400)⁰    1.35400    0.33000     3     0     0     0     0     1     0     1
      9000113             2              1.00000           111           221             0             0             0
      9000213    π₁(1400)⁺    1.35400    0.33000     3     0     0     0     0     3     1     1
      9000213             2              1.00000           211           221             0             0             0
     -9000213    π₁(1400)⁻    1.35400    0.33000     3     0     0     0     0    -1    -1     1
     -9000213             2              1.00000          -211           221             0             0             0
         3214     Σ(1385)⁰    1.38500    0.03600     4     1    -1     0     0     1     0     4
         3214             2              0.87044          3122           111             0             0             0
         3214             2              0.05853          3112           211             0             0             0
         3214             2              0.05853          3222          -211             0             0             0
         3214             2              0.01251          3122            22             0             0             0
         3114     Σ(1385)⁻    1.38500    0.03600     4     1    -1     0     0    -1    -1     3
         3114             2              0.88146          3122          -211             0             0             0
         3114             2              0.05927          3112           111             0             0             0
         3114             2              0.05927          3212          -211             0             0             0
         3224     Σ(1385)⁺    1.38500    0.03600     4     1    -1     0     0     3     1     4
         3224             2              0.87525          3122           211             0             0             0
         3224             2              0.05885          3212           211             0             0             0
         3224             2              0.05885          3222           111             0             0             0
         3224             2              0.00704          3222            22             0             0             0
        20313    K₁(1400)⁰    1.40300    0.17400     3     0     1     0     0     0     0     6
