    2114  Delta1232(0)          1.23200   0.11500  4  1  0  0  0  4  0  3
    2114  2  0.663          2112     111       0       0       0
    2114  2  0.331          2212    -211       0       0       0
    2114  2  0.006          2112      22       0       0       0
    1114  Delta1232(-)          1.23200   0.11500  4  1  0  0  0  4 -1  1
    1114  2  1.000          2112    -211       0       0       0
   10213  b1(1235)(+)           1.23500   0.14200  3  0  0  0  0  3  1  2
   10213  2  0.900           223     211       0       0       0
   10213 -2  0.100           221     213       0       0       0
   10113  b1(1235)(0)           1.23500   0.14200  3  0  0  0  0  3  0  2
   10113  2  0.900           223     111       0       0       0
   10113 -2  0.100           221     113       0       0       0
  -10213  b1(1235)(-)           1.23500   0.14200  3  0  0  0  0  3 -1  2
  -10213  2  0.900           223    -211       0       0       0
  -10213 -2  0.100           221    -213       0       0       0
   10323  K1-1270(+)             1.27300   0.09000  3  0  1  0  0  2  1  5
   10323  2  0.313           313     211       0       0       0
   10323  2  0.157           323     111       0       0       0
   10323  2  0.280           311     213       0       0       0
   10323  2  0.140           321     113       0       0       0
   10323 -2  0.110           321     223       0       0       0
  -10323  K1-1270(-)             1.27300   0.09000  3  0 -1  0  0  2 -1  5
  -10323  2  0.313          -313    -211       0       0       0
  -10323  2  0.157          -323     111       0       0       0
  -10323  2  0.280          -311    -213       0       0       0
  -10323  2  0.140          -321     113       0       0       0
  -10323 -2  0.110          -321     223       0       0       0
   10313  K1-1270(0)             1.27300   0.09000  3  0  1  0  0  2  0  5
   10313  2  0.313           323    -211       0       0       0
   10313  2  0.157           313     111       0       0       0
   10313  2  0.280           321    -213       0       0       0
   10313  2  0.140           311     113       0       0       0
   10313 -2  0.110           311     223       0       0       0
  -10313  Anti-K1-1270(0)        1.27300   0.09000  3  0 -1  0  0  2  0  5
  -10313  2  0.313          -323     211       0       0       0
  -10313  2  0.157          -313     111       0       0       0
  -10313  2  0.280          -321     213       0       0       0
  -10313  2  0.140          -311     113       0       0       0
  -10313 -2  0.110          -311     223       0       0       0
     225  f2(1270)               1.27500   0.18500  5  0  0  0  0  1  0  7
     225  2  0.333           211    -211       0       0       0
     225  2  0.167           111     111       0       0       0
     225  4  0.120           211     211    -211    -211       0
     225  4  0.160           211    -211     111     111       0
     225  4  0.020           111     111     111     111       0
     225  2  0.100           321    -321       0       0       0
     225  2  0.100           311    -311       0       0       0
   20223  f1(1285)               1.28200   0.02400  3  0  0  0  0  1  0 10
   20223  2  0.050           113      22       0       0       0
   20223  4  0.132           211     211    -211    -211       0
   20223  4  0.176           211    -211     111     111       0
   20223  4  0.022           111     111     111     111       0
   20223  3  0.353           221     211    -211       0       0
   20223  3  0.177           221     111     111       0       0
   20223  3  0.015           321    -321     111       0       0
   20223  3  0.015           311    -311     111       0       0
   20223  3  0.030           321    -311    -211       0       0
   20223  3  0.030          -321     311     211       0       0
    3322  Xsi(0)                 1.31500   0.00000  2  1 -2  0  0  2  0  1
    3322  1  1.000          3322       0       0       0       0
    3312  Xsi(-)                 1.31500   0.00000  2  1 -2  0  0  2 -1  1
    3312  1  1.000          3312       0       0       0       0
     215  a2-1320(+)             1.31800   0.10700  5  0  0  0  0  3  1  5
     215  2  0.350           213     111       0       0       0
     215  2  0.350           113     211       0       0       0
     215  2  0.140           221     211       0       0       0
     215  3  0.110           223     211     111       0       0
     215  2  0.050           321    -311       0       0       0
     115  a2-1320(0)             1.31800   0.10700  5  0  0  0  0  3  0  6
     115  2  0.350           213    -211       0       0       0
     115  2  0.350          -213     211       0       0       0
     115  2  0.140           221     111       0       0       0
